full-fledged_rock: Topic: 5, Keyword number: 0
david: Topic: 47, Keyword number: 3
slasher: Topic: 47, Keyword number: 4
gordo's: Topic: 47, Keyword number: 5
man_sidney: Topic: 47, Keyword number: 6
o'connell: Topic: 47, Keyword number: 7
second: Topic: 47, Keyword number: 8
tricks_raises: Topic: 47, Keyword number: 9
covers_old: Topic: 47, Keyword number: 10
finale_covers: Topic: 47, Keyword number: 11
making_rolls: Topic: 47, Keyword number: 12
particular_puts: Topic: 47, Keyword number: 13
mullan_particular: Topic: 47, Keyword number: 14
use_mature: Topic: 47, Keyword number: 15
horror_anderson: Topic: 47, Keyword number: 16
real_horror: Topic: 47, Keyword number: 17
raises_session: Topic: 47, Keyword number: 18
joining_camera: Topic: 47, Keyword number: 19
make_alfred: Topic: 47, Keyword number: 20
helps_build: Topic: 47, Keyword number: 21
striking_high-definition: Topic: 47, Keyword number: 22
high-definition: Topic: 47, Keyword number: 23
one_shadowy: Topic: 47, Keyword number: 24
godzilla_enjoy: Topic: 48, Keyword number: 0
nancy: Topic: 48, Keyword number: 1
two_dozen: Topic: 48, Keyword number: 2
place_entertained: Topic: 49, Keyword number: 0
luc: Topic: 49, Keyword number: 1
millennia_ahead: Topic: 50, Keyword number: 0
mulan's_father: Topic: 50, Keyword number: 1
one_man: Topic: 50, Keyword number: 2
date_hordes: Topic: 50, Keyword number: 3
thing_memorable: Topic: 50, Keyword number: 4
chihuahua: Topic: 50, Keyword number: 5
neatly_closing: Topic: 50, Keyword number: 6
threats_engaging: Topic: 50, Keyword number: 7
tale_focused: Topic: 50, Keyword number: 8
one_you're: Topic: 50, Keyword number: 9
features_pat: Topic: 50, Keyword number: 10
threaten: Topic: 50, Keyword number: 11
evil_dead: Topic: 51, Keyword number: 0
rob: Topic: 51, Keyword number: 1
track: Topic: 51, Keyword number: 2
raw_footage: Topic: 51, Keyword number: 3
film_group: Topic: 51, Keyword number: 4
dvd: Topic: 51, Keyword number: 5
became: Topic: 51, Keyword number: 6
swinging_spy: Topic: 51, Keyword number: 7
pursuing_trajectory: Topic: 51, Keyword number: 8
many_well-paid: Topic: 51, Keyword number: 9
twenty_miles: Topic: 51, Keyword number: 10
taylor_massachusetts: Topic: 51, Keyword number: 11
titillating_climax: Topic: 51, Keyword number: 12
excruciating: Topic: 51, Keyword number: 13
process_special: Topic: 51, Keyword number: 14
you're_either: Topic: 51, Keyword number: 15
gala: Topic: 51, Keyword number: 16
disc_photo: Topic: 51, Keyword number: 17
included_disc: Topic: 51, Keyword number: 18
rob_bruce: Topic: 51, Keyword number: 19
compared_rob: Topic: 51, Keyword number: 20
raimi_doesn't: Topic: 51, Keyword number: 21
ask_anything: Topic: 51, Keyword number: 22
time_sometimes: Topic: 51, Keyword number: 23
instances_silent: Topic: 51, Keyword number: 24
saving_private: Topic: 55, Keyword number: 0
affleck: Topic: 55, Keyword number: 1
best: Topic: 55, Keyword number: 2
guy_get: Topic: 55, Keyword number: 3
poker: Topic: 55, Keyword number: 4
bargaining: Topic: 55, Keyword number: 5
stoic_correct: Topic: 55, Keyword number: 6
isolation_universal: Topic: 55, Keyword number: 7
cracked_dishes: Topic: 55, Keyword number: 8
life_alter: Topic: 55, Keyword number: 9
reactions_predictable: Topic: 55, Keyword number: 10
appears_normal: Topic: 55, Keyword number: 11
path_bereavement: Topic: 55, Keyword number: 12
role_reversals: Topic: 55, Keyword number: 13
paola: Topic: 55, Keyword number: 14
it's_rewarding: Topic: 55, Keyword number: 15
adds_drama: Topic: 55, Keyword number: 16
yet_audience: Topic: 55, Keyword number: 17
terrifying_yet: Topic: 55, Keyword number: 18
moving_away: Topic: 55, Keyword number: 19
ryan_damon: Topic: 55, Keyword number: 20
death_war: Topic: 55, Keyword number: 21
random_poker: Topic: 55, Keyword number: 22
airborne_division: Topic: 55, Keyword number: 23
poker_airborne: Topic: 55, Keyword number: 24
douglas: Topic: 60, Keyword number: 0
anderson: Topic: 60, Keyword number: 1
tom_cruise: Topic: 60, Keyword number: 2
intentions: Topic: 60, Keyword number: 3
depth: Topic: 60, Keyword number: 4
tom: Topic: 60, Keyword number: 5
adventurous: Topic: 60, Keyword number: 6
unrelated: Topic: 60, Keyword number: 7
sara: Topic: 60, Keyword number: 8
tobey: Topic: 60, Keyword number: 9
theme: Topic: 60, Keyword number: 10
note: Topic: 60, Keyword number: 11
filmmaking: Topic: 60, Keyword number: 12
character: Topic: 60, Keyword number: 13
mirrors_anguish: Topic: 60, Keyword number: 14
wise_mirrors: Topic: 60, Keyword number: 15
mirrors: Topic: 60, Keyword number: 16
enhances_yearning: Topic: 60, Keyword number: 17
sings_save: Topic: 60, Keyword number: 18
beautiful_sings: Topic: 60, Keyword number: 19
morose_beautiful: Topic: 60, Keyword number: 20
thematically_actual: Topic: 60, Keyword number: 21
depth_scene: Topic: 60, Keyword number: 22
add_depth: Topic: 60, Keyword number: 23
filmmaking_spits: Topic: 60, Keyword number: 24
on-form_cast: Topic: 61, Keyword number: 0
locket_camembert: Topic: 61, Keyword number: 1
williams_citizen: Topic: 61, Keyword number: 2
outside_house: Topic: 63, Keyword number: 0
scream: Topic: 64, Keyword number: 0
coin_tired: Topic: 64, Keyword number: 1
smartly-scripted: Topic: 64, Keyword number: 2
level_either: Topic: 64, Keyword number: 3
best_scream: Topic: 64, Keyword number: 4
expertly_crafted: Topic: 64, Keyword number: 5
actor_given: Topic: 64, Keyword number: 6
completely_loses: Topic: 64, Keyword number: 7
prinze_gives: Topic: 64, Keyword number: 8
store_killer: Topic: 64, Keyword number: 9
suspenseful_superbly: Topic: 64, Keyword number: 10
amazingly_deals: Topic: 64, Keyword number: 11
denis_crossan: Topic: 64, Keyword number: 12
mysterious_figure: Topic: 64, Keyword number: 13
reads_know: Topic: 64, Keyword number: 14
barry_switch: Topic: 64, Keyword number: 15
distraught_confused: Topic: 64, Keyword number: 16
evening_dismayed: Topic: 64, Keyword number: 17
headed_college: Topic: 64, Keyword number: 18
friday_films: Topic: 64, Keyword number: 19
reminiscent_straight-forward: Topic: 64, Keyword number: 20
knowing_film: Topic: 64, Keyword number: 21
summer_first: Topic: 64, Keyword number: 22
snippet: Topic: 64, Keyword number: 23
sick_humor: Topic: 64, Keyword number: 24
aboriginal: Topic: 69, Keyword number: 0
fella: Topic: 69, Keyword number: 1
justice: Topic: 69, Keyword number: 2
nourishing: Topic: 69, Keyword number: 3
reared_australia: Topic: 69, Keyword number: 4
year_race: Topic: 69, Keyword number: 5
jedda_chant: Topic: 69, Keyword number: 6
films_covered: Topic: 69, Keyword number: 7
actors_foreground: Topic: 69, Keyword number: 8
vicious_beauty: Topic: 69, Keyword number: 9
ago_visited: Topic: 69, Keyword number: 10
pivotal_character: Topic: 69, Keyword number: 11
film_suffice: Topic: 69, Keyword number: 12
away_details: Topic: 69, Keyword number: 13
hills_takes: Topic: 69, Keyword number: 14
part_churchman: Topic: 69, Keyword number: 15
deal_understanding: Topic: 69, Keyword number: 16
foot_either: Topic: 69, Keyword number: 17
near_start: Topic: 69, Keyword number: 18
bend_rules: Topic: 69, Keyword number: 19
manages_quite: Topic: 69, Keyword number: 20
brown_officer: Topic: 69, Keyword number: 21
includes_system: Topic: 69, Keyword number: 22
year_heritage: Topic: 69, Keyword number: 23
aboriginals_people: Topic: 69, Keyword number: 24
could_possibly: Topic: 71, Keyword number: 0
real: Topic: 71, Keyword number: 1
apparent: Topic: 71, Keyword number: 2
stand: Topic: 71, Keyword number: 3
men: Topic: 71, Keyword number: 4
rest: Topic: 71, Keyword number: 5
rosie: Topic: 71, Keyword number: 6
daring: Topic: 71, Keyword number: 7
amidst: Topic: 71, Keyword number: 8
senses: Topic: 71, Keyword number: 9
laws: Topic: 71, Keyword number: 10
order: Topic: 71, Keyword number: 11
claire's: Topic: 71, Keyword number: 12
renfro: Topic: 71, Keyword number: 13
movie-making: Topic: 71, Keyword number: 14
apple_pickers: Topic: 71, Keyword number: 15
shopping: Topic: 71, Keyword number: 16
offers: Topic: 71, Keyword number: 17
stage: Topic: 71, Keyword number: 18
train: Topic: 71, Keyword number: 19
needed: Topic: 71, Keyword number: 20
aging: Topic: 71, Keyword number: 21
countless: Topic: 71, Keyword number: 22
capone_evil: Topic: 71, Keyword number: 23
similar: Topic: 71, Keyword number: 24
contains_scene: Topic: 75, Keyword number: 0
utter_cuteness: Topic: 75, Keyword number: 1
fail_comparison: Topic: 75, Keyword number: 2
screen_sure: Topic: 75, Keyword number: 3
mere_backdrop: Topic: 75, Keyword number: 4
backdrop: Topic: 75, Keyword number: 5
book_chain: Topic: 75, Keyword number: 6
fox_insanely: Topic: 75, Keyword number: 7
much_you've: Topic: 75, Keyword number: 8
good_contemporary: Topic: 75, Keyword number: 9
body_it's: Topic: 75, Keyword number: 10
profits_real: Topic: 75, Keyword number: 11
popular: Topic: 75, Keyword number: 12
magruder: Topic: 76, Keyword number: 0
dixon: Topic: 76, Keyword number: 1
fragile: Topic: 76, Keyword number: 2
source_material: Topic: 76, Keyword number: 3
storyteller: Topic: 76, Keyword number: 4
scorsese's: Topic: 76, Keyword number: 5
ford: Topic: 76, Keyword number: 6
learns: Topic: 76, Keyword number: 7
appears: Topic: 76, Keyword number: 8
material: Topic: 76, Keyword number: 9
world: Topic: 76, Keyword number: 10
appropriate_fiscally: Topic: 76, Keyword number: 11
ferrets_carmen: Topic: 76, Keyword number: 12
spikes: Topic: 76, Keyword number: 13
daylight_sometime: Topic: 76, Keyword number: 14
okay_taken: Topic: 76, Keyword number: 15
secretary_lone: Topic: 76, Keyword number: 16
taught_seth: Topic: 76, Keyword number: 17
corner_whenever: Topic: 76, Keyword number: 18
smacks: Topic: 76, Keyword number: 19
job_fervor: Topic: 76, Keyword number: 20
minus_edge: Topic: 76, Keyword number: 21
junk_stock: Topic: 76, Keyword number: 22
college_drop: Topic: 76, Keyword number: 23
shove_faces: Topic: 76, Keyword number: 24
deniro: Topic: 77, Keyword number: 0
film: Topic: 77, Keyword number: 1
funny: Topic: 77, Keyword number: 2
satire: Topic: 77, Keyword number: 3
people: Topic: 77, Keyword number: 4
jason_patric: Topic: 77, Keyword number: 5
aaron_eckhart: Topic: 77, Keyword number: 6
aaron: Topic: 77, Keyword number: 7
ben_stiller: Topic: 77, Keyword number: 8
stiller: Topic: 77, Keyword number: 9
gives_deniro: Topic: 77, Keyword number: 10
keener_aaron: Topic: 77, Keyword number: 11
keener: Topic: 77, Keyword number: 12
film_people: Topic: 77, Keyword number: 13
fad_king: Topic: 77, Keyword number: 14
robert_deniro: Topic: 77, Keyword number: 15
romantic: Topic: 77, Keyword number: 16
men: Topic: 77, Keyword number: 17
leads: Topic: 77, Keyword number: 18
film_amusing: Topic: 77, Keyword number: 19
topical_throwaway: Topic: 77, Keyword number: 20
topical: Topic: 77, Keyword number: 21
laugh_greg's: Topic: 77, Keyword number: 22
sneaking_smoke: Topic: 77, Keyword number: 23
game_water: Topic: 77, Keyword number: 24
honor_leading: Topic: 78, Keyword number: 0
odd_habits: Topic: 78, Keyword number: 1
weak_link: Topic: 78, Keyword number: 2
power_one: Topic: 78, Keyword number: 3
climactic: Topic: 78, Keyword number: 4
screen_even: Topic: 79, Keyword number: 0
sommer_williams: Topic: 79, Keyword number: 1
misunderstanding_leading: Topic: 79, Keyword number: 2
misunderstanding: Topic: 79, Keyword number: 3
young_girls: Topic: 79, Keyword number: 4
camping_involves: Topic: 79, Keyword number: 5
nearby: Topic: 79, Keyword number: 6
families: Topic: 79, Keyword number: 7
redman: Topic: 80, Keyword number: 0
week_accepting: Topic: 80, Keyword number: 1
re-powering: Topic: 80, Keyword number: 2
difficult_accept: Topic: 80, Keyword number: 3
calendar_predict: Topic: 80, Keyword number: 4
beyond_oddities: Topic: 80, Keyword number: 5
come_law: Topic: 80, Keyword number: 6
hour_length: Topic: 80, Keyword number: 7
manner_although: Topic: 80, Keyword number: 8
doubles_army: Topic: 80, Keyword number: 9
express_dedicated: Topic: 80, Keyword number: 10
tate_second-in-command: Topic: 80, Keyword number: 11
item_although: Topic: 80, Keyword number: 12
become_reluctant: Topic: 80, Keyword number: 13
bethlehem_postman: Topic: 80, Keyword number: 14
wants_father: Topic: 80, Keyword number: 15
food_opportunities: Topic: 80, Keyword number: 16
pretends_representative: Topic: 80, Keyword number: 17
youngsters_rock: Topic: 80, Keyword number: 18
longer_use: Topic: 80, Keyword number: 19
bag_skeleton: Topic: 80, Keyword number: 20
shelter_wrecked: Topic: 80, Keyword number: 21
descendent: Topic: 80, Keyword number: 22
patton_rag-tag: Topic: 80, Keyword number: 23
conscripted_racially: Topic: 80, Keyword number: 24
gem_back: Topic: 81, Keyword number: 0
joy_see: Topic: 81, Keyword number: 1
video_pulling: Topic: 81, Keyword number: 2
day_re-release: Topic: 81, Keyword number: 3
