near_dear: Topic: 0, Keyword number: 0
gregson_wagner: Topic: 4, Keyword number: 10
abilities: Topic: 4, Keyword number: 11
behaviour: Topic: 4, Keyword number: 12
cared: Topic: 4, Keyword number: 13
smile: Topic: 4, Keyword number: 14
revealed: Topic: 4, Keyword number: 15
repeatedly: Topic: 4, Keyword number: 16
romantic: Topic: 4, Keyword number: 17
extraordinary_hype: Topic: 4, Keyword number: 18
one_strength: Topic: 4, Keyword number: 19
remind_connection: Topic: 4, Keyword number: 20
kept_painting: Topic: 4, Keyword number: 21
never_simply: Topic: 4, Keyword number: 22
forgotten_problem: Topic: 4, Keyword number: 23
shots_train: Topic: 4, Keyword number: 24
nutcase_let: Topic: 5, Keyword number: 0
acknowledge_similarities: Topic: 5, Keyword number: 1
aykroyd_ted: Topic: 5, Keyword number: 2
disasters: Topic: 5, Keyword number: 3
family_computer: Topic: 5, Keyword number: 4
son_first: Topic: 5, Keyword number: 5
remember_know: Topic: 5, Keyword number: 6
harry's_bumbling: Topic: 5, Keyword number: 7
ross_harry: Topic: 5, Keyword number: 8
suggestion: Topic: 5, Keyword number: 9
john_spencer: Topic: 5, Keyword number: 10
quiz_show: Topic: 6, Keyword number: 0
leuchter_seems: Topic: 6, Keyword number: 1
revisionist: Topic: 6, Keyword number: 2
scandal: Topic: 6, Keyword number: 3
thus_give: Topic: 6, Keyword number: 4
lead_predictable: Topic: 6, Keyword number: 5
believe_client: Topic: 6, Keyword number: 6
faces_private: Topic: 6, Keyword number: 7
successfully_rich: Topic: 6, Keyword number: 8
determine_long: Topic: 6, Keyword number: 9
title_extremely: Topic: 6, Keyword number: 10
wasn't_disappointed: Topic: 6, Keyword number: 11
bettered_experience: Topic: 6, Keyword number: 12
subject_one: Topic: 6, Keyword number: 13
piece_morris: Topic: 6, Keyword number: 14
aside_dragging: Topic: 6, Keyword number: 15
feeble-minded_weak-hearted: Topic: 6, Keyword number: 16
used_device: Topic: 6, Keyword number: 17
morris_used: Topic: 6, Keyword number: 18
machine_called: Topic: 6, Keyword number: 19
though_mensch: Topic: 6, Keyword number: 20
carefree_banter: Topic: 6, Keyword number: 21
morris's_interviews: Topic: 6, Keyword number: 22
germany_publishing: Topic: 6, Keyword number: 23
gallows_leuchter: Topic: 6, Keyword number: 24
pacino: Topic: 7, Keyword number: 0
gangster_movies: Topic: 7, Keyword number: 1
simon's: Topic: 7, Keyword number: 2
donnie's: Topic: 7, Keyword number: 3
upsets_two: Topic: 7, Keyword number: 4
differs_say: Topic: 7, Keyword number: 5
murder_funny: Topic: 7, Keyword number: 6
live_lashings: Topic: 7, Keyword number: 7
castro_comes: Topic: 7, Keyword number: 8
surpassed_anyone: Topic: 7, Keyword number: 9
man_sure: Topic: 7, Keyword number: 10
claire_andreas: Topic: 7, Keyword number: 11
silent_candlelit: Topic: 7, Keyword number: 12
get_glimpses: Topic: 7, Keyword number: 13
andreas_dream: Topic: 7, Keyword number: 14
affair_master: Topic: 7, Keyword number: 15
feeling_past: Topic: 7, Keyword number: 16
cox_litters: Topic: 7, Keyword number: 17
message_cox: Topic: 7, Keyword number: 18
fate_message: Topic: 7, Keyword number: 19
thrills_disappoints: Topic: 7, Keyword number: 20
andreas_claire: Topic: 7, Keyword number: 21
andreas_frail: Topic: 7, Keyword number: 22
andreas_charles: Topic: 7, Keyword number: 23
something_seems: Topic: 7, Keyword number: 24
larry: Topic: 8, Keyword number: 0
larry_flynt: Topic: 8, Keyword number: 1
terminator: Topic: 8, Keyword number: 2
hustler: Topic: 8, Keyword number: 3
humans: Topic: 8, Keyword number: 4
speech: Topic: 8, Keyword number: 5
forman: Topic: 8, Keyword number: 6
courtney_love: Topic: 8, Keyword number: 7
courtney: Topic: 8, Keyword number: 8
morpheus: Topic: 8, Keyword number: 9
freedom: Topic: 8, Keyword number: 10
woody: Topic: 8, Keyword number: 11
carrie-anne_moss: Topic: 8, Keyword number: 12
carrie-anne: Topic: 8, Keyword number: 13
hugo_weaving: Topic: 8, Keyword number: 14
artificial_intelligence: Topic: 8, Keyword number: 15
hugo: Topic: 8, Keyword number: 16
lawyer_alan: Topic: 8, Keyword number: 17
obscenity: Topic: 8, Keyword number: 18
sara: Topic: 8, Keyword number: 19
connor: Topic: 8, Keyword number: 20
watch: Topic: 8, Keyword number: 21
american_flag: Topic: 8, Keyword number: 22
speech_rally: Topic: 8, Keyword number: 23
cincinnati: Topic: 8, Keyword number: 24
hulot: Topic: 9, Keyword number: 0
record: Topic: 9, Keyword number: 1
car_engine: Topic: 9, Keyword number: 2
hulot's: Topic: 9, Keyword number: 3
comedy_much: Topic: 9, Keyword number: 4
guests: Topic: 9, Keyword number: 5
nerds: Topic: 9, Keyword number: 6
part_reason: Topic: 9, Keyword number: 7
engine: Topic: 9, Keyword number: 8
outsider_high: Topic: 9, Keyword number: 9
school_film's: Topic: 9, Keyword number: 10
system_high: Topic: 9, Keyword number: 11
developed_romy: Topic: 9, Keyword number: 12
getting_mono: Topic: 9, Keyword number: 13
time_reminded: Topic: 9, Keyword number: 14
mooney_janeane: Topic: 9, Keyword number: 15
since_graduated: Topic: 9, Keyword number: 16
buddies_since: Topic: 9, Keyword number: 17
brooks_brave: Topic: 9, Keyword number: 18
comedy_come: Topic: 9, Keyword number: 19
could_clean: Topic: 9, Keyword number: 20
mathematician: Topic: 9, Keyword number: 21
movie_summed: Topic: 9, Keyword number: 22
pretty_original: Topic: 9, Keyword number: 23
plot_make: Topic: 9, Keyword number: 24
brown: Topic: 10, Keyword number: 0
perennially: Topic: 10, Keyword number: 1
cheadle_fellow: Topic: 10, Keyword number: 2
typically_appealing: Topic: 10, Keyword number: 3
glades: Topic: 10, Keyword number: 4
follow-up_live: Topic: 10, Keyword number: 5
discovery_pam: Topic: 10, Keyword number: 6
results_compared: Topic: 10, Keyword number: 7
drug_use: Topic: 10, Keyword number: 8
replaying_jules: Topic: 10, Keyword number: 9
performances_incredibly: Topic: 10, Keyword number: 10
begins_drop: Topic: 10, Keyword number: 11
predicaments_slang: Topic: 10, Keyword number: 12
occurances: Topic: 10, Keyword number: 13
forster_wants: Topic: 10, Keyword number: 14
fonda_caught: Topic: 10, Keyword number: 15
try_brown: Topic: 10, Keyword number: 16
ordell's_buyers: Topic: 10, Keyword number: 17
cop_michael: Topic: 10, Keyword number: 18
walking_airport: Topic: 10, Keyword number: 19
supported_incredible: Topic: 10, Keyword number: 20
film_quentin: Topic: 10, Keyword number: 21
beyond_valley: Topic: 10, Keyword number: 22
willis_proved: Topic: 10, Keyword number: 23
yet_dialogue: Topic: 10, Keyword number: 24
ethan: Topic: 11, Keyword number: 0
ethan_hunt: Topic: 11, Keyword number: 1
scientist: Topic: 11, Keyword number: 2
ethan_must: Topic: 11, Keyword number: 3
entertainment_goes: Topic: 11, Keyword number: 4
unfortunately_far: Topic: 11, Keyword number: 5
assault_action: Topic: 11, Keyword number: 6
intensity_case: Topic: 11, Keyword number: 7
sequence_ethan: Topic: 11, Keyword number: 8
parodies_sequence: Topic: 11, Keyword number: 9
towne's_screenplay: Topic: 11, Keyword number: 10
entertaining_action-packed: Topic: 11, Keyword number: 11
nature_sequences: Topic: 11, Keyword number: 12
surreal_nature: Topic: 11, Keyword number: 13
fades_dramatically: Topic: 11, Keyword number: 14
woo_handles: Topic: 11, Keyword number: 15
ethan_causes: Topic: 11, Keyword number: 16
rushed_comes: Topic: 11, Keyword number: 17
ethan's: Topic: 11, Keyword number: 18
quickly_blossoming: Topic: 11, Keyword number: 19
simple_action: Topic: 11, Keyword number: 20
woo_end: Topic: 11, Keyword number: 21
guru_john: Topic: 11, Keyword number: 22
making_plot: Topic: 11, Keyword number: 23
guy_problem: Topic: 11, Keyword number: 24
secrets_lies: Topic: 12, Keyword number: 0
secrets: Topic: 12, Keyword number: 1
nonetheless: Topic: 12, Keyword number: 2
frailty: Topic: 12, Keyword number: 3
physically_horrific: Topic: 12, Keyword number: 4
nonetheless_secrets: Topic: 12, Keyword number: 5
least_would: Topic: 12, Keyword number: 6
audience_least: Topic: 12, Keyword number: 7
film's_unspoken: Topic: 12, Keyword number: 8
irony_film's: Topic: 12, Keyword number: 9
filmgoers_likely: Topic: 12, Keyword number: 10
likely_limited: Topic: 12, Keyword number: 11
audience_secrets: Topic: 12, Keyword number: 12
attention_unfortunate: Topic: 12, Keyword number: 13
missteps_one: Topic: 12, Keyword number: 14
watching_fiction: Topic: 12, Keyword number: 15
brenda_blethyn's: Topic: 12, Keyword number: 16
infrequently_aware: Topic: 12, Keyword number: 17
scrutiny_infrequently: Topic: 12, Keyword number: 18
tribute_everyone: Topic: 12, Keyword number: 19
overall_feeling: Topic: 12, Keyword number: 20
obtrusive: Topic: 12, Keyword number: 21
terse_cross-cutting: Topic: 12, Keyword number: 22
scene_terse: Topic: 12, Keyword number: 23
touches_obviously: Topic: 12, Keyword number: 24
animated: Topic: 13, Keyword number: 0
sinister: Topic: 13, Keyword number: 1
disney's: Topic: 13, Keyword number: 2
soundtrack: Topic: 13, Keyword number: 3
cauldron_would: Topic: 13, Keyword number: 4
among_disney's: Topic: 13, Keyword number: 5
fflewdurr_flamm: Topic: 13, Keyword number: 6
flamm: Topic: 13, Keyword number: 7
pearce: Topic: 13, Keyword number: 8
alec_baldwin: Topic: 13, Keyword number: 9
ryan: Topic: 13, Keyword number: 10
book: Topic: 13, Keyword number: 11
fairfolk: Topic: 13, Keyword number: 12
gwythants: Topic: 13, Keyword number: 13
settlers: Topic: 13, Keyword number: 14
artwork: Topic: 13, Keyword number: 15
peter_bowman: Topic: 13, Keyword number: 16
revolutionary: Topic: 13, Keyword number: 17
story's: Topic: 13, Keyword number: 18
notable: Topic: 13, Keyword number: 19
laughable: Topic: 13, Keyword number: 20
efforts: Topic: 13, Keyword number: 21
escape: Topic: 13, Keyword number: 22
insanely_likeable: Topic: 13, Keyword number: 23
insanely: Topic: 13, Keyword number: 24
gay: Topic: 14, Keyword number: 0
ilsa: Topic: 14, Keyword number: 1
visas: Topic: 14, Keyword number: 2
example_hollywood: Topic: 14, Keyword number: 3
english_teacher: Topic: 14, Keyword number: 4
school_english: Topic: 14, Keyword number: 5
every_single: Topic: 14, Keyword number: 6
document_casablanca: Topic: 14, Keyword number: 7
beliavable_realistic: Topic: 14, Keyword number: 8
nitpickers_would: Topic: 14, Keyword number: 9
atmosphere_professional: Topic: 14, Keyword number: 10
movies_death: Topic: 14, Keyword number: 11
ambiguous_people: Topic: 14, Keyword number: 12
even_ambiguous: Topic: 14, Keyword number: 13
embodiment_perfect: Topic: 14, Keyword number: 14
rick/ilsa_coupling: Topic: 14, Keyword number: 15
huston's_maltese: Topic: 14, Keyword number: 16
leads_supporting: Topic: 14, Keyword number: 17
make_tough: Topic: 14, Keyword number: 18
portrayal_rick: Topic: 14, Keyword number: 19
resistance_leader: Topic: 14, Keyword number: 20
friend_rick: Topic: 14, Keyword number: 21
europe_stuck: Topic: 14, Keyword number: 22
thousands_refugees: Topic: 14, Keyword number: 23
conflict_order: Topic: 14, Keyword number: 24
leigh: Topic: 15, Keyword number: 0
van_damme's: Topic: 15, Keyword number: 1
bastard_carolina: Topic: 15, Keyword number: 2
bergman's: Topic: 15, Keyword number: 3
action_buffs: Topic: 15, Keyword number: 4
limitations_genre: Topic: 15, Keyword number: 5
completely_movie: Topic: 15, Keyword number: 6
rather_amplifying: Topic: 15, Keyword number: 7
complement_lam's: Topic: 15, Keyword number: 8
chase_streets: Topic: 15, Keyword number: 9
confident_picture: Topic: 15, Keyword number: 10
run_don't: Topic: 15, Keyword number: 11
things_run: Topic: 15, Keyword number: 12
space_double-barreled: Topic: 15, Keyword number: 13
bordering_gratuity: Topic: 15, Keyword number: 14
comes_often: Topic: 15, Keyword number: 15
debut_precious: Topic: 15, Keyword number: 16
adequate_overly: Topic: 15, Keyword number: 17
tangled_michael's: Topic: 15, Keyword number: 18
named_alex: Topic: 15, Keyword number: 19
moreau_shaken: Topic: 15, Keyword number: 20
rundown_van: Topic: 15, Keyword number: 21
surprise_maximum: Topic: 15, Keyword number: 22
bootleg_copy: Topic: 15, Keyword number: 23
find_bootleg: Topic: 15, Keyword number: 24
green_led: Topic: 16, Keyword number: 0
sake_film's: Topic: 16, Keyword number: 1
walk_nick: Topic: 16, Keyword number: 2
you're_right: Topic: 16, Keyword number: 3
wrath_although: Topic: 16, Keyword number: 4
parody_king: Topic: 16, Keyword number: 5
taken_reserve: Topic: 16, Keyword number: 6
marks_fourth: Topic: 16, Keyword number: 7
remake_marks: Topic: 16, Keyword number: 8
aronofsky's_technical: Topic: 16, Keyword number: 9
coos: Topic: 16, Keyword number: 10
raw_aggressive: Topic: 16, Keyword number: 11
emphasized: Topic: 16, Keyword number: 12
wildly_succeeds: Topic: 16, Keyword number: 13
patterns_intentionally: Topic: 16, Keyword number: 14
max_spindly: Topic: 16, Keyword number: 15
perceptively_zeroing: Topic: 16, Keyword number: 16
eccentricity_it's: Topic: 16, Keyword number: 17
solitude: Topic: 16, Keyword number: 18
repeats_throughout: Topic: 16, Keyword number: 19
forecaster_uses: Topic: 16, Keyword number: 20
couldn't_comment: Topic: 16, Keyword number: 21
true_broad: Topic: 16, Keyword number: 22
disastrously: Topic: 16, Keyword number: 23
wildly_uneven: Topic: 16, Keyword number: 24
max: Topic: 17, Keyword number: 0
survive: Topic: 17, Keyword number: 1
five_people: Topic: 17, Keyword number: 2
museum: Topic: 17, Keyword number: 3
haunted_hill: Topic: 17, Keyword number: 4
ali_carter: Topic: 17, Keyword number: 5
miss_piggy: Topic: 17, Keyword number: 6
classic: Topic: 17, Keyword number: 7
continue: Topic: 17, Keyword number: 8
try_survive: Topic: 17, Keyword number: 9
ghallager: Topic: 17, Keyword number: 10
brigette: Topic: 17, Keyword number: 11
vincent_price: Topic: 17, Keyword number: 12
chris_kattan: Topic: 17, Keyword number: 13
kattan: Topic: 17, Keyword number: 14
ann_miller: Topic: 17, Keyword number: 15
personal_friend: Topic: 17, Keyword number: 16
hoffman_travolta: Topic: 17, Keyword number: 17
piggy: Topic: 17, Keyword number: 18
doc_hopper: Topic: 17, Keyword number: 19
frog: Topic: 17, Keyword number: 20
max's: Topic: 17, Keyword number: 21
movie_fun: Topic: 17, Keyword number: 22
hopper: Topic: 17, Keyword number: 23
mad_city: Topic: 17, Keyword number: 24
tony: Topic: 18, Keyword number: 0
brothers_scriptwriters: Topic: 18, Keyword number: 1
infests_modern: Topic: 18, Keyword number: 2
moral_debauchery: Topic: 18, Keyword number: 3
dogg_makes: Topic: 18, Keyword number: 4
political_rallies: Topic: 18, Keyword number: 5
tough-talking: Topic: 18, Keyword number: 6
dives_cartoonish: Topic: 18, Keyword number: 7
actions_something: Topic: 18, Keyword number: 8
informs_reason: Topic: 18, Keyword number: 9
sell-out: Topic: 18, Keyword number: 10
best_politician: Topic: 18, Keyword number: 11
insincerity: Topic: 18, Keyword number: 12
political_comedy: Topic: 18, Keyword number: 13
won't_take: Topic: 18, Keyword number: 14
trek_scotty: Topic: 18, Keyword number: 15
trek_mel: Topic: 18, Keyword number: 16
creepy_production: Topic: 18, Keyword number: 17
don't_agree: Topic: 18, Keyword number: 18
past_years: Topic: 18, Keyword number: 19
bisexuality: Topic: 18, Keyword number: 20
cinema_history: Topic: 18, Keyword number: 21
american_feature: Topic: 18, Keyword number: 22
disgusted: Topic: 18, Keyword number: 23
girl_nina: Topic: 18, Keyword number: 24
kingpin: Topic: 19, Keyword number: 0
great_deal: Topic: 19, Keyword number: 1
old_plot: Topic: 19, Keyword number: 2
learns_one: Topic: 19, Keyword number: 3
images_evil: Topic: 19, Keyword number: 4
way_creates: Topic: 19, Keyword number: 5
peter_waddington: Topic: 19, Keyword number: 6
screenplay_peter: Topic: 19, Keyword number: 7
occurring_reach: Topic: 19, Keyword number: 8
much_hear: Topic: 19, Keyword number: 9
violence_much: Topic: 19, Keyword number: 10
world_world: Topic: 19, Keyword number: 11
dominate_every: Topic: 19, Keyword number: 12
bennet's_life: Topic: 19, Keyword number: 13
kingpin_pulls: Topic: 19, Keyword number: 14
like_king: Topic: 19, Keyword number: 15
venomous_snake: Topic: 19, Keyword number: 16
beautiful_venomous: Topic: 19, Keyword number: 17
seen_world: Topic: 19, Keyword number: 18
kingpin_calder: Topic: 19, Keyword number: 19
work_depiction: Topic: 19, Keyword number: 20
girl_friend: Topic: 19, Keyword number: 21
old_school: Topic: 19, Keyword number: 22
evil_man: Topic: 19, Keyword number: 23
assassin_probably: Topic: 19, Keyword number: 24
ramp_sequence: Topic: 20, Keyword number: 0
close_challenging: Topic: 20, Keyword number: 1
it's_car: Topic: 20, Keyword number: 2
chase_aren't: Topic: 20, Keyword number: 3
picture_using: Topic: 20, Keyword number: 4
suspense_picture: Topic: 20, Keyword number: 5
successfully_stolen: Topic: 20, Keyword number: 6
though_conclusion: Topic: 20, Keyword number: 7
memphis_timothy: Topic: 20, Keyword number: 8
get_huge: Topic: 20, Keyword number: 9
members_angelina: Topic: 20, Keyword number: 10
know_mannerisms: Topic: 20, Keyword number: 11
easily_gets: Topic: 20, Keyword number: 12
photographs_assorted: Topic: 20, Keyword number: 13
retired_well: Topic: 20, Keyword number: 14
thief_feels: Topic: 20, Keyword number: 15
brother_meet: Topic: 20, Keyword number: 16
ribisi_memphis: Topic: 20, Keyword number: 17
thief_who's: Topic: 20, Keyword number: 18
retired_car: Topic: 20, Keyword number: 19
absolutely_one: Topic: 20, Keyword number: 20
name_absolutely: Topic: 20, Keyword number: 21
entertaining_remake: Topic: 20, Keyword number: 22
bruckheimer_rock: Topic: 20, Keyword number: 23
kalifornia_producer: Topic: 20, Keyword number: 24
beloved: Topic: 21, Keyword number: 0
sethe's: Topic: 21, Keyword number: 1
morrison's: Topic: 21, Keyword number: 2
ed's: Topic: 21, Keyword number: 3
demme: Topic: 21, Keyword number: 4
kentucky: Topic: 21, Keyword number: 5
crises: Topic: 21, Keyword number: 6
beloved_thandie: Topic: 21, Keyword number: 7
farmhouse: Topic: 21, Keyword number: 8
cynthia's: Topic: 21, Keyword number: 9
trademark: Topic: 21, Keyword number: 10
run: Topic: 21, Keyword number: 11
albert: Topic: 21, Keyword number: 12
family_sitting: Topic: 21, Keyword number: 13
life_small-time: Topic: 21, Keyword number: 14
zany_little: Topic: 21, Keyword number: 15
america's_latest: Topic: 21, Keyword number: 16
mcconaughey_provides: Topic: 21, Keyword number: 17
performers_consistently: Topic: 21, Keyword number: 18
film_exceedingly: Topic: 21, Keyword number: 19
media_sure: Topic: 21, Keyword number: 20
ed's_privacy: Topic: 21, Keyword number: 21
cameras_right: Topic: 21, Keyword number: 22
teeth_action: Topic: 21, Keyword number: 23
brushes_teeth: Topic: 21, Keyword number: 24
lab: Topic: 22, Keyword number: 0
realistic_picture: Topic: 22, Keyword number: 1
pondered_society: Topic: 22, Keyword number: 2
democratic_governments: Topic: 22, Keyword number: 3
head_religion: Topic: 22, Keyword number: 4
often_head: Topic: 22, Keyword number: 5
city_philosophers: Topic: 22, Keyword number: 6
condition_ethical: Topic: 22, Keyword number: 7
giant_bugs: Topic: 22, Keyword number: 8
aliens_whether: Topic: 22, Keyword number: 9
city_layers: Topic: 22, Keyword number: 10
powers_turns: Topic: 22, Keyword number: 11
nasty_things: Topic: 22, Keyword number: 12
night_around: Topic: 22, Keyword number: 13
like_noir: Topic: 22, Keyword number: 14
underwater_thriller: Topic: 22, Keyword number: 15
command_operation: Topic: 22, Keyword number: 16
thinly_disguised: Topic: 22, Keyword number: 17
nightly: Topic: 22, Keyword number: 18
spilling_powdered: Topic: 22, Keyword number: 19
nudity_one: Topic: 22, Keyword number: 20
available_wide: Topic: 22, Keyword number: 21
tension_every: Topic: 22, Keyword number: 22
atomic: Topic: 22, Keyword number: 23
eat_labs: Topic: 22, Keyword number: 24
wedding: Topic: 23, Keyword number: 0
star: Topic: 23, Keyword number: 1
many: Topic: 23, Keyword number: 2
story: Topic: 23, Keyword number: 3
cast: Topic: 23, Keyword number: 4
one: Topic: 23, Keyword number: 5
comes: Topic: 23, Keyword number: 6
scene: Topic: 23, Keyword number: 7
series: Topic: 23, Keyword number: 8
fun: Topic: 23, Keyword number: 9
find: Topic: 23, Keyword number: 10
next: Topic: 23, Keyword number: 11
work: Topic: 23, Keyword number: 12
home: Topic: 23, Keyword number: 13
performance: Topic: 23, Keyword number: 14
best: Topic: 23, Keyword number: 15
enough: Topic: 23, Keyword number: 16
seems: Topic: 23, Keyword number: 17
ever: Topic: 23, Keyword number: 18
strong: Topic: 23, Keyword number: 19
throughout: Topic: 23, Keyword number: 20
pretty: Topic: 23, Keyword number: 21
old: Topic: 23, Keyword number: 22
see: Topic: 23, Keyword number: 23
book: Topic: 23, Keyword number: 24
fox: Topic: 24, Keyword number: 0
sense: Topic: 24, Keyword number: 1
brings: Topic: 24, Keyword number: 2
can't: Topic: 24, Keyword number: 3
ideas: Topic: 24, Keyword number: 4
giovanni: Topic: 24, Keyword number: 5
care: Topic: 24, Keyword number: 6
walsh: Topic: 24, Keyword number: 7
thompson: Topic: 24, Keyword number: 8
shall: Topic: 24, Keyword number: 9
joel: Topic: 24, Keyword number: 10
matthau: Topic: 24, Keyword number: 11
would've: Topic: 24, Keyword number: 12
free_time: Topic: 24, Keyword number: 13
townspeople: Topic: 24, Keyword number: 14
slips: Topic: 24, Keyword number: 15
role: Topic: 24, Keyword number: 16
kiyoshi: Topic: 24, Keyword number: 17
metaphysical: Topic: 24, Keyword number: 18
pulse: Topic: 24, Keyword number: 19
perfect_movie: Topic: 24, Keyword number: 20
work_still: Topic: 24, Keyword number: 21
century_fox: Topic: 24, Keyword number: 22
twentieth_century: Topic: 24, Keyword number: 23
century: Topic: 24, Keyword number: 24
blue_blood: Topic: 25, Keyword number: 0
blood_killer: Topic: 25, Keyword number: 1
gabriela: Topic: 25, Keyword number: 2
humour: Topic: 25, Keyword number: 3
braddock: Topic: 25, Keyword number: 4
gabriela's: Topic: 25, Keyword number: 5
scrapbook: Topic: 25, Keyword number: 6
tarantino: Topic: 25, Keyword number: 7
fascination: Topic: 25, Keyword number: 8
watson_bess: Topic: 25, Keyword number: 9
homophobe_racist: Topic: 25, Keyword number: 10
audiences_well: Topic: 25, Keyword number: 11
miramax_it'll: Topic: 25, Keyword number: 12
nice_cult: Topic: 25, Keyword number: 13
curdled_seems: Topic: 25, Keyword number: 14
better_pacing: Topic: 25, Keyword number: 15
minutes_give: Topic: 25, Keyword number: 16
stand_lose: Topic: 25, Keyword number: 17
minutes_could: Topic: 25, Keyword number: 18
seem_drag: Topic: 25, Keyword number: 19
length_running: Topic: 25, Keyword number: 20
fulfill_feature: Topic: 25, Keyword number: 21
material_stretched: Topic: 25, Keyword number: 22
braddock_knows: Topic: 25, Keyword number: 23
amusing_course: Topic: 25, Keyword number: 24
attacks: Topic: 26, Keyword number: 0
jet: Topic: 26, Keyword number: 1
mostly: Topic: 26, Keyword number: 2
stunts: Topic: 26, Keyword number: 3
cop: Topic: 26, Keyword number: 4
cops: Topic: 26, Keyword number: 5
arts: Topic: 26, Keyword number: 6
mystery: Topic: 26, Keyword number: 7
incarnate: Topic: 26, Keyword number: 8
roth: Topic: 26, Keyword number: 9
