fully-ripened_comic: Topic: 2, Keyword number: 0
screen_theater: Topic: 15, Keyword number: 18
sequence_tom: Topic: 15, Keyword number: 19
hypnotized_starts: Topic: 15, Keyword number: 20
loving_married: Topic: 15, Keyword number: 21
bacon_especially: Topic: 15, Keyword number: 22
lisa_tells: Topic: 15, Keyword number: 23
son_maggie: Topic: 15, Keyword number: 24
case_sequel: Topic: 16, Keyword number: 0
marisol_nichols: Topic: 16, Keyword number: 1
sidney's_requisite: Topic: 16, Keyword number: 2
college_deputy: Topic: 16, Keyword number: 3
impossible_care: Topic: 16, Keyword number: 4
one_profitable: Topic: 16, Keyword number: 5
adam_sandler: Topic: 17, Keyword number: 0
consistent_jokes: Topic: 17, Keyword number: 1
ended_laughs: Topic: 17, Keyword number: 2
obvious_robby: Topic: 17, Keyword number: 3
no-show_bride: Topic: 17, Keyword number: 4
sleepless_seattle: Topic: 17, Keyword number: 5
trenches: Topic: 19, Keyword number: 0
seems_inconsiderate: Topic: 19, Keyword number: 1
unlike_sudden: Topic: 19, Keyword number: 2
young_frank: Topic: 19, Keyword number: 3
film's_superb: Topic: 19, Keyword number: 4
despite_relentlessly: Topic: 19, Keyword number: 5
worsening: Topic: 19, Keyword number: 6
dreadful_living: Topic: 19, Keyword number: 7
wooden_objects: Topic: 19, Keyword number: 8
blunt_wooden: Topic: 19, Keyword number: 9
hold_fondness: Topic: 19, Keyword number: 10
job_positions: Topic: 19, Keyword number: 11
helps_get: Topic: 19, Keyword number: 12
chides_daughter: Topic: 19, Keyword number: 13
help_angela's: Topic: 19, Keyword number: 14
watson_father: Topic: 19, Keyword number: 15
get_comments: Topic: 19, Keyword number: 16
moving_ireland: Topic: 19, Keyword number: 17
possible_future: Topic: 19, Keyword number: 18
dreadful: Topic: 19, Keyword number: 19
popular_novel: Topic: 19, Keyword number: 20
blunt: Topic: 19, Keyword number: 21
consensus: Topic: 19, Keyword number: 22
conditions: Topic: 19, Keyword number: 23
poster: Topic: 19, Keyword number: 24
dance: Topic: 20, Keyword number: 0
year: Topic: 20, Keyword number: 1
good: Topic: 20, Keyword number: 2
warriors: Topic: 20, Keyword number: 3
time: Topic: 20, Keyword number: 4
later: Topic: 20, Keyword number: 5
quite: Topic: 20, Keyword number: 6
shall_dance: Topic: 20, Keyword number: 7
horizon: Topic: 20, Keyword number: 8
led: Topic: 20, Keyword number: 9
despite: Topic: 20, Keyword number: 10
plays: Topic: 20, Keyword number: 11
contemporary: Topic: 20, Keyword number: 12
find: Topic: 20, Keyword number: 13
suo: Topic: 20, Keyword number: 14
spot: Topic: 20, Keyword number: 15
idea: Topic: 20, Keyword number: 16
gathering: Topic: 20, Keyword number: 17
team: Topic: 20, Keyword number: 18
black: Topic: 20, Keyword number: 19
must: Topic: 20, Keyword number: 20
set: Topic: 20, Keyword number: 21
riffs: Topic: 20, Keyword number: 22
gory: Topic: 20, Keyword number: 23
independance_day: Topic: 20, Keyword number: 24
also: Topic: 21, Keyword number: 0
york: Topic: 21, Keyword number: 1
work: Topic: 21, Keyword number: 2
fact: Topic: 21, Keyword number: 3
pretty: Topic: 21, Keyword number: 4
park: Topic: 21, Keyword number: 5
final: Topic: 21, Keyword number: 6
matt: Topic: 21, Keyword number: 7
small: Topic: 21, Keyword number: 8
two: Topic: 21, Keyword number: 9
job: Topic: 21, Keyword number: 10
getting: Topic: 21, Keyword number: 11
thing: Topic: 21, Keyword number: 12
new: Topic: 21, Keyword number: 13
annoying: Topic: 21, Keyword number: 14
longer: Topic: 21, Keyword number: 15
said: Topic: 21, Keyword number: 16
country: Topic: 21, Keyword number: 17
played: Topic: 21, Keyword number: 18
soon: Topic: 21, Keyword number: 19
point: Topic: 21, Keyword number: 20
well: Topic: 21, Keyword number: 21
words: Topic: 21, Keyword number: 22
radio: Topic: 21, Keyword number: 23
satan: Topic: 21, Keyword number: 24
jerome_superimposed: Topic: 22, Keyword number: 0
adding_setting's: Topic: 22, Keyword number: 1
composition_emanates: Topic: 22, Keyword number: 2
detectives_alan: Topic: 22, Keyword number: 3
two_ardent: Topic: 22, Keyword number: 4
irene_uma: Topic: 22, Keyword number: 5
sells: Topic: 22, Keyword number: 6
petrie_dish-molded: Topic: 22, Keyword number: 7
also_eliminates: Topic: 22, Keyword number: 8
intelligence_life: Topic: 22, Keyword number: 9
babies_created: Topic: 22, Keyword number: 10
genre_picture: Topic: 22, Keyword number: 11
threatens_blow: Topic: 22, Keyword number: 12
tampering: Topic: 22, Keyword number: 13
jerome_morrow: Topic: 22, Keyword number: 14
colleen: Topic: 22, Keyword number: 15
also_flawless: Topic: 22, Keyword number: 16
enchanted: Topic: 22, Keyword number: 17
improved: Topic: 22, Keyword number: 18
joker: Topic: 23, Keyword number: 0
full_metal: Topic: 23, Keyword number: 1
full: Topic: 23, Keyword number: 2
metal: Topic: 23, Keyword number: 3
drill_instructor: Topic: 23, Keyword number: 4
private_joker: Topic: 23, Keyword number: 5
vietnam_war: Topic: 23, Keyword number: 6
subjected_unfortunately: Topic: 23, Keyword number: 7
soldiers_subjected: Topic: 23, Keyword number: 8
hell_soldiers: Topic: 23, Keyword number: 9
absolute_hell: Topic: 23, Keyword number: 10
sure_however: Topic: 23, Keyword number: 11
debate_depends: Topic: 23, Keyword number: 12
powerful_others: Topic: 23, Keyword number: 13
viewed_powerful: Topic: 23, Keyword number: 14
also_viewed: Topic: 23, Keyword number: 15
others_past: Topic: 23, Keyword number: 16
vietnam_others: Topic: 23, Keyword number: 17
documenting_life: Topic: 23, Keyword number: 18
succeeds_extremely: Topic: 23, Keyword number: 19
anti-war_film: Topic: 23, Keyword number: 20
jacket_debated: Topic: 23, Keyword number: 21
position_must: Topic: 23, Keyword number: 22
actions_interviewing: Topic: 23, Keyword number: 23
interviewing: Topic: 23, Keyword number: 24
jaoui: Topic: 24, Keyword number: 0
agnes: Topic: 24, Keyword number: 1
jean-pierre: Topic: 24, Keyword number: 2
puppeteer_craig: Topic: 24, Keyword number: 3
false_trails: Topic: 24, Keyword number: 4
instinct_played: Topic: 24, Keyword number: 5
maxine_catherine: Topic: 24, Keyword number: 6
odd_way: Topic: 24, Keyword number: 7
pep_light: Topic: 24, Keyword number: 8
still_enough: Topic: 24, Keyword number: 9
bite_satirical: Topic: 24, Keyword number: 10
uncovered_there's: Topic: 24, Keyword number: 11
feelings_deceptions: Topic: 24, Keyword number: 12
party_odile's: Topic: 24, Keyword number: 13
love_old: Topic: 24, Keyword number: 14
he's_married: Topic: 24, Keyword number: 15
pines_he's: Topic: 24, Keyword number: 16
still_pines: Topic: 24, Keyword number: 17
many_doctors: Topic: 24, Keyword number: 18
turns_working: Topic: 24, Keyword number: 19
nicolas_turns: Topic: 24, Keyword number: 20
classy_nicolas: Topic: 24, Keyword number: 21
place_seeing: Topic: 24, Keyword number: 22
dismay_finds: Topic: 24, Keyword number: 23
nerve_tell: Topic: 24, Keyword number: 24
criminal: Topic: 26, Keyword number: 0
black: Topic: 26, Keyword number: 1
wild: Topic: 26, Keyword number: 2
forced: Topic: 26, Keyword number: 3
kay: Topic: 26, Keyword number: 4
gun: Topic: 26, Keyword number: 5
character: Topic: 26, Keyword number: 6
unique: Topic: 26, Keyword number: 7
snatch: Topic: 26, Keyword number: 8
introduced: Topic: 26, Keyword number: 9
complex: Topic: 26, Keyword number: 10
gives: Topic: 26, Keyword number: 11
movies: Topic: 26, Keyword number: 12
soon: Topic: 26, Keyword number: 13
must: Topic: 26, Keyword number: 14
way: Topic: 26, Keyword number: 15
acting: Topic: 26, Keyword number: 16
look: Topic: 26, Keyword number: 17
brick: Topic: 26, Keyword number: 18
responsible: Topic: 26, Keyword number: 19
one_best: Topic: 26, Keyword number: 20
usually: Topic: 26, Keyword number: 21
control: Topic: 26, Keyword number: 22
nature: Topic: 26, Keyword number: 23
physical: Topic: 26, Keyword number: 24
also_adapted: Topic: 27, Keyword number: 0
bluish_filters: Topic: 27, Keyword number: 1
dissipate: Topic: 27, Keyword number: 2
whisperer_country: Topic: 27, Keyword number: 3
frank_chris: Topic: 27, Keyword number: 4
healed_grace: Topic: 27, Keyword number: 5
leg_annie: Topic: 27, Keyword number: 6
understanding_somehow: Topic: 27, Keyword number: 7
whisperer_based: Topic: 27, Keyword number: 8
benson_alma: Topic: 27, Keyword number: 9
early_small: Topic: 27, Keyword number: 10
know_charles: Topic: 27, Keyword number: 11
nine: Topic: 27, Keyword number: 12
demonstrates: Topic: 27, Keyword number: 13
nearby_treehouse: Topic: 27, Keyword number: 14
sympathy: Topic: 27, Keyword number: 15
bizzare_extreme: Topic: 28, Keyword number: 0
act_like: Topic: 28, Keyword number: 1
whole_portal: Topic: 28, Keyword number: 2
catherine_keener: Topic: 28, Keyword number: 3
petstore_explains: Topic: 28, Keyword number: 4
somewhat_understandable: Topic: 28, Keyword number: 5
either_blockbusters: Topic: 28, Keyword number: 6
cheap: Topic: 28, Keyword number: 7
explains: Topic: 28, Keyword number: 8
like_presence: Topic: 29, Keyword number: 0
music_fills: Topic: 29, Keyword number: 1
flowers_accident: Topic: 29, Keyword number: 2
off-screen: Topic: 29, Keyword number: 3
destination: Topic: 30, Keyword number: 0
death: Topic: 30, Keyword number: 1
kristen_cloke: Topic: 30, Keyword number: 2
john_denver: Topic: 30, Keyword number: 3
kristen: Topic: 30, Keyword number: 4
destination_film: Topic: 30, Keyword number: 5
lewton_kristen: Topic: 30, Keyword number: 6
tod_chad: Topic: 30, Keyword number: 7
since_scream: Topic: 30, Keyword number: 8
kerr: Topic: 30, Keyword number: 9
explode: Topic: 30, Keyword number: 10
slasher_genre: Topic: 30, Keyword number: 11
look_flying: Topic: 30, Keyword number: 12
ability_surprise: Topic: 30, Keyword number: 13
seen_manner: Topic: 30, Keyword number: 14
morgan_jeffrey: Topic: 30, Keyword number: 15
screenwriters_glen: Topic: 30, Keyword number: 16
wong_screenwriters: Topic: 30, Keyword number: 17
campy_ultimately: Topic: 30, Keyword number: 18
hits_bullseye: Topic: 30, Keyword number: 19
appearance_rather: Topic: 30, Keyword number: 20
mainly_sawa's: Topic: 30, Keyword number: 21
powerful_ali: Topic: 30, Keyword number: 22
nervousness_turn: Topic: 30, Keyword number: 23
tap_feet: Topic: 30, Keyword number: 24
mama: Topic: 31, Keyword number: 0
mib: Topic: 31, Keyword number: 1
sunday: Topic: 31, Keyword number: 2
via: Topic: 31, Keyword number: 3
house: Topic: 31, Keyword number: 4
mama_jo's: Topic: 31, Keyword number: 5
soul_food: Topic: 31, Keyword number: 6
whilst: Topic: 31, Keyword number: 7
film_deals: Topic: 31, Keyword number: 8
prevent: Topic: 31, Keyword number: 9
living_room: Topic: 31, Keyword number: 10
confirmed: Topic: 31, Keyword number: 11
called_whiskey: Topic: 31, Keyword number: 12
branched_restaurant: Topic: 31, Keyword number: 13
great_comical: Topic: 31, Keyword number: 14
romance_plot: Topic: 31, Keyword number: 15
incessantly_nagging: Topic: 31, Keyword number: 16
already_much: Topic: 31, Keyword number: 17
cringe-inducing_horror: Topic: 31, Keyword number: 18
step_graceful: Topic: 31, Keyword number: 19
borrows_little: Topic: 31, Keyword number: 20
relief_look: Topic: 31, Keyword number: 21
five_it's: Topic: 31, Keyword number: 22
result_minutes: Topic: 31, Keyword number: 23
comedy_successfully: Topic: 31, Keyword number: 24
damned_movie: Topic: 32, Keyword number: 0
three_mile: Topic: 34, Keyword number: 0
phantoms: Topic: 34, Keyword number: 1
final_fantasy: Topic: 34, Keyword number: 2
aliens: Topic: 34, Keyword number: 3
among_james: Topic: 34, Keyword number: 4
barf_bag: Topic: 34, Keyword number: 5
corny_hollywood: Topic: 34, Keyword number: 6
earth_left: Topic: 34, Keyword number: 7
relationship_times: Topic: 34, Keyword number: 8
lindsay_ex-hubby: Topic: 34, Keyword number: 9
around_human: Topic: 34, Keyword number: 10
incidents_around: Topic: 34, Keyword number: 11
three_navy: Topic: 34, Keyword number: 12
dive_part-way: Topic: 34, Keyword number: 13
part-way: Topic: 34, Keyword number: 14
husband_bud: Topic: 34, Keyword number: 15
someone_century: Topic: 34, Keyword number: 16
problem_fairly: Topic: 34, Keyword number: 17
one_member: Topic: 34, Keyword number: 18
expected_much: Topic: 34, Keyword number: 19
film_you'd: Topic: 34, Keyword number: 20
game_eager: Topic: 34, Keyword number: 21
film_looked: Topic: 34, Keyword number: 22
longer_scenes: Topic: 34, Keyword number: 23
hard_sappy: Topic: 34, Keyword number: 24
it's: Topic: 35, Keyword number: 0
three: Topic: 35, Keyword number: 1
part: Topic: 35, Keyword number: 2
kings: Topic: 35, Keyword number: 3
great: Topic: 35, Keyword number: 4
there's: Topic: 35, Keyword number: 5
evil: Topic: 35, Keyword number: 6
things: Topic: 35, Keyword number: 7
men: Topic: 35, Keyword number: 8
spielberg: Topic: 35, Keyword number: 9
another: Topic: 35, Keyword number: 10
movie: Topic: 35, Keyword number: 11
action: Topic: 35, Keyword number: 12
cut: Topic: 35, Keyword number: 13
making: Topic: 35, Keyword number: 14
sure: Topic: 35, Keyword number: 15
getting: Topic: 35, Keyword number: 16
clooney: Topic: 35, Keyword number: 17
beloved: Topic: 35, Keyword number: 18
hit: Topic: 35, Keyword number: 19
cinema: Topic: 35, Keyword number: 20
figure: Topic: 35, Keyword number: 21
full: Topic: 35, Keyword number: 22
lost: Topic: 35, Keyword number: 23
characters: Topic: 35, Keyword number: 24
rescue_fiona: Topic: 36, Keyword number: 0
hip-hop: Topic: 37, Keyword number: 0
tyson: Topic: 37, Keyword number: 1
white: Topic: 37, Keyword number: 2
black_white: Topic: 37, Keyword number: 3
toback: Topic: 37, Keyword number: 4
mike_tyson: Topic: 37, Keyword number: 5
downey: Topic: 37, Keyword number: 6
young_white: Topic: 37, Keyword number: 7
youth: Topic: 37, Keyword number: 8
toback_keeps: Topic: 37, Keyword number: 9
white_girls: Topic: 37, Keyword number: 10
marla_maples: Topic: 37, Keyword number: 11
maples: Topic: 37, Keyword number: 12
claudia_schiffer: Topic: 37, Keyword number: 13
shields: Topic: 37, Keyword number: 14
hip-hop_artists: Topic: 37, Keyword number: 15
dean's: Topic: 37, Keyword number: 16
remembered: Topic: 37, Keyword number: 17
marla: Topic: 37, Keyword number: 18
phillips: Topic: 37, Keyword number: 19
tati_doesn't: Topic: 37, Keyword number: 20
hip-hop_along: Topic: 37, Keyword number: 21
wants_fun: Topic: 37, Keyword number: 22
secondary_film: Topic: 37, Keyword number: 23
becomes_secondary: Topic: 37, Keyword number: 24
dream: Topic: 38, Keyword number: 0
joe's: Topic: 38, Keyword number: 1
american_dream: Topic: 38, Keyword number: 2
new_york: Topic: 38, Keyword number: 3
party: Topic: 38, Keyword number: 4
indians: Topic: 38, Keyword number: 5
success: Topic: 38, Keyword number: 6
bleeding: Topic: 38, Keyword number: 7
man: Topic: 38, Keyword number: 8
party_joe: Topic: 38, Keyword number: 9
emasculation: Topic: 38, Keyword number: 10
ketchup: Topic: 38, Keyword number: 11
virility: Topic: 38, Keyword number: 12
cowboy_hero: Topic: 38, Keyword number: 13
gary_cooper: Topic: 38, Keyword number: 14
orgies: Topic: 38, Keyword number: 15
john_wayne: Topic: 38, Keyword number: 16
final_shot: Topic: 38, Keyword number: 17
raped: Topic: 38, Keyword number: 18
journey: Topic: 38, Keyword number: 19
wayne: Topic: 38, Keyword number: 20
shots: Topic: 38, Keyword number: 21
needs_every: Topic: 38, Keyword number: 22
lives_much: Topic: 38, Keyword number: 23
feeling_tenderness: Topic: 38, Keyword number: 24
glance: Topic: 39, Keyword number: 0
alien_contact: Topic: 39, Keyword number: 1
questions_asks: Topic: 39, Keyword number: 2
lot_summer: Topic: 39, Keyword number: 3
seat_drama: Topic: 39, Keyword number: 4
gump_effects: Topic: 39, Keyword number: 5
stunning_central: Topic: 39, Keyword number: 6
comes_three-year: Topic: 39, Keyword number: 7
bassett_continues: Topic: 39, Keyword number: 8
viable_points: Topic: 39, Keyword number: 9
wisely_eschew: Topic: 39, Keyword number: 10
beliefs_religious: Topic: 39, Keyword number: 11
scripters: Topic: 39, Keyword number: 12
study_ellie: Topic: 39, Keyword number: 13
space_extraterrestrial: Topic: 39, Keyword number: 14
stars_ellie: Topic: 39, Keyword number: 15
accompanying_exhilaration: Topic: 39, Keyword number: 16
excitement_anxiety: Topic: 39, Keyword number: 17
ball_literally: Topic: 39, Keyword number: 18
suit_walking: Topic: 39, Keyword number: 19
contact_reminded: Topic: 39, Keyword number: 20
like_trailing: Topic: 39, Keyword number: 21
concerned_vertical: Topic: 39, Keyword number: 22
habitual: Topic: 39, Keyword number: 23
monkey_doted: Topic: 39, Keyword number: 24
underwater: Topic: 40, Keyword number: 0
original: Topic: 40, Keyword number: 1
rig: Topic: 40, Keyword number: 2
navy_divers: Topic: 40, Keyword number: 3
increasingly: Topic: 40, Keyword number: 4
kenneth_connor: Topic: 40, Keyword number: 5
terminator_see: Topic: 40, Keyword number: 6
achievements_alongside: Topic: 40, Keyword number: 7
maligned_film: Topic: 40, Keyword number: 8
well_reaching: Topic: 40, Keyword number: 9
old_may: Topic: 40, Keyword number: 10
that's_turned: Topic: 40, Keyword number: 11
utterly_incomprehensible: Topic: 40, Keyword number: 12
original_reviewer: Topic: 40, Keyword number: 13
left_original: Topic: 40, Keyword number: 14
world_brink: Topic: 40, Keyword number: 15
power_world: Topic: 40, Keyword number: 16
display_power: Topic: 40, Keyword number: 17
touching_others: Topic: 40, Keyword number: 18
crew_navy: Topic: 40, Keyword number: 19
underwater_cinematography: Topic: 40, Keyword number: 20
stunts_hardware: Topic: 40, Keyword number: 21
acting_cameron's: Topic: 40, Keyword number: 22
odds_crew: Topic: 40, Keyword number: 23
rig_trigger-happy: Topic: 40, Keyword number: 24
mickey: Topic: 42, Keyword number: 0
janet: Topic: 42, Keyword number: 1
natural: Topic: 42, Keyword number: 2
cult: Topic: 42, Keyword number: 3
tim_curry: Topic: 42, Keyword number: 4
curry: Topic: 42, Keyword number: 5
snake: Topic: 42, Keyword number: 6
musical: Topic: 42, Keyword number: 7
institution: Topic: 42, Keyword number: 8
majors: Topic: 42, Keyword number: 9
rocky_horror: Topic: 42, Keyword number: 10
horror_picture: Topic: 42, Keyword number: 11
born_killers: Topic: 42, Keyword number: 12
began: Topic: 42, Keyword number: 13
edition: Topic: 42, Keyword number: 14
self: Topic: 42, Keyword number: 15
culture: Topic: 42, Keyword number: 16
happiness: Topic: 42, Keyword number: 17
they're: Topic: 42, Keyword number: 18
simple_scenes: Topic: 42, Keyword number: 19
feelin_wayne: Topic: 42, Keyword number: 20
creator_universe: Topic: 42, Keyword number: 21
place_sex: Topic: 42, Keyword number: 22
kill_christians: Topic: 42, Keyword number: 23
mallory_kill: Topic: 42, Keyword number: 24
know_don't: Topic: 43, Keyword number: 0
o'neil_much: Topic: 43, Keyword number: 1
forces_female: Topic: 43, Keyword number: 2
davis_he's: Topic: 43, Keyword number: 3
gift: Topic: 43, Keyword number: 4
brautigan: Topic: 43, Keyword number: 5
adults_based: Topic: 45, Keyword number: 0
selection_kilmer: Topic: 45, Keyword number: 1
island_day: Topic: 48, Keyword number: 0
exception_he's: Topic: 48, Keyword number: 1
hauer_kills: Topic: 48, Keyword number: 2
back_revenge: Topic: 48, Keyword number: 3
men_breed: Topic: 48, Keyword number: 4
many_improbabilities: Topic: 48, Keyword number: 5
improbabilities: Topic: 48, Keyword number: 6
sub-plot: Topic: 48, Keyword number: 7
two_men: Topic: 48, Keyword number: 8
wear: Topic: 48, Keyword number: 9
dragon: Topic: 49, Keyword number: 0
monk: Topic: 49, Keyword number: 1
kung: Topic: 49, Keyword number: 2
movie_one-dimensional: Topic: 49, Keyword number: 3
saxon: Topic: 49, Keyword number: 4
eddie: Topic: 49, Keyword number: 5
makes_starship: Topic: 49, Keyword number: 6
indoctrinated_joys: Topic: 49, Keyword number: 7
cast_feels: Topic: 49, Keyword number: 8
sense_film-makers: Topic: 49, Keyword number: 9
bunch_aliens: Topic: 49, Keyword number: 10
earth_group: Topic: 49, Keyword number: 11
endeavor: Topic: 49, Keyword number: 12
plastic_characters: Topic: 49, Keyword number: 13
hypochondriac_history: Topic: 49, Keyword number: 14
study_yeomen: Topic: 49, Keyword number: 15
flat_family: Topic: 49, Keyword number: 16
someone_rent: Topic: 49, Keyword number: 17
married_glum: Topic: 49, Keyword number: 18
material_comforts: Topic: 49, Keyword number: 19
numbers_farce: Topic: 49, Keyword number: 20
top_times: Topic: 49, Keyword number: 21
obvious_flaws: Topic: 49, Keyword number: 22
movie_fights: Topic: 49, Keyword number: 23
appreciate_difference: Topic: 49, Keyword number: 24
see: Topic: 50, Keyword number: 0
movie: Topic: 50, Keyword number: 1
times: Topic: 50, Keyword number: 2
hunting: Topic: 50, Keyword number: 3
feel: Topic: 50, Keyword number: 4
well: Topic: 50, Keyword number: 5
ben: Topic: 50, Keyword number: 6
less: Topic: 50, Keyword number: 7
performance: Topic: 50, Keyword number: 8
kevin_smith: Topic: 50, Keyword number: 9
tell: Topic: 50, Keyword number: 10
