turns_finale: Topic: 1, Keyword number: 0
job_one: Topic: 44, Keyword number: 18
boy_named: Topic: 44, Keyword number: 19
men_trailer: Topic: 45, Keyword number: 0
world_ending: Topic: 48, Keyword number: 0
rennie: Topic: 48, Keyword number: 1
help_need: Topic: 48, Keyword number: 2
face/off_hollywood: Topic: 48, Keyword number: 3
despite_small: Topic: 48, Keyword number: 4
dying_light: Topic: 48, Keyword number: 5
didn't_buy: Topic: 48, Keyword number: 6
want_material: Topic: 48, Keyword number: 7
sake_together: Topic: 48, Keyword number: 8
alone_much: Topic: 48, Keyword number: 9
occur_never: Topic: 48, Keyword number: 10
it's_end: Topic: 48, Keyword number: 11
night_could: Topic: 48, Keyword number: 12
friend_played: Topic: 48, Keyword number: 13
one-two_punch: Topic: 48, Keyword number: 14
we're_rooting: Topic: 48, Keyword number: 15
year's_eve: Topic: 48, Keyword number: 16
study: Topic: 48, Keyword number: 17
happening: Topic: 48, Keyword number: 18
column_starphoenix: Topic: 50, Keyword number: 0
much_jamey: Topic: 50, Keyword number: 1
bits_side-splittingly: Topic: 50, Keyword number: 2
vanessa_kensington: Topic: 50, Keyword number: 3
brief_romantic: Topic: 50, Keyword number: 4
mindy_sterling: Topic: 50, Keyword number: 5
sequel_evil: Topic: 50, Keyword number: 6
kathie_lee: Topic: 50, Keyword number: 7
smoke_sex: Topic: 50, Keyword number: 8
rob: Topic: 50, Keyword number: 9
bob: Topic: 55, Keyword number: 0
sale: Topic: 55, Keyword number: 1
salesmen: Topic: 55, Keyword number: 2
play_cinematic: Topic: 55, Keyword number: 3
coming_marvelous: Topic: 55, Keyword number: 4
understanding_role: Topic: 55, Keyword number: 5
outstanding_understanding: Topic: 55, Keyword number: 6
irony_situation: Topic: 55, Keyword number: 7
prep_bob: Topic: 55, Keyword number: 8
another_tact: Topic: 55, Keyword number: 9
bob_didn't: Topic: 55, Keyword number: 10
talking_jesus: Topic: 55, Keyword number: 11
resigned_going: Topic: 55, Keyword number: 12
spoke_secretary: Topic: 55, Keyword number: 13
phil_spoke: Topic: 55, Keyword number: 14
confrontational_asks: Topic: 55, Keyword number: 15
party_salesmen: Topic: 55, Keyword number: 16
bob_twenties: Topic: 55, Keyword number: 17
away_every: Topic: 55, Keyword number: 18
shaking_everyone's: Topic: 55, Keyword number: 19
lonely_life: Topic: 55, Keyword number: 20
change_painfully: Topic: 55, Keyword number: 21
gone_contemplating: Topic: 55, Keyword number: 22
reflective_best: Topic: 55, Keyword number: 23
woman_phil: Topic: 55, Keyword number: 24
trouble_usage: Topic: 57, Keyword number: 0
manipulated_create: Topic: 57, Keyword number: 1
radiance: Topic: 57, Keyword number: 2
stephen_ward: Topic: 57, Keyword number: 3
gradually: Topic: 57, Keyword number: 4
ancient: Topic: 57, Keyword number: 5
failing: Topic: 57, Keyword number: 6
link: Topic: 57, Keyword number: 7
twister: Topic: 60, Keyword number: 0
device: Topic: 60, Keyword number: 1
implemented: Topic: 60, Keyword number: 2
group_storm: Topic: 60, Keyword number: 3
bill_paxton: Topic: 60, Keyword number: 4
paxton: Topic: 60, Keyword number: 5
precise: Topic: 60, Keyword number: 6
pack: Topic: 60, Keyword number: 7
get_see: Topic: 60, Keyword number: 8
speed: Topic: 60, Keyword number: 9
system: Topic: 60, Keyword number: 10
caused: Topic: 60, Keyword number: 11
please_flying: Topic: 60, Keyword number: 12
spent_watch: Topic: 60, Keyword number: 13
sure_bet: Topic: 60, Keyword number: 14
twister_sure: Topic: 60, Keyword number: 15
whoop: Topic: 60, Keyword number: 16
movie_fever: Topic: 60, Keyword number: 17
effect-dependent_movie: Topic: 60, Keyword number: 18
definitely_effect-dependent: Topic: 60, Keyword number: 19
terror_twister: Topic: 60, Keyword number: 20
stressing_terror: Topic: 60, Keyword number: 21
stressing: Topic: 60, Keyword number: 22
help_lot: Topic: 60, Keyword number: 23
comes_screen: Topic: 60, Keyword number: 24
it's_inoffensive: Topic: 64, Keyword number: 0
player_ethan: Topic: 64, Keyword number: 1
limited_they'd: Topic: 66, Keyword number: 0
considerably_clever: Topic: 66, Keyword number: 1
wanting_bond: Topic: 66, Keyword number: 2
suffers_many: Topic: 66, Keyword number: 3
stands_plot: Topic: 66, Keyword number: 4
magnate: Topic: 66, Keyword number: 5
time_perhaps: Topic: 66, Keyword number: 6
morita_emperor: Topic: 66, Keyword number: 7
committed_lifelong: Topic: 66, Keyword number: 8
keeps: Topic: 66, Keyword number: 9
cowboy: Topic: 67, Keyword number: 0
raped: Topic: 67, Keyword number: 1
cooper: Topic: 67, Keyword number: 2
urge_laughter: Topic: 67, Keyword number: 3
sore_end: Topic: 67, Keyword number: 4
illusory: Topic: 67, Keyword number: 5
progressive: Topic: 67, Keyword number: 6
search_intangible: Topic: 67, Keyword number: 7
morality_new: Topic: 67, Keyword number: 8
fortune_big: Topic: 67, Keyword number: 9
humble_stock: Topic: 67, Keyword number: 10
brave_enough: Topic: 67, Keyword number: 11
dream_frontier: Topic: 67, Keyword number: 12
frontier: Topic: 67, Keyword number: 13
incarnations: Topic: 67, Keyword number: 14
joe_aspire: Topic: 67, Keyword number: 15
scenery_miami: Topic: 67, Keyword number: 16
palm_trees: Topic: 67, Keyword number: 17
exterior: Topic: 67, Keyword number: 18
bus_way: Topic: 67, Keyword number: 19
excitedly_looking: Topic: 67, Keyword number: 20
frequent_pov: Topic: 67, Keyword number: 21
identity_tossing: Topic: 67, Keyword number: 22
commensurately_surrenders: Topic: 67, Keyword number: 23
fantasy_content: Topic: 67, Keyword number: 24
kenobi: Topic: 68, Keyword number: 0
blues: Topic: 68, Keyword number: 1
creatures: Topic: 68, Keyword number: 2
special_effects: Topic: 68, Keyword number: 3
one_huge: Topic: 68, Keyword number: 4
didn't_like: Topic: 68, Keyword number: 5
trailer: Topic: 68, Keyword number: 6
sing: Topic: 68, Keyword number: 7
hope: Topic: 68, Keyword number: 8
i'm: Topic: 68, Keyword number: 9
brothers: Topic: 68, Keyword number: 10
touchingly: Topic: 68, Keyword number: 11
seen_return: Topic: 68, Keyword number: 12
everyone's_part: Topic: 68, Keyword number: 13
kind_even: Topic: 68, Keyword number: 14
forever_entire: Topic: 68, Keyword number: 15
scenery_different: Topic: 68, Keyword number: 16
watch_ships: Topic: 68, Keyword number: 17
space_scenes: Topic: 68, Keyword number: 18
wonderful_realistic: Topic: 68, Keyword number: 19
pilot_become: Topic: 68, Keyword number: 20
meeting_leia: Topic: 68, Keyword number: 21
create_new: Topic: 68, Keyword number: 22
side_destroy: Topic: 68, Keyword number: 23
jedi_luke's: Topic: 68, Keyword number: 24
jar: Topic: 69, Keyword number: 0
menace: Topic: 69, Keyword number: 1
jedi: Topic: 69, Keyword number: 2
obi-wan: Topic: 69, Keyword number: 3
qui-gon: Topic: 69, Keyword number: 4
luke: Topic: 69, Keyword number: 5
luke_han: Topic: 69, Keyword number: 6
galactic: Topic: 69, Keyword number: 7
planet_naboo: Topic: 69, Keyword number: 8
ewan_mcgregor: Topic: 69, Keyword number: 9
film_jar: Topic: 69, Keyword number: 10
galactic_senate: Topic: 69, Keyword number: 11
nanni: Topic: 69, Keyword number: 12
menace_review: Topic: 69, Keyword number: 13
episode_phantom: Topic: 69, Keyword number: 14
settle: Topic: 69, Keyword number: 15
high_art: Topic: 69, Keyword number: 16
screens: Topic: 69, Keyword number: 17
films_made: Topic: 69, Keyword number: 18
invasion: Topic: 69, Keyword number: 19
it's_unclear: Topic: 69, Keyword number: 20
jedi_knights: Topic: 69, Keyword number: 21
interaction: Topic: 69, Keyword number: 22
ewan: Topic: 69, Keyword number: 23
path: Topic: 69, Keyword number: 24
contrast_mystery: Topic: 70, Keyword number: 0
numerous_healings: Topic: 70, Keyword number: 1
perhaps_mystical: Topic: 70, Keyword number: 2
old_sparky: Topic: 70, Keyword number: 3
amazing_creation: Topic: 70, Keyword number: 4
give_real: Topic: 73, Keyword number: 0
roles_steiger: Topic: 73, Keyword number: 1
move_funny: Topic: 73, Keyword number: 2
logic: Topic: 73, Keyword number: 3
exotica: Topic: 77, Keyword number: 0
atom: Topic: 77, Keyword number: 1
proverbial: Topic: 77, Keyword number: 2
atom_egoyan: Topic: 77, Keyword number: 3
egoyan: Topic: 77, Keyword number: 4
daughter: Topic: 77, Keyword number: 5
proverbial_daughter: Topic: 77, Keyword number: 6
becomes_proverbial: Topic: 77, Keyword number: 7
sweet_hereafter: Topic: 77, Keyword number: 8
shop_owner: Topic: 77, Keyword number: 9
pet: Topic: 77, Keyword number: 10
use: Topic: 77, Keyword number: 11
owner: Topic: 77, Keyword number: 12
strip_dancer: Topic: 77, Keyword number: 13
auditor: Topic: 77, Keyword number: 14
sarah: Topic: 77, Keyword number: 15
tax: Topic: 77, Keyword number: 16
ever: Topic: 77, Keyword number: 17
dancer_becomes: Topic: 77, Keyword number: 18
nightclub_rich: Topic: 77, Keyword number: 19
quest_gratification: Topic: 77, Keyword number: 20
gratification: Topic: 77, Keyword number: 21
arsinee: Topic: 77, Keyword number: 22
bruce_greenwood: Topic: 77, Keyword number: 23
greenwood: Topic: 77, Keyword number: 24
porn: Topic: 83, Keyword number: 0
tracy_wright: Topic: 83, Keyword number: 1
shauny_sexton: Topic: 83, Keyword number: 2
shauny: Topic: 83, Keyword number: 3
subversive: Topic: 83, Keyword number: 4
film_takes: Topic: 83, Keyword number: 5
tracy: Topic: 83, Keyword number: 6
shouldn't_missed: Topic: 83, Keyword number: 7
setting_conformity: Topic: 83, Keyword number: 8
made_traditional: Topic: 83, Keyword number: 9
vital_film: Topic: 83, Keyword number: 10
culture_one: Topic: 83, Keyword number: 11
funding_culture: Topic: 83, Keyword number: 12
canadian_government: Topic: 83, Keyword number: 13
garish: Topic: 83, Keyword number: 14
bachmann_terrifically: Topic: 83, Keyword number: 15
bachmann: Topic: 83, Keyword number: 16
lounge_stylings: Topic: 83, Keyword number: 17
score_nicholas: Topic: 83, Keyword number: 18
roberts_afraid: Topic: 83, Keyword number: 19
women_work: Topic: 83, Keyword number: 20
declares_instead: Topic: 83, Keyword number: 21
film_wears: Topic: 83, Keyword number: 22
overall_bubbles: Topic: 83, Keyword number: 23
debut_overall: Topic: 83, Keyword number: 24
chad: Topic: 84, Keyword number: 0
corporate: Topic: 84, Keyword number: 1
company: Topic: 84, Keyword number: 2
guess: Topic: 84, Keyword number: 3
route: Topic: 84, Keyword number: 4
temp: Topic: 84, Keyword number: 5
chad's: Topic: 84, Keyword number: 6
branch: Topic: 84, Keyword number: 7
agrees: Topic: 84, Keyword number: 8
hype: Topic: 84, Keyword number: 9
voice_rosie: Topic: 84, Keyword number: 10
make_decision: Topic: 84, Keyword number: 11
film-the: Topic: 84, Keyword number: 12
could_arguably: Topic: 84, Keyword number: 13
right_elements: Topic: 84, Keyword number: 14
awards_that's: Topic: 84, Keyword number: 15
friends_film: Topic: 84, Keyword number: 16
wrong_friends: Topic: 84, Keyword number: 17
people_tell: Topic: 84, Keyword number: 18
recorded_film: Topic: 84, Keyword number: 19
opinion_best: Topic: 84, Keyword number: 20
aliens_happens: Topic: 84, Keyword number: 21
one_survivor: Topic: 84, Keyword number: 22
thought_she'd: Topic: 84, Keyword number: 23
rogue_alien: Topic: 84, Keyword number: 24
murray_grabs: Topic: 85, Keyword number: 0
think_entire: Topic: 89, Keyword number: 0
biased_usually: Topic: 89, Keyword number: 1
james_cameron's: Topic: 89, Keyword number: 2
oscar_time: Topic: 89, Keyword number: 3
didn't_see: Topic: 89, Keyword number: 4
carter: Topic: 92, Keyword number: 0
martial: Topic: 92, Keyword number: 1
original: Topic: 92, Keyword number: 2
rush: Topic: 92, Keyword number: 3
fight: Topic: 92, Keyword number: 4
martial_arts: Topic: 92, Keyword number: 5
fei-hong: Topic: 92, Keyword number: 6
around: Topic: 92, Keyword number: 7
stunts: Topic: 92, Keyword number: 8
project: Topic: 92, Keyword number: 9
line: Topic: 92, Keyword number: 10
apes: Topic: 92, Keyword number: 11
sequel: Topic: 92, Keyword number: 12
hong_kong: Topic: 92, Keyword number: 13
worth: Topic: 92, Keyword number: 14
seem: Topic: 92, Keyword number: 15
release: Topic: 92, Keyword number: 16
jackie: Topic: 92, Keyword number: 17
american: Topic: 92, Keyword number: 18
can't: Topic: 92, Keyword number: 19
well: Topic: 92, Keyword number: 20
getting: Topic: 92, Keyword number: 21
seal: Topic: 92, Keyword number: 22
motor: Topic: 92, Keyword number: 23
sound: Topic: 92, Keyword number: 24
watch_story: Topic: 96, Keyword number: 0
incongruous_remainder: Topic: 101, Keyword number: 0
voices_nonetheless: Topic: 101, Keyword number: 1
warrior_princesses: Topic: 101, Keyword number: 2
clarity_animation: Topic: 101, Keyword number: 3
demonic_overtones: Topic: 101, Keyword number: 4
films_odd: Topic: 101, Keyword number: 5
though_lack: Topic: 101, Keyword number: 6
neatly: Topic: 101, Keyword number: 7
caan_plays: Topic: 103, Keyword number: 0
lot_cute: Topic: 103, Keyword number: 1
critique_fun: Topic: 103, Keyword number: 2
look_feel: Topic: 103, Keyword number: 3
lawrence_arabia: Topic: 104, Keyword number: 0
fell_golden-era: Topic: 104, Keyword number: 1
golden-era: Topic: 104, Keyword number: 2
velvet_curtain: Topic: 104, Keyword number: 3
wont_justice: Topic: 104, Keyword number: 4
full-size: Topic: 104, Keyword number: 5
need_blow: Topic: 104, Keyword number: 6
thought_trying: Topic: 104, Keyword number: 7
portrait_living: Topic: 104, Keyword number: 8
location_face: Topic: 104, Keyword number: 9
using_stunning: Topic: 104, Keyword number: 10
maps_british: Topic: 104, Keyword number: 11
bored_assignment: Topic: 104, Keyword number: 12
military_discipline: Topic: 104, Keyword number: 13
sort_military: Topic: 104, Keyword number: 14
