like: Topic: 0, Keyword number: 0
stunning: Topic: 7, Keyword number: 10
release: Topic: 7, Keyword number: 11
shop: Topic: 7, Keyword number: 12
identity: Topic: 7, Keyword number: 13
michelle: Topic: 7, Keyword number: 14
young: Topic: 7, Keyword number: 15
owner: Topic: 7, Keyword number: 16
new: Topic: 7, Keyword number: 17
western: Topic: 7, Keyword number: 18
humour: Topic: 7, Keyword number: 19
away: Topic: 7, Keyword number: 20
lee: Topic: 7, Keyword number: 21
joy: Topic: 7, Keyword number: 22
opening: Topic: 7, Keyword number: 23
cynthia: Topic: 7, Keyword number: 24
film: Topic: 8, Keyword number: 0
one: Topic: 8, Keyword number: 1
movie: Topic: 8, Keyword number: 2
life: Topic: 8, Keyword number: 3
good: Topic: 8, Keyword number: 4
would: Topic: 8, Keyword number: 5
story: Topic: 8, Keyword number: 6
it's: Topic: 8, Keyword number: 7
really: Topic: 8, Keyword number: 8
even: Topic: 8, Keyword number: 9
also: Topic: 8, Keyword number: 10
world: Topic: 8, Keyword number: 11
like: Topic: 8, Keyword number: 12
see: Topic: 8, Keyword number: 13
character: Topic: 8, Keyword number: 14
man: Topic: 8, Keyword number: 15
think: Topic: 8, Keyword number: 16
right: Topic: 8, Keyword number: 17
another: Topic: 8, Keyword number: 18
best: Topic: 8, Keyword number: 19
every: Topic: 8, Keyword number: 20
characters: Topic: 8, Keyword number: 21
two: Topic: 8, Keyword number: 22
minutes: Topic: 8, Keyword number: 23
first: Topic: 8, Keyword number: 24
mel: Topic: 9, Keyword number: 0
blair: Topic: 9, Keyword number: 1
become: Topic: 9, Keyword number: 2
different: Topic: 9, Keyword number: 3
braveheart: Topic: 9, Keyword number: 4
grease: Topic: 9, Keyword number: 5
neil: Topic: 9, Keyword number: 6
however: Topic: 9, Keyword number: 7
could: Topic: 9, Keyword number: 8
get: Topic: 9, Keyword number: 9
blair_witch: Topic: 9, Keyword number: 10
mel_gibson: Topic: 9, Keyword number: 11
every: Topic: 9, Keyword number: 12
camera: Topic: 9, Keyword number: 13
films: Topic: 9, Keyword number: 14
blue: Topic: 9, Keyword number: 15
carlito's: Topic: 9, Keyword number: 16
parents: Topic: 9, Keyword number: 17
script: Topic: 9, Keyword number: 18
natasha: Topic: 9, Keyword number: 19
appealing: Topic: 9, Keyword number: 20
filmed: Topic: 9, Keyword number: 21
best: Topic: 9, Keyword number: 22
little: Topic: 9, Keyword number: 23
parts: Topic: 9, Keyword number: 24
science: Topic: 10, Keyword number: 0
special: Topic: 10, Keyword number: 1
fiction: Topic: 10, Keyword number: 2
space: Topic: 10, Keyword number: 3
effects: Topic: 10, Keyword number: 4
back: Topic: 10, Keyword number: 5
contact: Topic: 10, Keyword number: 6
one: Topic: 10, Keyword number: 7
science_fiction: Topic: 10, Keyword number: 8
humans: Topic: 10, Keyword number: 9
planet: Topic: 10, Keyword number: 10
say: Topic: 10, Keyword number: 11
special_effects: Topic: 10, Keyword number: 12
element: Topic: 10, Keyword number: 13
comes: Topic: 10, Keyword number: 14
sci-fi: Topic: 10, Keyword number: 15
must: Topic: 10, Keyword number: 16
fantasy: Topic: 10, Keyword number: 17
big: Topic: 10, Keyword number: 18
apes: Topic: 10, Keyword number: 19
sound: Topic: 10, Keyword number: 20
tim: Topic: 10, Keyword number: 21
day: Topic: 10, Keyword number: 22
left: Topic: 10, Keyword number: 23
end: Topic: 10, Keyword number: 24
james: Topic: 11, Keyword number: 0
leila: Topic: 11, Keyword number: 1
carry: Topic: 11, Keyword number: 2
frank: Topic: 11, Keyword number: 3
hunter: Topic: 11, Keyword number: 4
another: Topic: 11, Keyword number: 5
frequency: Topic: 11, Keyword number: 6
part: Topic: 11, Keyword number: 7
return: Topic: 11, Keyword number: 8
peter: Topic: 11, Keyword number: 9
henry: Topic: 11, Keyword number: 10
kenneth: Topic: 11, Keyword number: 11
role: Topic: 11, Keyword number: 12
director: Topic: 11, Keyword number: 13
hospital: Topic: 11, Keyword number: 14
son: Topic: 11, Keyword number: 15
sid: Topic: 11, Keyword number: 16
williams: Topic: 11, Keyword number: 17
even_though: Topic: 11, Keyword number: 18
completely: Topic: 11, Keyword number: 19
john: Topic: 11, Keyword number: 20
medical: Topic: 11, Keyword number: 21
hawtrey: Topic: 11, Keyword number: 22
blood: Topic: 11, Keyword number: 23
jim: Topic: 11, Keyword number: 24
film: Topic: 12, Keyword number: 0
characters: Topic: 12, Keyword number: 1
larry: Topic: 12, Keyword number: 2
great: Topic: 12, Keyword number: 3
family: Topic: 12, Keyword number: 4
crew: Topic: 12, Keyword number: 5
wife: Topic: 12, Keyword number: 6
audience: Topic: 12, Keyword number: 7
clearly: Topic: 12, Keyword number: 8
sexual: Topic: 12, Keyword number: 9
trying: Topic: 12, Keyword number: 10
real: Topic: 12, Keyword number: 11
scenes: Topic: 12, Keyword number: 12
seems: Topic: 12, Keyword number: 13
marty: Topic: 12, Keyword number: 14
jordan: Topic: 12, Keyword number: 15
later: Topic: 12, Keyword number: 16
comes: Topic: 12, Keyword number: 17
one: Topic: 12, Keyword number: 18
minor: Topic: 12, Keyword number: 19
hate: Topic: 12, Keyword number: 20
jokes: Topic: 12, Keyword number: 21
woody: Topic: 12, Keyword number: 22
played: Topic: 12, Keyword number: 23
story: Topic: 12, Keyword number: 24
doesn't: Topic: 13, Keyword number: 0
he's: Topic: 13, Keyword number: 1
run: Topic: 13, Keyword number: 2
cast: Topic: 13, Keyword number: 3
one: Topic: 13, Keyword number: 4
bit: Topic: 13, Keyword number: 5
year: Topic: 13, Keyword number: 6
script: Topic: 13, Keyword number: 7
scene: Topic: 13, Keyword number: 8
character: Topic: 13, Keyword number: 9
interesting: Topic: 13, Keyword number: 10
number: Topic: 13, Keyword number: 11
it's: Topic: 13, Keyword number: 12
night: Topic: 13, Keyword number: 13
something: Topic: 13, Keyword number: 14
everything: Topic: 13, Keyword number: 15
last: Topic: 13, Keyword number: 16
voice: Topic: 13, Keyword number: 17
film: Topic: 13, Keyword number: 18
fine: Topic: 13, Keyword number: 19
serious: Topic: 13, Keyword number: 20
films: Topic: 13, Keyword number: 21
chicken_run: Topic: 13, Keyword number: 22
sequence: Topic: 13, Keyword number: 23
set: Topic: 13, Keyword number: 24
black: Topic: 14, Keyword number: 0
cauldron: Topic: 14, Keyword number: 1
black_cauldron: Topic: 14, Keyword number: 2
spielberg: Topic: 14, Keyword number: 3
disney: Topic: 14, Keyword number: 4
africans: Topic: 14, Keyword number: 5
slavery: Topic: 14, Keyword number: 6
hopkins: Topic: 14, Keyword number: 7
king: Topic: 14, Keyword number: 8
power: Topic: 14, Keyword number: 9
free: Topic: 14, Keyword number: 10
court: Topic: 14, Keyword number: 11
men: Topic: 14, Keyword number: 12
case: Topic: 14, Keyword number: 13
buzz: Topic: 14, Keyword number: 14
mcconaughey: Topic: 14, Keyword number: 15
human: Topic: 14, Keyword number: 16
grisham: Topic: 14, Keyword number: 17
john: Topic: 14, Keyword number: 18
slaves: Topic: 14, Keyword number: 19
hearts: Topic: 14, Keyword number: 20
baldwin: Topic: 14, Keyword number: 21
spielberg's: Topic: 14, Keyword number: 22
opening: Topic: 14, Keyword number: 23
president: Topic: 14, Keyword number: 24
love: Topic: 15, Keyword number: 0
comedy: Topic: 15, Keyword number: 1
romantic: Topic: 15, Keyword number: 2
norton: Topic: 15, Keyword number: 3
two: Topic: 15, Keyword number: 4
seems: Topic: 15, Keyword number: 5
culture: Topic: 15, Keyword number: 6
power: Topic: 15, Keyword number: 7
american: Topic: 15, Keyword number: 8
true: Topic: 15, Keyword number: 9
black: Topic: 15, Keyword number: 10
parker: Topic: 15, Keyword number: 11
religion: Topic: 15, Keyword number: 12
either: Topic: 15, Keyword number: 13
anna: Topic: 15, Keyword number: 14
faith: Topic: 15, Keyword number: 15
heart: Topic: 15, Keyword number: 16
sliding: Topic: 15, Keyword number: 17
dialogue: Topic: 15, Keyword number: 18
smith: Topic: 15, Keyword number: 19
relationships: Topic: 15, Keyword number: 20
catholic: Topic: 15, Keyword number: 21
romantic_comedy: Topic: 15, Keyword number: 22
joke: Topic: 15, Keyword number: 23
brother: Topic: 15, Keyword number: 24
musical: Topic: 16, Keyword number: 0
full: Topic: 16, Keyword number: 1
songs: Topic: 16, Keyword number: 2
lama: Topic: 16, Keyword number: 3
dalai: Topic: 16, Keyword number: 4
monty: Topic: 16, Keyword number: 5
hero: Topic: 16, Keyword number: 6
dalai_lama: Topic: 16, Keyword number: 7
full_monty: Topic: 16, Keyword number: 8
chinese: Topic: 16, Keyword number: 9
max: Topic: 16, Keyword number: 10
interesting: Topic: 16, Keyword number: 11
sometimes: Topic: 16, Keyword number: 12
rushmore: Topic: 16, Keyword number: 13
wag_dog: Topic: 16, Keyword number: 14
hollywood: Topic: 16, Keyword number: 15
martin: Topic: 16, Keyword number: 16
one_thing: Topic: 16, Keyword number: 17
sister: Topic: 16, Keyword number: 18
alan: Topic: 16, Keyword number: 19
tibet: Topic: 16, Keyword number: 20
club: Topic: 16, Keyword number: 21
together: Topic: 16, Keyword number: 22
actors: Topic: 16, Keyword number: 23
across: Topic: 16, Keyword number: 24
first: Topic: 17, Keyword number: 0
although: Topic: 17, Keyword number: 1
stuart: Topic: 17, Keyword number: 2
clooney: Topic: 17, Keyword number: 3
whale: Topic: 17, Keyword number: 4
child: Topic: 17, Keyword number: 5
story: Topic: 17, Keyword number: 6
little: Topic: 17, Keyword number: 7
kidman: Topic: 17, Keyword number: 8
taken: Topic: 17, Keyword number: 9
george: Topic: 17, Keyword number: 10
house: Topic: 17, Keyword number: 11
find: Topic: 17, Keyword number: 12
take: Topic: 17, Keyword number: 13
martin: Topic: 17, Keyword number: 14
egypt: Topic: 17, Keyword number: 15
party: Topic: 17, Keyword number: 16
back: Topic: 17, Keyword number: 17
shall: Topic: 17, Keyword number: 18
kings: Topic: 17, Keyword number: 19
there's: Topic: 17, Keyword number: 20
mouse: Topic: 17, Keyword number: 21
trying: Topic: 17, Keyword number: 22
boone: Topic: 17, Keyword number: 23
worm: Topic: 17, Keyword number: 24
scream: Topic: 18, Keyword number: 0
teacher: Topic: 18, Keyword number: 1
craven: Topic: 18, Keyword number: 2
sidney: Topic: 18, Keyword number: 3
nights: Topic: 18, Keyword number: 4
school: Topic: 18, Keyword number: 5
boogie_nights: Topic: 18, Keyword number: 6
williamson: Topic: 18, Keyword number: 7
washington: Topic: 18, Keyword number: 8
campbell: Topic: 18, Keyword number: 9
neve: Topic: 18, Keyword number: 10
stab: Topic: 18, Keyword number: 11
hurricane: Topic: 18, Keyword number: 12
kevin: Topic: 18, Keyword number: 13
high_school: Topic: 18, Keyword number: 14
wes: Topic: 18, Keyword number: 15
last: Topic: 18, Keyword number: 16
college: Topic: 18, Keyword number: 17
sequel: Topic: 18, Keyword number: 18
first: Topic: 18, Keyword number: 19
neve_campbell: Topic: 18, Keyword number: 20
industry: Topic: 18, Keyword number: 21
could: Topic: 18, Keyword number: 22
homer: Topic: 18, Keyword number: 23
october_sky: Topic: 18, Keyword number: 24
film: Topic: 19, Keyword number: 0
action: Topic: 19, Keyword number: 1
one: Topic: 19, Keyword number: 2
aliens: Topic: 19, Keyword number: 3
jedi: Topic: 19, Keyword number: 4
new: Topic: 19, Keyword number: 5
special: Topic: 19, Keyword number: 6
even: Topic: 19, Keyword number: 7
planet: Topic: 19, Keyword number: 8
would: Topic: 19, Keyword number: 9
wars: Topic: 19, Keyword number: 10
lucas: Topic: 19, Keyword number: 11
ripley: Topic: 19, Keyword number: 12
however: Topic: 19, Keyword number: 13
good: Topic: 19, Keyword number: 14
best: Topic: 19, Keyword number: 15
star: Topic: 19, Keyword number: 16
george: Topic: 19, Keyword number: 17
plot: Topic: 19, Keyword number: 18
years: Topic: 19, Keyword number: 19
entertaining: Topic: 19, Keyword number: 20
hollywood: Topic: 19, Keyword number: 21
genre: Topic: 19, Keyword number: 22
john: Topic: 19, Keyword number: 23
character: Topic: 19, Keyword number: 24
wife: Topic: 20, Keyword number: 0
cole: Topic: 20, Keyword number: 1
character: Topic: 20, Keyword number: 2
game: Topic: 20, Keyword number: 3
found: Topic: 20, Keyword number: 4
ending: Topic: 20, Keyword number: 5
computer: Topic: 20, Keyword number: 6
around: Topic: 20, Keyword number: 7
seems: Topic: 20, Keyword number: 8
need: Topic: 20, Keyword number: 9
second: Topic: 20, Keyword number: 10
violence: Topic: 20, Keyword number: 11
osment: Topic: 20, Keyword number: 12
review: Topic: 20, Keyword number: 13
almost: Topic: 20, Keyword number: 14
may: Topic: 20, Keyword number: 15
god: Topic: 20, Keyword number: 16
parents: Topic: 20, Keyword number: 17
generation: Topic: 20, Keyword number: 18
media: Topic: 20, Keyword number: 19
ability: Topic: 20, Keyword number: 20
give: Topic: 20, Keyword number: 21
thriller: Topic: 20, Keyword number: 22
performances: Topic: 20, Keyword number: 23
one: Topic: 20, Keyword number: 24
new: Topic: 21, Keyword number: 0
sixth: Topic: 21, Keyword number: 1
long: Topic: 21, Keyword number: 2
sixth_sense: Topic: 21, Keyword number: 3
like: Topic: 21, Keyword number: 4
actor: Topic: 21, Keyword number: 5
much: Topic: 21, Keyword number: 6
cast: Topic: 21, Keyword number: 7
seeing: Topic: 21, Keyword number: 8
boy: Topic: 21, Keyword number: 9
also: Topic: 21, Keyword number: 10
seen: Topic: 21, Keyword number: 11
bill: Topic: 21, Keyword number: 12
even: Topic: 21, Keyword number: 13
pleasantville: Topic: 21, Keyword number: 14
character: Topic: 21, Keyword number: 15
he's: Topic: 21, Keyword number: 16
role: Topic: 21, Keyword number: 17
end: Topic: 21, Keyword number: 18
roger: Topic: 21, Keyword number: 19
job: Topic: 21, Keyword number: 20
characters: Topic: 21, Keyword number: 21
although: Topic: 21, Keyword number: 22
eventually: Topic: 21, Keyword number: 23
disc: Topic: 21, Keyword number: 24
topic: Topic: 22, Keyword number: 0
number: Topic: 22, Keyword number: 1
keyword_number: Topic: 22, Keyword number: 2
keyword: Topic: 22, Keyword number: 3
existenz: Topic: 22, Keyword number: 4
reality: Topic: 22, Keyword number: 5
virtual: Topic: 22, Keyword number: 6
game: Topic: 22, Keyword number: 7
notting: Topic: 22, Keyword number: 8
von_bulow: Topic: 22, Keyword number: 9
bulow: Topic: 22, Keyword number: 10
one_topic: Topic: 22, Keyword number: 11
astronauts: Topic: 22, Keyword number: 12
number_one: Topic: 22, Keyword number: 13
family: Topic: 22, Keyword number: 14
one: Topic: 22, Keyword number: 15
virtual_reality: Topic: 22, Keyword number: 16
movies: Topic: 22, Keyword number: 17
world: Topic: 22, Keyword number: 18
kaufman: Topic: 22, Keyword number: 19
notting_hill: Topic: 22, Keyword number: 20
fuller: Topic: 22, Keyword number: 21
number_film: Topic: 22, Keyword number: 22
hill: Topic: 22, Keyword number: 23
story: Topic: 22, Keyword number: 24
men: Topic: 23, Keyword number: 0
man: Topic: 23, Keyword number: 1
bill: Topic: 23, Keyword number: 2
home: Topic: 23, Keyword number: 3
edward: Topic: 23, Keyword number: 4
performance: Topic: 23, Keyword number: 5
next: Topic: 23, Keyword number: 6
two: Topic: 23, Keyword number: 7
end: Topic: 23, Keyword number: 8
strange: Topic: 23, Keyword number: 9
finds: Topic: 23, Keyword number: 10
cell: Topic: 23, Keyword number: 11
mile: Topic: 23, Keyword number: 12
easy: Topic: 23, Keyword number: 13
steven: Topic: 23, Keyword number: 14
last: Topic: 23, Keyword number: 15
body: Topic: 23, Keyword number: 16
along: Topic: 23, Keyword number: 17
way: Topic: 23, Keyword number: 18
stop: Topic: 23, Keyword number: 19
hope: Topic: 23, Keyword number: 20
chance: Topic: 23, Keyword number: 21
felt: Topic: 23, Keyword number: 22
act: Topic: 23, Keyword number: 23
interesting: Topic: 23, Keyword number: 24
trek: Topic: 24, Keyword number: 0
star: Topic: 24, Keyword number: 1
star_trek: Topic: 24, Keyword number: 2
michael: Topic: 24, Keyword number: 3
next: Topic: 24, Keyword number: 4
series: Topic: 24, Keyword number: 5
insurrection: Topic: 24, Keyword number: 6
ba'ku: Topic: 24, Keyword number: 7
enterprise: Topic: 24, Keyword number: 8
contact: Topic: 24, Keyword number: 9
picard: Topic: 24, Keyword number: 10
fans: Topic: 24, Keyword number: 11
generation: Topic: 24, Keyword number: 12
show: Topic: 24, Keyword number: 13
brady: Topic: 24, Keyword number: 14
fashion: Topic: 24, Keyword number: 15
galaxy: Topic: 24, Keyword number: 16
zoolander: Topic: 24, Keyword number: 17
next_generation: Topic: 24, Keyword number: 18
young: Topic: 24, Keyword number: 19
trek_next: Topic: 24, Keyword number: 20
francie: Topic: 24, Keyword number: 21
space: Topic: 24, Keyword number: 22
federation: Topic: 24, Keyword number: 23
trek_insurrection: Topic: 24, Keyword number: 24
angels: Topic: 25, Keyword number: 0
city: Topic: 25, Keyword number: 1
sonny: Topic: 25, Keyword number: 2
run: Topic: 25, Keyword number: 3
apostle: Topic: 25, Keyword number: 4
city_angels: Topic: 25, Keyword number: 5
human: Topic: 25, Keyword number: 6
another: Topic: 25, Keyword number: 7
lola: Topic: 25, Keyword number: 8
cage: Topic: 25, Keyword number: 9
job: Topic: 25, Keyword number: 10
church: Topic: 25, Keyword number: 11
seth: Topic: 25, Keyword number: 12
religious: Topic: 25, Keyword number: 13
onegin: Topic: 25, Keyword number: 14
angel: Topic: 25, Keyword number: 15
heaven: Topic: 25, Keyword number: 16
expected: Topic: 25, Keyword number: 17
desire: Topic: 25, Keyword number: 18
live: Topic: 25, Keyword number: 19
lola_run: Topic: 25, Keyword number: 20
run_lola: Topic: 25, Keyword number: 21
jamaican: Topic: 25, Keyword number: 22
patient: Topic: 25, Keyword number: 23
russian: Topic: 25, Keyword number: 24
bulworth: Topic: 26, Keyword number: 0
bowfinger: Topic: 26, Keyword number: 1
john: Topic: 26, Keyword number: 2
ramsey: Topic: 26, Keyword number: 3
shot: Topic: 26, Keyword number: 4
doors: Topic: 26, Keyword number: 5
prince: Topic: 26, Keyword number: 6
kit: Topic: 26, Keyword number: 7
travolta: Topic: 26, Keyword number: 8
line: Topic: 26, Keyword number: 9
jean: Topic: 26, Keyword number: 10
hollywood: Topic: 26, Keyword number: 11
sliding_doors: Topic: 26, Keyword number: 12
bulworth's: Topic: 26, Keyword number: 13
baseball: Topic: 26, Keyword number: 14
political: Topic: 26, Keyword number: 15
perhaps: Topic: 26, Keyword number: 16
truth: Topic: 26, Keyword number: 17
martin: Topic: 26, Keyword number: 18
stars: Topic: 26, Keyword number: 19
different: Topic: 26, Keyword number: 20
trekkies: Topic: 26, Keyword number: 21
john_travolta: Topic: 26, Keyword number: 22
stories: Topic: 26, Keyword number: 23
familiar: Topic: 26, Keyword number: 24
family: Topic: 27, Keyword number: 0
scene: Topic: 27, Keyword number: 1
brooks: Topic: 27, Keyword number: 2
fox: Topic: 27, Keyword number: 3
know: Topic: 27, Keyword number: 4
little: Topic: 27, Keyword number: 5
away: Topic: 27, Keyword number: 6
school: Topic: 27, Keyword number: 7
father: Topic: 27, Keyword number: 8
boys: Topic: 27, Keyword number: 9
may: Topic: 27, Keyword number: 10
couple: Topic: 27, Keyword number: 11
teen: Topic: 27, Keyword number: 12
friend: Topic: 27, Keyword number: 13
year: Topic: 27, Keyword number: 14
sex: Topic: 27, Keyword number: 15
girlfriend: Topic: 27, Keyword number: 16
i'm: Topic: 27, Keyword number: 17
american: Topic: 27, Keyword number: 18
young: Topic: 27, Keyword number: 19
loves: Topic: 27, Keyword number: 20
share: Topic: 27, Keyword number: 21
high: Topic: 27, Keyword number: 22
years_ago: Topic: 27, Keyword number: 23
also: Topic: 27, Keyword number: 24
film: Topic: 28, Keyword number: 0
however: Topic: 28, Keyword number: 1
many: Topic: 28, Keyword number: 2
scenes: Topic: 28, Keyword number: 3
character: Topic: 28, Keyword number: 4
would: Topic: 28, Keyword number: 5
see: Topic: 28, Keyword number: 6
way: Topic: 28, Keyword number: 7
also: Topic: 28, Keyword number: 8
great: Topic: 28, Keyword number: 9
role: Topic: 28, Keyword number: 10
script: Topic: 28, Keyword number: 11
war: Topic: 28, Keyword number: 12
quite: Topic: 28, Keyword number: 13
best: Topic: 28, Keyword number: 14
actors: Topic: 28, Keyword number: 15
young: Topic: 28, Keyword number: 16
well: Topic: 28, Keyword number: 17
mind: Topic: 28, Keyword number: 18
movies: Topic: 28, Keyword number: 19
it's: Topic: 28, Keyword number: 20
action: Topic: 28, Keyword number: 21
become: Topic: 28, Keyword number: 22
extremely: Topic: 28, Keyword number: 23
performance: Topic: 28, Keyword number: 24
tilocblob: Topic: 29, Keyword number: 0
tilocblob_tilocblob: Topic: 29, Keyword number: 1
spoon: Topic: 29, Keyword number: 2
gridlock'd: Topic: 29, Keyword number: 3
shakur: Topic: 29, Keyword number: 4
cookie: Topic: 29, Keyword number: 5
vondie: Topic: 29, Keyword number: 6
tupac_shakur: Topic: 29, Keyword number: 7
