crew: Topic: 0, Keyword number: 0
comedy: Topic: 24, Keyword number: 7
woody_harrelson: Topic: 24, Keyword number: 8
harrelson: Topic: 24, Keyword number: 9
handle: Topic: 24, Keyword number: 10
drawn: Topic: 24, Keyword number: 11
distract: Topic: 24, Keyword number: 12
nelson: Topic: 24, Keyword number: 13
fad_king: Topic: 24, Keyword number: 14
giddy: Topic: 24, Keyword number: 15
american_politics: Topic: 24, Keyword number: 16
motss's: Topic: 24, Keyword number: 17
albanian: Topic: 24, Keyword number: 18
hollywood_producer: Topic: 24, Keyword number: 19
anne_heche: Topic: 24, Keyword number: 20
scandal: Topic: 24, Keyword number: 21
deniro_distract: Topic: 24, Keyword number: 22
cia: Topic: 24, Keyword number: 23
commercials: Topic: 24, Keyword number: 24
behind_flash: Topic: 25, Keyword number: 0
achievement_filmmaking: Topic: 25, Keyword number: 1
run_achievement: Topic: 25, Keyword number: 2
lost_bag: Topic: 25, Keyword number: 3
novikov: Topic: 25, Keyword number: 4
find_strangely: Topic: 26, Keyword number: 0
dinner_brother: Topic: 26, Keyword number: 1
hints: Topic: 26, Keyword number: 2
lumumba: Topic: 28, Keyword number: 0
patrice: Topic: 28, Keyword number: 1
peck: Topic: 28, Keyword number: 2
belgian: Topic: 28, Keyword number: 3
african: Topic: 28, Keyword number: 4
docudrama: Topic: 28, Keyword number: 5
patrice_lumumba: Topic: 28, Keyword number: 6
masters: Topic: 28, Keyword number: 7
minister: Topic: 28, Keyword number: 8
pascal: Topic: 28, Keyword number: 9
eriq_ebouaney: Topic: 28, Keyword number: 10
lumumba's: Topic: 28, Keyword number: 11
congo: Topic: 28, Keyword number: 12
government: Topic: 28, Keyword number: 13
months: Topic: 28, Keyword number: 14
role_way: Topic: 28, Keyword number: 15
seen_hollywood: Topic: 28, Keyword number: 16
telling_anything: Topic: 28, Keyword number: 17
politicos_intelligence: Topic: 28, Keyword number: 18
buffs_politicos: Topic: 28, Keyword number: 19
film_buffs: Topic: 28, Keyword number: 20
buffs: Topic: 28, Keyword number: 21
educational_honest: Topic: 28, Keyword number: 22
interesting_educational: Topic: 28, Keyword number: 23
solid_interesting: Topic: 28, Keyword number: 24
stunt_specialist: Topic: 29, Keyword number: 0
seems_deliberately: Topic: 29, Keyword number: 1
exactly_know: Topic: 29, Keyword number: 2
supernatural_powers: Topic: 29, Keyword number: 3
cheese_gaudy: Topic: 29, Keyword number: 4
concepts_squandered: Topic: 29, Keyword number: 5
long_isn't: Topic: 29, Keyword number: 6
react_schwartzman: Topic: 29, Keyword number: 7
day_still: Topic: 29, Keyword number: 8
someone_age: Topic: 29, Keyword number: 9
seen_schwartzman: Topic: 29, Keyword number: 10
feelings_miss: Topic: 29, Keyword number: 11
honour_unfortunately: Topic: 29, Keyword number: 12
millionaire_acquaintance: Topic: 29, Keyword number: 13
olivia_williams: Topic: 29, Keyword number: 14
rushmore_beekeepers: Topic: 29, Keyword number: 15
president_rushmore: Topic: 29, Keyword number: 16
schwarztman_schwartzman: Topic: 29, Keyword number: 17
prospective: Topic: 29, Keyword number: 18
role_comes: Topic: 29, Keyword number: 19
may_surprising: Topic: 29, Keyword number: 20
max_fischer: Topic: 29, Keyword number: 21
ring_really: Topic: 30, Keyword number: 0
it's: Topic: 31, Keyword number: 0
effects: Topic: 31, Keyword number: 1
butcher_boy: Topic: 31, Keyword number: 2
butcher: Topic: 31, Keyword number: 3
boy: Topic: 31, Keyword number: 4
past: Topic: 31, Keyword number: 5
hereafter: Topic: 31, Keyword number: 6
brendan: Topic: 31, Keyword number: 7
behavior: Topic: 31, Keyword number: 8
mixing: Topic: 31, Keyword number: 9
rachel_weisz: Topic: 31, Keyword number: 10
weisz: Topic: 31, Keyword number: 11
atom_egoyan: Topic: 31, Keyword number: 12
egoyan: Topic: 31, Keyword number: 13
imhotep: Topic: 31, Keyword number: 14
rising: Topic: 31, Keyword number: 15
nugent: Topic: 31, Keyword number: 16
owens: Topic: 31, Keyword number: 17
worth: Topic: 31, Keyword number: 18
focuses: Topic: 31, Keyword number: 19
menace: Topic: 31, Keyword number: 20
ihmoetep: Topic: 31, Keyword number: 21
ancient_egyptians: Topic: 31, Keyword number: 22
egyptians: Topic: 31, Keyword number: 23
blast_past: Topic: 31, Keyword number: 24
cole: Topic: 32, Keyword number: 0
comic: Topic: 32, Keyword number: 1
sure: Topic: 32, Keyword number: 2
making: Topic: 32, Keyword number: 3
man: Topic: 32, Keyword number: 4
line: Topic: 32, Keyword number: 5
whose: Topic: 32, Keyword number: 6
little: Topic: 32, Keyword number: 7
moments: Topic: 32, Keyword number: 8
best: Topic: 32, Keyword number: 9
artist: Topic: 32, Keyword number: 10
powerful: Topic: 32, Keyword number: 11
cast: Topic: 32, Keyword number: 12
however: Topic: 32, Keyword number: 13
secret: Topic: 32, Keyword number: 14
point: Topic: 32, Keyword number: 15
reasons: Topic: 32, Keyword number: 16
eight_taels: Topic: 32, Keyword number: 17
voight: Topic: 32, Keyword number: 18
giving: Topic: 32, Keyword number: 19
process: Topic: 32, Keyword number: 20
done: Topic: 32, Keyword number: 21
boy: Topic: 32, Keyword number: 22
especially: Topic: 32, Keyword number: 23
natural: Topic: 32, Keyword number: 24
vampire: Topic: 33, Keyword number: 0
blade: Topic: 33, Keyword number: 1
comic_book: Topic: 33, Keyword number: 2
crow: Topic: 33, Keyword number: 3
wesley_snipes: Topic: 33, Keyword number: 4
snipes: Topic: 33, Keyword number: 5
cgi: Topic: 33, Keyword number: 6
vengeance: Topic: 33, Keyword number: 7
vampire_movies: Topic: 33, Keyword number: 8
action_movie: Topic: 33, Keyword number: 9
sword: Topic: 33, Keyword number: 10
remind: Topic: 33, Keyword number: 11
would: Topic: 33, Keyword number: 12
guinee: Topic: 33, Keyword number: 13
thomas_ian: Topic: 33, Keyword number: 14
southwest: Topic: 33, Keyword number: 15
movies_keep: Topic: 33, Keyword number: 16
garlic: Topic: 33, Keyword number: 17
bloodsuckers: Topic: 33, Keyword number: 18
slayer: Topic: 33, Keyword number: 19
anti-theft: Topic: 33, Keyword number: 20
blade_uses: Topic: 33, Keyword number: 21
gothic_atmosphere: Topic: 33, Keyword number: 22
appropriate_atmosphere: Topic: 33, Keyword number: 23
crow_batman: Topic: 33, Keyword number: 24
deer_hunter: Topic: 34, Keyword number: 0
vietnam: Topic: 34, Keyword number: 1
group_men: Topic: 34, Keyword number: 2
first_act: Topic: 34, Keyword number: 3
way_spall's: Topic: 34, Keyword number: 4
barroom_encounters: Topic: 34, Keyword number: 5
miss_film: Topic: 34, Keyword number: 6
dazzling_miss: Topic: 34, Keyword number: 7
equally_dazzling: Topic: 34, Keyword number: 8
directing_considered: Topic: 34, Keyword number: 9
disturbing_movie: Topic: 34, Keyword number: 10
games_link: Topic: 34, Keyword number: 11
money_michael: Topic: 34, Keyword number: 12
game_play: Topic: 34, Keyword number: 13
walken's: Topic: 34, Keyword number: 14
vietnam_third: Topic: 34, Keyword number: 15
still_lost: Topic: 34, Keyword number: 16
nick_still: Topic: 34, Keyword number: 17
nick_finds: Topic: 34, Keyword number: 18
losing_legs: Topic: 34, Keyword number: 19
ends_losing: Topic: 34, Keyword number: 20
get_steven: Topic: 34, Keyword number: 21
following_scenes: Topic: 34, Keyword number: 22
must_play: Topic: 34, Keyword number: 23
survive_two: Topic: 34, Keyword number: 24
american_star: Topic: 35, Keyword number: 0
omegas: Topic: 36, Keyword number: 0
extremly: Topic: 36, Keyword number: 1
fucnniest_movie: Topic: 36, Keyword number: 2
parade_fucnniest: Topic: 36, Keyword number: 3
throwing_wild: Topic: 36, Keyword number: 4
kicked_campus: Topic: 36, Keyword number: 5
snowball_mouth: Topic: 36, Keyword number: 6
slugs: Topic: 36, Keyword number: 7
he's_kind: Topic: 36, Keyword number: 8
bluto_bluto: Topic: 36, Keyword number: 9
biker: Topic: 36, Keyword number: 10
playing_second-fiddle: Topic: 36, Keyword number: 11
steady-date_katy: Topic: 36, Keyword number: 12
girl_every: Topic: 36, Keyword number: 13
man_going: Topic: 36, Keyword number: 14
peter_riegert: Topic: 36, Keyword number: 15
forehead_pour: Topic: 36, Keyword number: 16
cans_forehead: Topic: 36, Keyword number: 17
beer_cans: Topic: 36, Keyword number: 18
shit_window: Topic: 36, Keyword number: 19
throw_shit: Topic: 36, Keyword number: 20
house_anything: Topic: 36, Keyword number: 21
door_delta: Topic: 36, Keyword number: 22
delta: Topic: 36, Keyword number: 23
supreme-bozo: Topic: 36, Keyword number: 24
soundtrack_provided: Topic: 38, Keyword number: 0
realism_thrills: Topic: 38, Keyword number: 1
debra: Topic: 38, Keyword number: 2
realistic_scripts: Topic: 38, Keyword number: 3
