film: Topic: 0, Keyword number: 0
funny: Topic: 11, Keyword number: 18
love: Topic: 11, Keyword number: 19
take: Topic: 11, Keyword number: 20
toy_story: Topic: 11, Keyword number: 21
probably: Topic: 11, Keyword number: 22
toys: Topic: 11, Keyword number: 23
scorsese: Topic: 11, Keyword number: 24
show: Topic: 12, Keyword number: 0
world: Topic: 12, Keyword number: 1
best: Topic: 12, Keyword number: 2
contact: Topic: 12, Keyword number: 3
run: Topic: 12, Keyword number: 4
movie: Topic: 12, Keyword number: 5
guy: Topic: 12, Keyword number: 6
brooks: Topic: 12, Keyword number: 7
perfect: Topic: 12, Keyword number: 8
says: Topic: 12, Keyword number: 9
faith: Topic: 12, Keyword number: 10
ellie: Topic: 12, Keyword number: 11
scene: Topic: 12, Keyword number: 12
life: Topic: 12, Keyword number: 13
scenes: Topic: 12, Keyword number: 14
take: Topic: 12, Keyword number: 15
case: Topic: 12, Keyword number: 16
foster: Topic: 12, Keyword number: 17
zero: Topic: 12, Keyword number: 18
person: Topic: 12, Keyword number: 19
day: Topic: 12, Keyword number: 20
town: Topic: 12, Keyword number: 21
plays: Topic: 12, Keyword number: 22
something: Topic: 12, Keyword number: 23
radio: Topic: 12, Keyword number: 24
film: Topic: 13, Keyword number: 0
it's: Topic: 13, Keyword number: 1
movie: Topic: 13, Keyword number: 2
like: Topic: 13, Keyword number: 3
really: Topic: 13, Keyword number: 4
well: Topic: 13, Keyword number: 5
see: Topic: 13, Keyword number: 6
much: Topic: 13, Keyword number: 7
doesn't: Topic: 13, Keyword number: 8
around: Topic: 13, Keyword number: 9
one: Topic: 13, Keyword number: 10
two: Topic: 13, Keyword number: 11
back: Topic: 13, Keyword number: 12
scene: Topic: 13, Keyword number: 13
characters: Topic: 13, Keyword number: 14
don't: Topic: 13, Keyword number: 15
way: Topic: 13, Keyword number: 16
seems: Topic: 13, Keyword number: 17
best: Topic: 13, Keyword number: 18
george: Topic: 13, Keyword number: 19
everyone: Topic: 13, Keyword number: 20
time: Topic: 13, Keyword number: 21
house: Topic: 13, Keyword number: 22
sequence: Topic: 13, Keyword number: 23
get: Topic: 13, Keyword number: 24
comedy: Topic: 14, Keyword number: 0
find: Topic: 14, Keyword number: 1
actually: Topic: 14, Keyword number: 2
last: Topic: 14, Keyword number: 3
great: Topic: 14, Keyword number: 4
really: Topic: 14, Keyword number: 5
never: Topic: 14, Keyword number: 6
way: Topic: 14, Keyword number: 7
still: Topic: 14, Keyword number: 8
also: Topic: 14, Keyword number: 9
can't: Topic: 14, Keyword number: 10
action: Topic: 14, Keyword number: 11
job: Topic: 14, Keyword number: 12
put: Topic: 14, Keyword number: 13
scene: Topic: 14, Keyword number: 14
days: Topic: 14, Keyword number: 15
well: Topic: 14, Keyword number: 16
gets: Topic: 14, Keyword number: 17
top: Topic: 14, Keyword number: 18
woman: Topic: 14, Keyword number: 19
goes: Topic: 14, Keyword number: 20
everything: Topic: 14, Keyword number: 21
william: Topic: 14, Keyword number: 22
smart: Topic: 14, Keyword number: 23
time: Topic: 14, Keyword number: 24
got: Topic: 15, Keyword number: 0
time: Topic: 15, Keyword number: 1
jokes: Topic: 15, Keyword number: 2
family: Topic: 15, Keyword number: 3
mike: Topic: 15, Keyword number: 4
back: Topic: 15, Keyword number: 5
home: Topic: 15, Keyword number: 6
god: Topic: 15, Keyword number: 7
wedding: Topic: 15, Keyword number: 8
myers: Topic: 15, Keyword number: 9
watch: Topic: 15, Keyword number: 10
i'm: Topic: 15, Keyword number: 11
script: Topic: 15, Keyword number: 12
stop: Topic: 15, Keyword number: 13
kevin: Topic: 15, Keyword number: 14
true: Topic: 15, Keyword number: 15
hurricane: Topic: 15, Keyword number: 16
goes: Topic: 15, Keyword number: 17
you've_got: Topic: 15, Keyword number: 18
mike_myers: Topic: 15, Keyword number: 19
love: Topic: 15, Keyword number: 20
shop: Topic: 15, Keyword number: 21
mail: Topic: 15, Keyword number: 22
ride: Topic: 15, Keyword number: 23
behind: Topic: 15, Keyword number: 24
life: Topic: 16, Keyword number: 0
film: Topic: 16, Keyword number: 1
movie: Topic: 16, Keyword number: 2
scenes: Topic: 16, Keyword number: 3
family: Topic: 16, Keyword number: 4
beautiful: Topic: 16, Keyword number: 5
one: Topic: 16, Keyword number: 6
many: Topic: 16, Keyword number: 7
however: Topic: 16, Keyword number: 8
even: Topic: 16, Keyword number: 9
history: Topic: 16, Keyword number: 10
first: Topic: 16, Keyword number: 11
music: Topic: 16, Keyword number: 12
also: Topic: 16, Keyword number: 13
times: Topic: 16, Keyword number: 14
characters: Topic: 16, Keyword number: 15
private: Topic: 16, Keyword number: 16
ryan: Topic: 16, Keyword number: 17
character: Topic: 16, Keyword number: 18
son: Topic: 16, Keyword number: 19
mother: Topic: 16, Keyword number: 20
yet: Topic: 16, Keyword number: 21
cinema: Topic: 16, Keyword number: 22
tom: Topic: 16, Keyword number: 23
score: Topic: 16, Keyword number: 24
film: Topic: 17, Keyword number: 0
one: Topic: 17, Keyword number: 1
character: Topic: 17, Keyword number: 2
much: Topic: 17, Keyword number: 3
like: Topic: 17, Keyword number: 4
make: Topic: 17, Keyword number: 5
story: Topic: 17, Keyword number: 6
man: Topic: 17, Keyword number: 7
still: Topic: 17, Keyword number: 8
films: Topic: 17, Keyword number: 9
way: Topic: 17, Keyword number: 10
see: Topic: 17, Keyword number: 11
never: Topic: 17, Keyword number: 12
seen: Topic: 17, Keyword number: 13
would: Topic: 17, Keyword number: 14
may: Topic: 17, Keyword number: 15
actually: Topic: 17, Keyword number: 16
good: Topic: 17, Keyword number: 17
say: Topic: 17, Keyword number: 18
he's: Topic: 17, Keyword number: 19
however: Topic: 17, Keyword number: 20
also: Topic: 17, Keyword number: 21
computer: Topic: 17, Keyword number: 22
time: Topic: 17, Keyword number: 23
anything: Topic: 17, Keyword number: 24
love: Topic: 18, Keyword number: 0
like: Topic: 18, Keyword number: 1
man: Topic: 18, Keyword number: 2
new: Topic: 18, Keyword number: 3
best: Topic: 18, Keyword number: 4
one: Topic: 18, Keyword number: 5
oscar: Topic: 18, Keyword number: 6
two: Topic: 18, Keyword number: 7
father: Topic: 18, Keyword number: 8
character: Topic: 18, Keyword number: 9
seems: Topic: 18, Keyword number: 10
find: Topic: 18, Keyword number: 11
woman: Topic: 18, Keyword number: 12
annie: Topic: 18, Keyword number: 13
emotional: Topic: 18, Keyword number: 14
characters: Topic: 18, Keyword number: 15
away: Topic: 18, Keyword number: 16
story: Topic: 18, Keyword number: 17
way: Topic: 18, Keyword number: 18
yet: Topic: 18, Keyword number: 19
played: Topic: 18, Keyword number: 20
role: Topic: 18, Keyword number: 21
would: Topic: 18, Keyword number: 22
york: Topic: 18, Keyword number: 23
horse: Topic: 18, Keyword number: 24
film: Topic: 19, Keyword number: 0
it's: Topic: 19, Keyword number: 1
one: Topic: 19, Keyword number: 2
movie: Topic: 19, Keyword number: 3
would: Topic: 19, Keyword number: 4
characters: Topic: 19, Keyword number: 5
think: Topic: 19, Keyword number: 6
almost: Topic: 19, Keyword number: 7
plot: Topic: 19, Keyword number: 8
people: Topic: 19, Keyword number: 9
end: Topic: 19, Keyword number: 10
see: Topic: 19, Keyword number: 11
world: Topic: 19, Keyword number: 12
since: Topic: 19, Keyword number: 13
still: Topic: 19, Keyword number: 14
good: Topic: 19, Keyword number: 15
big: Topic: 19, Keyword number: 16
time: Topic: 19, Keyword number: 17
another: Topic: 19, Keyword number: 18
real: Topic: 19, Keyword number: 19
things: Topic: 19, Keyword number: 20
much: Topic: 19, Keyword number: 21
first: Topic: 19, Keyword number: 22
takes: Topic: 19, Keyword number: 23
even: Topic: 19, Keyword number: 24
disney: Topic: 20, Keyword number: 0
animated: Topic: 20, Keyword number: 1
mulan: Topic: 20, Keyword number: 2
story: Topic: 20, Keyword number: 3
voice: Topic: 20, Keyword number: 4
family: Topic: 20, Keyword number: 5
little: Topic: 20, Keyword number: 6
one: Topic: 20, Keyword number: 7
man: Topic: 20, Keyword number: 8
army: Topic: 20, Keyword number: 9
later: Topic: 20, Keyword number: 10
feature: Topic: 20, Keyword number: 11
best: Topic: 20, Keyword number: 12
young: Topic: 20, Keyword number: 13
adults: Topic: 20, Keyword number: 14
also: Topic: 20, Keyword number: 15
douglas: Topic: 20, Keyword number: 16
great: Topic: 20, Keyword number: 17
sense: Topic: 20, Keyword number: 18
help: Topic: 20, Keyword number: 19
songs: Topic: 20, Keyword number: 20
years: Topic: 20, Keyword number: 21
home: Topic: 20, Keyword number: 22
space: Topic: 20, Keyword number: 23
emperor: Topic: 20, Keyword number: 24
dark: Topic: 21, Keyword number: 0
becomes: Topic: 21, Keyword number: 1
also: Topic: 21, Keyword number: 2
picture: Topic: 21, Keyword number: 3
film: Topic: 21, Keyword number: 4
whose: Topic: 21, Keyword number: 5
john: Topic: 21, Keyword number: 6
dark_city: Topic: 21, Keyword number: 7
american: Topic: 21, Keyword number: 8
effective: Topic: 21, Keyword number: 9
david: Topic: 21, Keyword number: 10
viewer: Topic: 21, Keyword number: 11
interesting: Topic: 21, Keyword number: 12
shall: Topic: 21, Keyword number: 13
nights: Topic: 21, Keyword number: 14
film's: Topic: 21, Keyword number: 15
yet: Topic: 21, Keyword number: 16
elizabeth: Topic: 21, Keyword number: 17
simply: Topic: 21, Keyword number: 18
work: Topic: 21, Keyword number: 19
moment: Topic: 21, Keyword number: 20
nature: Topic: 21, Keyword number: 21
thin: Topic: 21, Keyword number: 22
lies: Topic: 21, Keyword number: 23
sometimes: Topic: 21, Keyword number: 24
film: Topic: 22, Keyword number: 0
it's: Topic: 22, Keyword number: 1
story: Topic: 22, Keyword number: 2
love: Topic: 22, Keyword number: 3
much: Topic: 22, Keyword number: 4
also: Topic: 22, Keyword number: 5
many: Topic: 22, Keyword number: 6
still: Topic: 22, Keyword number: 7
like: Topic: 22, Keyword number: 8
fine: Topic: 22, Keyword number: 9
scene: Topic: 22, Keyword number: 10
well: Topic: 22, Keyword number: 11
audience: Topic: 22, Keyword number: 12
scenes: Topic: 22, Keyword number: 13
far: Topic: 22, Keyword number: 14
human: Topic: 22, Keyword number: 15
especially: Topic: 22, Keyword number: 16
might: Topic: 22, Keyword number: 17
however: Topic: 22, Keyword number: 18
never: Topic: 22, Keyword number: 19
city: Topic: 22, Keyword number: 20
characters: Topic: 22, Keyword number: 21
angels: Topic: 22, Keyword number: 22
yet: Topic: 22, Keyword number: 23
although: Topic: 22, Keyword number: 24
family: Topic: 23, Keyword number: 0
house: Topic: 23, Keyword number: 1
stuart: Topic: 23, Keyword number: 2
little: Topic: 23, Keyword number: 3
without: Topic: 23, Keyword number: 4
gattaca: Topic: 23, Keyword number: 5
best: Topic: 23, Keyword number: 6
parents: Topic: 23, Keyword number: 7
takes: Topic: 23, Keyword number: 8
lost: Topic: 23, Keyword number: 9
son: Topic: 23, Keyword number: 10
he's: Topic: 23, Keyword number: 11
production: Topic: 23, Keyword number: 12
real: Topic: 23, Keyword number: 13
money: Topic: 23, Keyword number: 14
film's: Topic: 23, Keyword number: 15
hanks: Topic: 23, Keyword number: 16
cuba: Topic: 23, Keyword number: 17
brothers: Topic: 23, Keyword number: 18
journey: Topic: 23, Keyword number: 19
gives: Topic: 23, Keyword number: 20
comes: Topic: 23, Keyword number: 21
would: Topic: 23, Keyword number: 22
read: Topic: 23, Keyword number: 23
care: Topic: 23, Keyword number: 24
film: Topic: 24, Keyword number: 0
movie: Topic: 24, Keyword number: 1
one: Topic: 24, Keyword number: 2
time: Topic: 24, Keyword number: 3
first: Topic: 24, Keyword number: 4
would: Topic: 24, Keyword number: 5
story: Topic: 24, Keyword number: 6
never: Topic: 24, Keyword number: 7
made: Topic: 24, Keyword number: 8
original: Topic: 24, Keyword number: 9
see: Topic: 24, Keyword number: 10
way: Topic: 24, Keyword number: 11
it's: Topic: 24, Keyword number: 12
could: Topic: 24, Keyword number: 13
without: Topic: 24, Keyword number: 14
great: Topic: 24, Keyword number: 15
ever: Topic: 24, Keyword number: 16
plot: Topic: 24, Keyword number: 17
home: Topic: 24, Keyword number: 18
making: Topic: 24, Keyword number: 19
every: Topic: 24, Keyword number: 20
behind: Topic: 24, Keyword number: 21
find: Topic: 24, Keyword number: 22
real: Topic: 24, Keyword number: 23
good: Topic: 24, Keyword number: 24
man: Topic: 25, Keyword number: 0
room: Topic: 25, Keyword number: 1
young: Topic: 25, Keyword number: 2
carter: Topic: 25, Keyword number: 3
ben: Topic: 25, Keyword number: 4
character: Topic: 25, Keyword number: 5
sense: Topic: 25, Keyword number: 6
gives: Topic: 25, Keyword number: 7
characters: Topic: 25, Keyword number: 8
story: Topic: 25, Keyword number: 9
life: Topic: 25, Keyword number: 10
make: Topic: 25, Keyword number: 11
best: Topic: 25, Keyword number: 12
mystery: Topic: 25, Keyword number: 13
spacey: Topic: 25, Keyword number: 14
simply: Topic: 25, Keyword number: 15
cast: Topic: 25, Keyword number: 16
makes: Topic: 25, Keyword number: 17
place: Topic: 25, Keyword number: 18
convincing: Topic: 25, Keyword number: 19
expect: Topic: 25, Keyword number: 20
baseball: Topic: 25, Keyword number: 21
middle: Topic: 25, Keyword number: 22
greatest: Topic: 25, Keyword number: 23
true: Topic: 25, Keyword number: 24
film: Topic: 26, Keyword number: 0
funny: Topic: 26, Keyword number: 1
character: Topic: 26, Keyword number: 2
also: Topic: 26, Keyword number: 3
evil: Topic: 26, Keyword number: 4
great: Topic: 26, Keyword number: 5
much: Topic: 26, Keyword number: 6
characters: Topic: 26, Keyword number: 7
new: Topic: 26, Keyword number: 8
always: Topic: 26, Keyword number: 9
original: Topic: 26, Keyword number: 10
many: Topic: 26, Keyword number: 11
actually: Topic: 26, Keyword number: 12
powers: Topic: 26, Keyword number: 13
right: Topic: 26, Keyword number: 14
plays: Topic: 26, Keyword number: 15
boogie: Topic: 26, Keyword number: 16
played: Topic: 26, Keyword number: 17
boogie_nights: Topic: 26, Keyword number: 18
scene: Topic: 26, Keyword number: 19
good: Topic: 26, Keyword number: 20
there's: Topic: 26, Keyword number: 21
roles: Topic: 26, Keyword number: 22
make: Topic: 26, Keyword number: 23
comedy: Topic: 26, Keyword number: 24
things: Topic: 27, Keyword number: 0
also: Topic: 27, Keyword number: 1
even: Topic: 27, Keyword number: 2
york: Topic: 27, Keyword number: 3
new_york: Topic: 27, Keyword number: 4
love: Topic: 27, Keyword number: 5
wild: Topic: 27, Keyword number: 6
mother: Topic: 27, Keyword number: 7
something: Topic: 27, Keyword number: 8
sam: Topic: 27, Keyword number: 9
almost: Topic: 27, Keyword number: 10
dillon: Topic: 27, Keyword number: 11
cast: Topic: 27, Keyword number: 12
actors: Topic: 27, Keyword number: 13
director: Topic: 27, Keyword number: 14
character: Topic: 27, Keyword number: 15
probably: Topic: 27, Keyword number: 16
shakespeare: Topic: 27, Keyword number: 17
end: Topic: 27, Keyword number: 18
stiller: Topic: 27, Keyword number: 19
film: Topic: 27, Keyword number: 20
party: Topic: 27, Keyword number: 21
though: Topic: 27, Keyword number: 22
shot: Topic: 27, Keyword number: 23
act: Topic: 27, Keyword number: 24
it's: Topic: 28, Keyword number: 0
like: Topic: 28, Keyword number: 1
look: Topic: 28, Keyword number: 2
two: Topic: 28, Keyword number: 3
man: Topic: 28, Keyword number: 4
friends: Topic: 28, Keyword number: 5
could: Topic: 28, Keyword number: 6
get: Topic: 28, Keyword number: 7
end: Topic: 28, Keyword number: 8
film: Topic: 28, Keyword number: 9
become: Topic: 28, Keyword number: 10
actors: Topic: 28, Keyword number: 11
robert: Topic: 28, Keyword number: 12
away: Topic: 28, Keyword number: 13
another: Topic: 28, Keyword number: 14
school: Topic: 28, Keyword number: 15
really: Topic: 28, Keyword number: 16
real: Topic: 28, Keyword number: 17
even: Topic: 28, Keyword number: 18
he's: Topic: 28, Keyword number: 19
see: Topic: 28, Keyword number: 20
police: Topic: 28, Keyword number: 21
leave: Topic: 28, Keyword number: 22
finally: Topic: 28, Keyword number: 23
work: Topic: 28, Keyword number: 24
film: Topic: 29, Keyword number: 0
also: Topic: 29, Keyword number: 1
good: Topic: 29, Keyword number: 2
one: Topic: 29, Keyword number: 3
movie: Topic: 29, Keyword number: 4
horror: Topic: 29, Keyword number: 5
damon: Topic: 29, Keyword number: 6
kevin: Topic: 29, Keyword number: 7
audience: Topic: 29, Keyword number: 8
two: Topic: 29, Keyword number: 9
hunting: Topic: 29, Keyword number: 10
direction: Topic: 29, Keyword number: 11
great: Topic: 29, Keyword number: 12
young: Topic: 29, Keyword number: 13
bob: Topic: 29, Keyword number: 14
it's: Topic: 29, Keyword number: 15
well: Topic: 29, Keyword number: 16
performance: Topic: 29, Keyword number: 17
written: Topic: 29, Keyword number: 18
little: Topic: 29, Keyword number: 19
jay: Topic: 29, Keyword number: 20
time: Topic: 29, Keyword number: 21
good_hunting: Topic: 29, Keyword number: 22
gives: Topic: 29, Keyword number: 23
