simply_refuses: Topic: 0, Keyword number: 0
masses_primer: Topic: 6, Keyword number: 10
serve_there's: Topic: 6, Keyword number: 11
greedy_selves: Topic: 6, Keyword number: 12
antiheroes_would: Topic: 6, Keyword number: 13
notwithstanding_protagonists: Topic: 6, Keyword number: 14
status_arab: Topic: 6, Keyword number: 15
removed_persian: Topic: 6, Keyword number: 16
russell's_first: Topic: 6, Keyword number: 17
ceiling_cave: Topic: 6, Keyword number: 18
chilling_lasting: Topic: 6, Keyword number: 19
room_wired: Topic: 6, Keyword number: 20
fire_surrounding: Topic: 6, Keyword number: 21
company_arrive: Topic: 6, Keyword number: 22
treasure_four: Topic: 6, Keyword number: 23
named_adriana: Topic: 6, Keyword number: 24
two_people: Topic: 7, Keyword number: 0
labor: Topic: 7, Keyword number: 1
hanks_ryan: Topic: 7, Keyword number: 2
you've: Topic: 7, Keyword number: 3
absent_many: Topic: 7, Keyword number: 4
denominator_there's: Topic: 7, Keyword number: 5
dangerous_moments: Topic: 7, Keyword number: 6
creating_large: Topic: 7, Keyword number: 7
time_queen: Topic: 7, Keyword number: 8
make_favorable: Topic: 7, Keyword number: 9
fennyman: Topic: 7, Keyword number: 10
producer_hugh: Topic: 7, Keyword number: 11
unfinished_largely: Topic: 7, Keyword number: 12
story_viola: Topic: 7, Keyword number: 13
lesseps_gwyneth: Topic: 7, Keyword number: 14
romeo_ethel: Topic: 7, Keyword number: 15
struggling_come: Topic: 7, Keyword number: 16
writer_struggling: Topic: 7, Keyword number: 17
since_change: Topic: 7, Keyword number: 18
rewrites_inspiration: Topic: 7, Keyword number: 19
revisions_rewrites: Topic: 7, Keyword number: 20
mini_replaces: Topic: 7, Keyword number: 21
contrasted_rest: Topic: 7, Keyword number: 22
transitory_truly: Topic: 7, Keyword number: 23
transitory: Topic: 7, Keyword number: 24
never_obsessive: Topic: 11, Keyword number: 0
happened_one: Topic: 11, Keyword number: 1
avoid_getting: Topic: 11, Keyword number: 2
feeling_middle: Topic: 11, Keyword number: 3
ready_spielberg: Topic: 11, Keyword number: 4
carter_burwell: Topic: 11, Keyword number: 5
trailer_well: Topic: 11, Keyword number: 6
keeping_shandling: Topic: 11, Keyword number: 7
someone_hollywood: Topic: 11, Keyword number: 8
it's_performance: Topic: 11, Keyword number: 9
susan_annette: Topic: 11, Keyword number: 10
touch: Topic: 11, Keyword number: 11
quit_job: Topic: 12, Keyword number: 0
director_penelope: Topic: 15, Keyword number: 0
agreeable_pair: Topic: 15, Keyword number: 1
idea_either: Topic: 15, Keyword number: 2
ability: Topic: 16, Keyword number: 0
viewer_key: Topic: 16, Keyword number: 1
effectual: Topic: 16, Keyword number: 2
damn_cool: Topic: 16, Keyword number: 3
instance_manifested: Topic: 16, Keyword number: 4
design_dynamic: Topic: 16, Keyword number: 5
story_stylish: Topic: 16, Keyword number: 6
individuals_knows: Topic: 16, Keyword number: 7
tells_fast-paced: Topic: 16, Keyword number: 8
long_next: Topic: 16, Keyword number: 9
audience_high: Topic: 16, Keyword number: 10
dialogue_suffers: Topic: 16, Keyword number: 11
regard_movie: Topic: 16, Keyword number: 12
latest_visually: Topic: 16, Keyword number: 13
multimillion-dollar_creations: Topic: 16, Keyword number: 14
park_multimillion-dollar: Topic: 16, Keyword number: 15
ark_made: Topic: 16, Keyword number: 16
perhaps_dramatic: Topic: 16, Keyword number: 17
overturned_religion: Topic: 16, Keyword number: 18
telepathic_powers: Topic: 16, Keyword number: 19
animation_time: Topic: 16, Keyword number: 20
get_nearby: Topic: 16, Keyword number: 21
fishy_unreal: Topic: 16, Keyword number: 22
squad: Topic: 16, Keyword number: 23
countless_number: Topic: 16, Keyword number: 24
next_chutes: Topic: 18, Keyword number: 0
whenever: Topic: 18, Keyword number: 1
serious_well: Topic: 19, Keyword number: 0
groundhog: Topic: 21, Keyword number: 0
also: Topic: 21, Keyword number: 1
rita: Topic: 21, Keyword number: 2
sweet: Topic: 21, Keyword number: 3
phil: Topic: 21, Keyword number: 4
comedy: Topic: 21, Keyword number: 5
chris_elliot: Topic: 21, Keyword number: 6
elliot: Topic: 21, Keyword number: 7
chris: Topic: 21, Keyword number: 8
excellent: Topic: 21, Keyword number: 9
director_ramis: Topic: 21, Keyword number: 10
capped: Topic: 21, Keyword number: 11
dillon: Topic: 21, Keyword number: 12
mom: Topic: 21, Keyword number: 13
cameron: Topic: 21, Keyword number: 14
sometimes: Topic: 21, Keyword number: 15
perfect: Topic: 21, Keyword number: 16
stories_called: Topic: 21, Keyword number: 17
path_big: Topic: 21, Keyword number: 18
suspects_movie: Topic: 21, Keyword number: 19
overall_groundhog: Topic: 21, Keyword number: 20
criticisms_hardly: Topic: 21, Keyword number: 21
soppy_sometimes: Topic: 21, Keyword number: 22
chase_overall: Topic: 21, Keyword number: 23
gets_funny: Topic: 21, Keyword number: 24
spaceship_control: Topic: 22, Keyword number: 0
entertainment_every: Topic: 23, Keyword number: 0
honing: Topic: 23, Keyword number: 1
smooth_quirky: Topic: 23, Keyword number: 2
enjoyed_many: Topic: 23, Keyword number: 3
i've_enjoyed: Topic: 23, Keyword number: 4
get_first: Topic: 23, Keyword number: 5
smith: Topic: 25, Keyword number: 0
kevin_smith: Topic: 25, Keyword number: 1
correctly: Topic: 25, Keyword number: 2
jay_silent: Topic: 25, Keyword number: 3
serendipity: Topic: 25, Keyword number: 4
silent_bob: Topic: 25, Keyword number: 5
silent: Topic: 25, Keyword number: 6
message: Topic: 25, Keyword number: 7
better_problem: Topic: 25, Keyword number: 8
though_fireman: Topic: 25, Keyword number: 9
flashbacks_refuse: Topic: 25, Keyword number: 10
skinheads_reduced: Topic: 25, Keyword number: 11
lines_authority: Topic: 25, Keyword number: 12
like_norton: Topic: 25, Keyword number: 13
horrible_line: Topic: 25, Keyword number: 14
jail_contains: Topic: 25, Keyword number: 15
winds_derek: Topic: 25, Keyword number: 16
black_co-worker: Topic: 25, Keyword number: 17
scenes_moments: Topic: 25, Keyword number: 18
lolipop_speaks: Topic: 25, Keyword number: 19
fundamentals_country: Topic: 25, Keyword number: 20
immigrants_blacks: Topic: 25, Keyword number: 21
raids_local: Topic: 25, Keyword number: 22
mostly_see: Topic: 25, Keyword number: 23
skinhead_beer: Topic: 25, Keyword number: 24
reappearance_samantha/charly: Topic: 27, Keyword number: 0
validation_protesters: Topic: 28, Keyword number: 0
point_smith's: Topic: 28, Keyword number: 1
mile_away: Topic: 28, Keyword number: 2
rampage_tenebrae: Topic: 28, Keyword number: 3
take_personal: Topic: 28, Keyword number: 4
metatron_alan: Topic: 28, Keyword number: 5
may: Topic: 30, Keyword number: 0
old: Topic: 30, Keyword number: 1
ned: Topic: 30, Keyword number: 2
find: Topic: 30, Keyword number: 3
woman: Topic: 30, Keyword number: 4
bad: Topic: 30, Keyword number: 5
waking_ned: Topic: 30, Keyword number: 6
less_ordinary: Topic: 30, Keyword number: 7
definitely: Topic: 30, Keyword number: 8
lawrence: Topic: 30, Keyword number: 9
cute: Topic: 30, Keyword number: 10
set: Topic: 30, Keyword number: 11
never: Topic: 30, Keyword number: 12
shoeless_joe: Topic: 30, Keyword number: 13
thought: Topic: 30, Keyword number: 14
try: Topic: 30, Keyword number: 15
date: Topic: 30, Keyword number: 16
jackie: Topic: 30, Keyword number: 17
kelley: Topic: 30, Keyword number: 18
must: Topic: 30, Keyword number: 19
looks: Topic: 30, Keyword number: 20
seems: Topic: 30, Keyword number: 21
ghost: Topic: 30, Keyword number: 22
average_viewers: Topic: 30, Keyword number: 23
old_ned: Topic: 30, Keyword number: 24
school: Topic: 35, Keyword number: 0
girls: Topic: 35, Keyword number: 1
high: Topic: 35, Keyword number: 2
bacon: Topic: 35, Keyword number: 3
high_school: Topic: 35, Keyword number: 4
things: Topic: 35, Keyword number: 5
girls_town: Topic: 35, Keyword number: 6
emma: Topic: 35, Keyword number: 7
playing: Topic: 35, Keyword number: 8
movie: Topic: 35, Keyword number: 9
really: Topic: 35, Keyword number: 10
ashes: Topic: 35, Keyword number: 11
patti's: Topic: 35, Keyword number: 12
year's: Topic: 35, Keyword number: 13
feature: Topic: 35, Keyword number: 14
adaptation: Topic: 35, Keyword number: 15
lives: Topic: 35, Keyword number: 16
nikki's: Topic: 35, Keyword number: 17
koepp: Topic: 35, Keyword number: 18
hugo: Topic: 35, Keyword number: 19
things_hate: Topic: 35, Keyword number: 20
financial: Topic: 35, Keyword number: 21
hears: Topic: 35, Keyword number: 22
satisfying: Topic: 35, Keyword number: 23
one_year's: Topic: 35, Keyword number: 24
time: Topic: 38, Keyword number: 0
jewish: Topic: 38, Keyword number: 1
science: Topic: 38, Keyword number: 2
scientists: Topic: 38, Keyword number: 3
he's: Topic: 38, Keyword number: 4
chemistry: Topic: 38, Keyword number: 5
detective: Topic: 38, Keyword number: 6
something: Topic: 38, Keyword number: 7
makes: Topic: 38, Keyword number: 8
step: Topic: 38, Keyword number: 9
organism: Topic: 38, Keyword number: 10
lab: Topic: 38, Keyword number: 11
rob: Topic: 38, Keyword number: 12
root: Topic: 38, Keyword number: 13
everyone: Topic: 38, Keyword number: 14
went: Topic: 38, Keyword number: 15
kind: Topic: 38, Keyword number: 16
apparently: Topic: 38, Keyword number: 17
people: Topic: 38, Keyword number: 18
keen: Topic: 38, Keyword number: 19
starts: Topic: 38, Keyword number: 20
really: Topic: 38, Keyword number: 21
yum: Topic: 38, Keyword number: 22
husbands_wives: Topic: 38, Keyword number: 23
keeps_making: Topic: 38, Keyword number: 24
menacing_portrayal: Topic: 39, Keyword number: 0
low-level_street: Topic: 39, Keyword number: 1
narrator_nominal: Topic: 39, Keyword number: 2
best_choice: Topic: 39, Keyword number: 3
pesci_deserved: Topic: 39, Keyword number: 4
essential_element: Topic: 39, Keyword number: 5
character_narrator: Topic: 39, Keyword number: 6
subplot_used: Topic: 39, Keyword number: 7
hours_film: Topic: 39, Keyword number: 8
presented_institution: Topic: 39, Keyword number: 9
happen: Topic: 39, Keyword number: 10
one_excellent: Topic: 40, Keyword number: 0
everyone's_eyes: Topic: 40, Keyword number: 1
features_didn't: Topic: 40, Keyword number: 2
definitely_went: Topic: 40, Keyword number: 3
take_intoning: Topic: 40, Keyword number: 4
white_folks: Topic: 40, Keyword number: 5
basically_re-released: Topic: 40, Keyword number: 6
surprises_sheedy: Topic: 40, Keyword number: 7
free-spirited: Topic: 40, Keyword number: 8
tracy: Topic: 41, Keyword number: 0
desperate: Topic: 41, Keyword number: 1
election: Topic: 41, Keyword number: 2
won't: Topic: 41, Keyword number: 3
course: Topic: 41, Keyword number: 4
though_payne: Topic: 41, Keyword number: 5
leaps_infuriatingly: Topic: 41, Keyword number: 6
ought_anyway: Topic: 41, Keyword number: 7
politics_friendship: Topic: 41, Keyword number: 8
barnett's_you'll: Topic: 41, Keyword number: 9
easily_dismiss: Topic: 41, Keyword number: 10
front_pages: Topic: 41, Keyword number: 11
merely_it's: Topic: 41, Keyword number: 12
desperate_friendship: Topic: 41, Keyword number: 13
involved_departed: Topic: 41, Keyword number: 14
learn_tracy: Topic: 41, Keyword number: 15
criticism_drawn: Topic: 41, Keyword number: 16
can't_higher: Topic: 41, Keyword number: 17
says_fact: Topic: 41, Keyword number: 18
vote_broderick's: Topic: 41, Keyword number: 19
divulge_she's: Topic: 41, Keyword number: 20
real_threat: Topic: 41, Keyword number: 21
equates_cause: Topic: 41, Keyword number: 22
demeaned_masculinity: Topic: 41, Keyword number: 23
he's_unfaithful: Topic: 41, Keyword number: 24
two_tension: Topic: 42, Keyword number: 0
first_begins: Topic: 42, Keyword number: 1
gay_whale: Topic: 42, Keyword number: 2
involving_film: Topic: 42, Keyword number: 3
hallucinations_whale: Topic: 42, Keyword number: 4
appreciated: Topic: 42, Keyword number: 5
film: Topic: 46, Keyword number: 0
first: Topic: 46, Keyword number: 1
like: Topic: 46, Keyword number: 2
story: Topic: 46, Keyword number: 3
character: Topic: 46, Keyword number: 4
world: Topic: 46, Keyword number: 5
good: Topic: 46, Keyword number: 6
one: Topic: 46, Keyword number: 7
life: Topic: 46, Keyword number: 8
it's: Topic: 46, Keyword number: 9
would: Topic: 46, Keyword number: 10
scene: Topic: 46, Keyword number: 11
time: Topic: 46, Keyword number: 12
scenes: Topic: 46, Keyword number: 13
work: Topic: 46, Keyword number: 14
movie: Topic: 46, Keyword number: 15
doesn't: Topic: 46, Keyword number: 16
two: Topic: 46, Keyword number: 17
think: Topic: 46, Keyword number: 18
never: Topic: 46, Keyword number: 19
say: Topic: 46, Keyword number: 20
branagh: Topic: 46, Keyword number: 21
action: Topic: 46, Keyword number: 22
people: Topic: 46, Keyword number: 23
make: Topic: 46, Keyword number: 24
whose_cold: Topic: 47, Keyword number: 0
plus_side: Topic: 47, Keyword number: 1
content_letting: Topic: 47, Keyword number: 2
toy: Topic: 48, Keyword number: 0
oscar: Topic: 48, Keyword number: 1
story: Topic: 48, Keyword number: 2
film: Topic: 48, Keyword number: 3
asteroid: Topic: 48, Keyword number: 4
jet: Topic: 48, Keyword number: 5
special_effects: Topic: 48, Keyword number: 6
playing: Topic: 48, Keyword number: 7
unexpected: Topic: 48, Keyword number: 8
things: Topic: 48, Keyword number: 9
take: Topic: 48, Keyword number: 10
another: Topic: 48, Keyword number: 11
little: Topic: 48, Keyword number: 12
specifically: Topic: 48, Keyword number: 13
special: Topic: 48, Keyword number: 14
huge: Topic: 48, Keyword number: 15
great: Topic: 48, Keyword number: 16
depp: Topic: 48, Keyword number: 17
oil_drillers: Topic: 48, Keyword number: 18
oil: Topic: 48, Keyword number: 19
henstridge: Topic: 48, Keyword number: 20
australia: Topic: 48, Keyword number: 21
nasa: Topic: 48, Keyword number: 22
friendship: Topic: 48, Keyword number: 23
tyler: Topic: 48, Keyword number: 24
life: Topic: 49, Keyword number: 0
little: Topic: 49, Keyword number: 1
way: Topic: 49, Keyword number: 2
world: Topic: 49, Keyword number: 3
could: Topic: 49, Keyword number: 4
truman: Topic: 49, Keyword number: 5
lives: Topic: 49, Keyword number: 6
wonder: Topic: 49, Keyword number: 7
team: Topic: 49, Keyword number: 8
close: Topic: 49, Keyword number: 9
heart: Topic: 49, Keyword number: 10
it's: Topic: 49, Keyword number: 11
truth: Topic: 49, Keyword number: 12
four: Topic: 49, Keyword number: 13
death: Topic: 49, Keyword number: 14
comes: Topic: 49, Keyword number: 15
fashion: Topic: 49, Keyword number: 16
wonder_boys: Topic: 49, Keyword number: 17
living: Topic: 49, Keyword number: 18
anything: Topic: 49, Keyword number: 19
would: Topic: 49, Keyword number: 20
big_screen: Topic: 49, Keyword number: 21
grady: Topic: 49, Keyword number: 22
day: Topic: 49, Keyword number: 23
hope: Topic: 49, Keyword number: 24
carter: Topic: 51, Keyword number: 0
hurricane: Topic: 51, Keyword number: 1
washington: Topic: 51, Keyword number: 2
prison: Topic: 51, Keyword number: 3
rubin: Topic: 51, Keyword number: 4
canadians: Topic: 51, Keyword number: 5
denzel_washington: Topic: 51, Keyword number: 6
denzel: Topic: 51, Keyword number: 7
washington's: Topic: 51, Keyword number: 8
boxing: Topic: 51, Keyword number: 9
framed: Topic: 51, Keyword number: 10
lesra: Topic: 51, Keyword number: 11
rubin_carter: Topic: 51, Keyword number: 12
hurricane_carter: Topic: 51, Keyword number: 13
carter's: Topic: 51, Keyword number: 14
multiple: Topic: 51, Keyword number: 15
feels: Topic: 51, Keyword number: 16
determination: Topic: 51, Keyword number: 17
carter_see: Topic: 51, Keyword number: 18
carters: Topic: 51, Keyword number: 19
dan_hedaya: Topic: 51, Keyword number: 20
second_trial: Topic: 51, Keyword number: 21
person_could: Topic: 51, Keyword number: 22
remained: Topic: 51, Keyword number: 23
unfairly: Topic: 51, Keyword number: 24
example_fight: Topic: 52, Keyword number: 0
thankful_get: Topic: 52, Keyword number: 1
takes_personal: Topic: 53, Keyword number: 0
grier_solid: Topic: 54, Keyword number: 0
then-sagging: Topic: 54, Keyword number: 1
character_poignancy: Topic: 54, Keyword number: 2
roth_characters: Topic: 54, Keyword number: 3
plummer: Topic: 54, Keyword number: 4
grier_robert: Topic: 54, Keyword number: 5
featuring_grier: Topic: 54, Keyword number: 6
screenplay_adaptation: Topic: 54, Keyword number: 7
authorities_target: Topic: 54, Keyword number: 8
agreeable_crony: Topic: 54, Keyword number: 9
michael_keaton: Topic: 54, Keyword number: 10
still_casting: Topic: 56, Keyword number: 0
instances: Topic: 56, Keyword number: 1
reynolds: Topic: 57, Keyword number: 0
choice_decent: Topic: 57, Keyword number: 1
hedaya_carry: Topic: 57, Keyword number: 2
fluids_phallus: Topic: 57, Keyword number: 3
carried_plenty: Topic: 57, Keyword number: 4
energetic_camera: Topic: 57, Keyword number: 5
wiseguy_circle: Topic: 57, Keyword number: 6
uniqueness_synergy: Topic: 57, Keyword number: 7
balancing_production: Topic: 57, Keyword number: 8
gives_equal: Topic: 57, Keyword number: 9
strong_comedic: Topic: 57, Keyword number: 10
lord_who's: Topic: 57, Keyword number: 11
stepmother: Topic: 57, Keyword number: 12
jennifer_tilly: Topic: 57, Keyword number: 13
tenants_keep: Topic: 57, Keyword number: 14
heisted: Topic: 57, Keyword number: 15
bartellemeo: Topic: 57, Keyword number: 16
beachfront_property: Topic: 57, Keyword number: 17
rents: Topic: 57, Keyword number: 18
following_four: Topic: 57, Keyword number: 19
stale_month: Topic: 57, Keyword number: 20
time_audience: Topic: 57, Keyword number: 21
tossed_together: Topic: 57, Keyword number: 22
days_great: Topic: 57, Keyword number: 23
old_men: Topic: 57, Keyword number: 24
beavis_butt-head: Topic: 58, Keyword number: 0
quest_succeeds: Topic: 58, Keyword number: 1
transporters: Topic: 58, Keyword number: 2
historical_documentation: Topic: 58, Keyword number: 3
fred_kwan: Topic: 58, Keyword number: 4
sci-fi_series: Topic: 58, Keyword number: 5
clear_otherwise: Topic: 58, Keyword number: 6
respect_also: Topic: 58, Keyword number: 7
crude_beavis: Topic: 58, Keyword number: 8
television_back: Topic: 58, Keyword number: 9
hoover_dam: Topic: 58, Keyword number: 10
places_hoover: Topic: 58, Keyword number: 11
travelling_right: Topic: 58, Keyword number: 12
criminal_masterminds: Topic: 58, Keyword number: 13
result_fbi: Topic: 58, Keyword number: 14
screen_inevitably: Topic: 58, Keyword number: 15
lifelong_aims: Topic: 58, Keyword number: 16
taken_airport: Topic: 58, Keyword number: 17
wife_beavis: Topic: 58, Keyword number: 18
task_kill: Topic: 58, Keyword number: 19
guys_whose: Topic: 58, Keyword number: 20
search_television: Topic: 58, Keyword number: 21
eventually_realise: Topic: 58, Keyword number: 22
look_around: Topic: 58, Keyword number: 23
idea_happened: Topic: 58, Keyword number: 24
archer's: Topic: 60, Keyword number: 0
bits_weren't: Topic: 60, Keyword number: 1
object_instead: Topic: 60, Keyword number: 2
used_character: Topic: 60, Keyword number: 3
girlfriend_make: Topic: 60, Keyword number: 4
lesser_characters: Topic: 60, Keyword number: 5
part_archer: Topic: 60, Keyword number: 6
compardre_dietrich: Topic: 60, Keyword number: 7
portrayals_favourite: Topic: 60, Keyword number: 8
sorry_make: Topic: 60, Keyword number: 9
forgetable: Topic: 60, Keyword number: 10
computers_delete: Topic: 60, Keyword number: 11
delete: Topic: 60, Keyword number: 12
followed_swiftly: Topic: 60, Keyword number: 13
net_initial: Topic: 60, Keyword number: 14
gershon: Topic: 60, Keyword number: 15
fairly_enjoyable: Topic: 60, Keyword number: 16
rewind_watch: Topic: 60, Keyword number: 17
suspension: Topic: 60, Keyword number: 18
help_think: Topic: 60, Keyword number: 19
three_months: Topic: 60, Keyword number: 20
many_critics: Topic: 60, Keyword number: 21
dussander: Topic: 64, Keyword number: 0
bowden: Topic: 64, Keyword number: 1
usual_suspects: Topic: 64, Keyword number: 2
king's: Topic: 64, Keyword number: 3
redemption: Topic: 64, Keyword number: 4
hayworth: Topic: 64, Keyword number: 5
redemption_originally: Topic: 64, Keyword number: 6
different_seasons: Topic: 64, Keyword number: 7
king's_stories: Topic: 64, Keyword number: 8
make_unconventional: Topic: 64, Keyword number: 9
winningly_plays: Topic: 64, Keyword number: 10
island_indeed-we: Topic: 64, Keyword number: 11
evil_learn: Topic: 64, Keyword number: 12
pinky_finger: Topic: 64, Keyword number: 13
dad_wrapped: Topic: 64, Keyword number: 14
only-children-has: Topic: 64, Keyword number: 15
kids-and: Topic: 64, Keyword number: 16
todd_like: Topic: 64, Keyword number: 17
well-to-do_folks: Topic: 64, Keyword number: 18
counsellor: Topic: 64, Keyword number: 19
good_movies: Topic: 64, Keyword number: 20
taylor-thomas_role: Topic: 64, Keyword number: 21
taylor-thomas: Topic: 64, Keyword number: 22
unappealing_cold-hearted: Topic: 64, Keyword number: 23
cold-hearted: Topic: 64, Keyword number: 24
aliens: Topic: 65, Keyword number: 0
camp: Topic: 65, Keyword number: 1
crew: Topic: 65, Keyword number: 2
holocaust_comedy: Topic: 65, Keyword number: 3
greatest: Topic: 65, Keyword number: 4
one_great: Topic: 65, Keyword number: 5
serious: Topic: 65, Keyword number: 6
ways: Topic: 65, Keyword number: 7
col: Topic: 65, Keyword number: 8
alternate: Topic: 65, Keyword number: 9
concentration_camp: Topic: 65, Keyword number: 10
braschi: Topic: 65, Keyword number: 11
granted: Topic: 65, Keyword number: 12
president: Topic: 65, Keyword number: 13
issues_man's: Topic: 65, Keyword number: 14
psychotic_ride: Topic: 65, Keyword number: 15
temple_rise: Topic: 65, Keyword number: 16
dilutes_power: Topic: 65, Keyword number: 17
fall_way: Topic: 65, Keyword number: 18
kurtz_scenes: Topic: 65, Keyword number: 19
god-like: Topic: 65, Keyword number: 20
muffled_whole: Topic: 65, Keyword number: 21
pathetic_scenes: Topic: 65, Keyword number: 22
compound_film: Topic: 65, Keyword number: 23
slows_one: Topic: 65, Keyword number: 24
needs_though: Topic: 66, Keyword number: 0
recall_ever: Topic: 66, Keyword number: 1
moments_patlabor: Topic: 66, Keyword number: 2
flawed_schrader: Topic: 67, Keyword number: 0
time_bandits: Topic: 70, Keyword number: 0
gilliam_however: Topic: 70, Keyword number: 1
george_harrison: Topic: 70, Keyword number: 2
courtesy_george: Topic: 70, Keyword number: 3
signs_seemingly: Topic: 70, Keyword number: 4
genius_david: Topic: 70, Keyword number: 5
rob_battle: Topic: 70, Keyword number: 6
holm_rob: Topic: 70, Keyword number: 7
time_traveling: Topic: 70, Keyword number: 8
map_travels: Topic: 70, Keyword number: 9
treasure-seeking_bandits: Topic: 70, Keyword number: 10
ralph_richardson: Topic: 70, Keyword number: 11
exploited_enable: Topic: 70, Keyword number: 12
egyptian: Topic: 70, Keyword number: 13
travel_back: Topic: 70, Keyword number: 14
portal: Topic: 70, Keyword number: 15
fantasy: Topic: 70, Keyword number: 16
according: Topic: 70, Keyword number: 17
holm: Topic: 70, Keyword number: 18
mega: Topic: 71, Keyword number: 0
film: Topic: 73, Keyword number: 0
course: Topic: 73, Keyword number: 1
mongkut: Topic: 73, Keyword number: 2
butthead: Topic: 73, Keyword number: 3
beavis: Topic: 73, Keyword number: 4
michelle_yeoh: Topic: 73, Keyword number: 5
parts: Topic: 73, Keyword number: 6
kong: Topic: 73, Keyword number: 7
