death: Topic: 2, Keyword number: 0
begin_destroy: Topic: 6, Keyword number: 22
caring_forgiving: Topic: 6, Keyword number: 23
family_like: Topic: 6, Keyword number: 24
situation_exactly: Topic: 11, Keyword number: 0
boogie: Topic: 13, Keyword number: 0
risque: Topic: 13, Keyword number: 1
wistful: Topic: 13, Keyword number: 2
troupe: Topic: 13, Keyword number: 3
horner's: Topic: 13, Keyword number: 4
presence_note: Topic: 13, Keyword number: 5
payoffs: Topic: 13, Keyword number: 6
maurice's_request: Topic: 13, Keyword number: 7
disguise_made: Topic: 13, Keyword number: 8
hounding_jack: Topic: 13, Keyword number: 9
group_ingratiating: Topic: 13, Keyword number: 10
it's_bank: Topic: 13, Keyword number: 11
others_perceptible: Topic: 13, Keyword number: 12
cheerfully_supportive: Topic: 13, Keyword number: 13
series_changes: Topic: 13, Keyword number: 14
quest_comically: Topic: 13, Keyword number: 15
lends_dignity: Topic: 13, Keyword number: 16
cheadle_lends: Topic: 13, Keyword number: 17
draw_conclusions: Topic: 13, Keyword number: 18
scene_unnerving: Topic: 13, Keyword number: 19
key_scene: Topic: 13, Keyword number: 20
impressively_key: Topic: 13, Keyword number: 21
extra_score: Topic: 13, Keyword number: 22
she's_essentially: Topic: 13, Keyword number: 23
garish_red: Topic: 13, Keyword number: 24
meet_manner: Topic: 15, Keyword number: 0
mind_best: Topic: 15, Keyword number: 1
symbolically: Topic: 15, Keyword number: 2
blair: Topic: 16, Keyword number: 0
year's_academy: Topic: 16, Keyword number: 1
writings: Topic: 16, Keyword number: 2
touched_young: Topic: 16, Keyword number: 3
frank_remembered: Topic: 16, Keyword number: 4
records_recount: Topic: 16, Keyword number: 5
otto_frank: Topic: 16, Keyword number: 6
franks_watch: Topic: 16, Keyword number: 7
most-famous: Topic: 16, Keyword number: 8
sometimes-tedious_often-moving: Topic: 16, Keyword number: 9
retells: Topic: 16, Keyword number: 10
germans: Topic: 16, Keyword number: 11
paulie: Topic: 17, Keyword number: 0
human: Topic: 17, Keyword number: 1
misha: Topic: 17, Keyword number: 2
jay_mohr: Topic: 17, Keyword number: 3
elderly: Topic: 17, Keyword number: 4
don't: Topic: 17, Keyword number: 5
cat_got: Topic: 17, Keyword number: 6
ivy: Topic: 17, Keyword number: 7
like_parrot: Topic: 17, Keyword number: 8
back_marie: Topic: 17, Keyword number: 9
gena: Topic: 17, Keyword number: 10
paulie's: Topic: 17, Keyword number: 11
pawn: Topic: 17, Keyword number: 12
birthday: Topic: 17, Keyword number: 13
rowlands: Topic: 17, Keyword number: 14
basement: Topic: 17, Keyword number: 15
day: Topic: 17, Keyword number: 16
shop: Topic: 17, Keyword number: 17
heads_i'm: Topic: 17, Keyword number: 18
sometimes_wisecracks: Topic: 17, Keyword number: 19
he'll_sometimes: Topic: 17, Keyword number: 20
may_low: Topic: 17, Keyword number: 21
moms_dads: Topic: 17, Keyword number: 22
alvarado_bottom: Topic: 17, Keyword number: 23
makes_back: Topic: 17, Keyword number: 24
amazing_gift: Topic: 19, Keyword number: 0
locker: Topic: 20, Keyword number: 0
sinclair: Topic: 20, Keyword number: 1
kathy: Topic: 20, Keyword number: 2
pollini: Topic: 20, Keyword number: 3
vera: Topic: 20, Keyword number: 4
cleese's: Topic: 20, Keyword number: 5
participants: Topic: 20, Keyword number: 6
squirrel: Topic: 20, Keyword number: 7
dave: Topic: 20, Keyword number: 8
shaffer_breckin: Topic: 20, Keyword number: 9
breckin: Topic: 20, Keyword number: 10
nick_shaffer: Topic: 20, Keyword number: 11
shaffer: Topic: 20, Keyword number: 12
vince_vieluf: Topic: 20, Keyword number: 13
jon_lovitz: Topic: 20, Keyword number: 14
randy_pear: Topic: 20, Keyword number: 15
randy: Topic: 20, Keyword number: 16
rowan: Topic: 20, Keyword number: 17
convention: Topic: 20, Keyword number: 18
lucy: Topic: 20, Keyword number: 19
referee: Topic: 20, Keyword number: 20
owen_templeton: Topic: 20, Keyword number: 21
lanai_chapman: Topic: 20, Keyword number: 22
chapman: Topic: 20, Keyword number: 23
merrill_lanai: Topic: 20, Keyword number: 24
grease: Topic: 24, Keyword number: 0
strike_back: Topic: 24, Keyword number: 1
three: Topic: 24, Keyword number: 2
sandy: Topic: 24, Keyword number: 3
smith: Topic: 24, Keyword number: 4
elizabeth: Topic: 24, Keyword number: 5
together: Topic: 24, Keyword number: 6
movements: Topic: 24, Keyword number: 7
wednesday: Topic: 24, Keyword number: 8
changed: Topic: 24, Keyword number: 9
musical: Topic: 24, Keyword number: 10
others: Topic: 24, Keyword number: 11
movie's: Topic: 24, Keyword number: 12
star_wars: Topic: 24, Keyword number: 13
fun: Topic: 24, Keyword number: 14
still_word: Topic: 24, Keyword number: 15
abyss_special: Topic: 24, Keyword number: 16
kennesaw's: Topic: 24, Keyword number: 17
light_magic: Topic: 24, Keyword number: 18
lightening: Topic: 24, Keyword number: 19
der: Topic: 24, Keyword number: 20
smaller: Topic: 24, Keyword number: 21
rats: Topic: 24, Keyword number: 22
increasingly: Topic: 24, Keyword number: 23
reserved: Topic: 24, Keyword number: 24
auditorium: Topic: 25, Keyword number: 0
rare_cinematic: Topic: 25, Keyword number: 1
knew_death: Topic: 25, Keyword number: 2
twenties_there's: Topic: 25, Keyword number: 3
earlier_twenties: Topic: 25, Keyword number: 4
candidness: Topic: 25, Keyword number: 5
inside_anus: Topic: 25, Keyword number: 6
museums_lectures: Topic: 25, Keyword number: 7
museums: Topic: 25, Keyword number: 8
art_unraveled: Topic: 25, Keyword number: 9
man_content: Topic: 25, Keyword number: 10
painting_sympathetic: Topic: 25, Keyword number: 11
crumb_also: Topic: 25, Keyword number: 12
sadomasochism_conducted: Topic: 25, Keyword number: 13
acts_sadomasochism: Topic: 25, Keyword number: 14
unthinkable_acts: Topic: 25, Keyword number: 15
director_basic: Topic: 25, Keyword number: 16
mucus: Topic: 25, Keyword number: 17
bad_fact: Topic: 25, Keyword number: 18
brilliant: Topic: 25, Keyword number: 19
michael: Topic: 26, Keyword number: 0
vietnam: Topic: 26, Keyword number: 1
roulette: Topic: 26, Keyword number: 2
deer_hunter: Topic: 26, Keyword number: 3
group: Topic: 26, Keyword number: 4
saigon: Topic: 26, Keyword number: 5
cimino's: Topic: 26, Keyword number: 6
walken: Topic: 26, Keyword number: 7
turned: Topic: 26, Keyword number: 8
returns: Topic: 26, Keyword number: 9
stunningly_flawed: Topic: 26, Keyword number: 10
incoherent: Topic: 26, Keyword number: 11
person_crew: Topic: 26, Keyword number: 12
one_col: Topic: 26, Keyword number: 13
tour_duty: Topic: 26, Keyword number: 14
varying_modernity: Topic: 26, Keyword number: 15
man_woman: Topic: 26, Keyword number: 16
flowers_shanghai: Topic: 26, Keyword number: 17
hai's: Topic: 26, Keyword number: 18
nguyen_nhu: Topic: 26, Keyword number: 19
leaving_one: Topic: 26, Keyword number: 20
movie_scenes: Topic: 26, Keyword number: 21
succumbed: Topic: 26, Keyword number: 22
film_captivate: Topic: 26, Keyword number: 23
captivate: Topic: 26, Keyword number: 24
inventiveness: Topic: 27, Keyword number: 0
handled_ever: Topic: 27, Keyword number: 1
bathroom_humor: Topic: 27, Keyword number: 2
isaiah: Topic: 29, Keyword number: 0
laugh-out-loud_punchlines: Topic: 29, Keyword number: 1
crinkled_expressions: Topic: 29, Keyword number: 2
midnight_murder: Topic: 29, Keyword number: 3
beacham: Topic: 29, Keyword number: 4
dies_everett: Topic: 29, Keyword number: 5
time_everett: Topic: 29, Keyword number: 6
despicable_characters: Topic: 29, Keyword number: 7
brow_frowns: Topic: 29, Keyword number: 8
effort_steve: Topic: 29, Keyword number: 9
woman's_body: Topic: 29, Keyword number: 10
vote: Topic: 29, Keyword number: 11
dismissed: Topic: 29, Keyword number: 12
energy: Topic: 29, Keyword number: 13
dead: Topic: 29, Keyword number: 14
midnight: Topic: 29, Keyword number: 15
see: Topic: 29, Keyword number: 16
attempted: Topic: 30, Keyword number: 0
try_find: Topic: 30, Keyword number: 1
secrecy_assure: Topic: 30, Keyword number: 2
re-takes_role: Topic: 30, Keyword number: 3
griffith: Topic: 32, Keyword number: 0
ray_sun's: Topic: 33, Keyword number: 0
story-driven: Topic: 33, Keyword number: 1
parent_lee's: Topic: 33, Keyword number: 2
man_pulls: Topic: 33, Keyword number: 3
truman: Topic: 37, Keyword number: 0
weir: Topic: 37, Keyword number: 1
niccol: Topic: 37, Keyword number: 2
truman_show: Topic: 37, Keyword number: 3
jim_carrey: Topic: 37, Keyword number: 4
christof: Topic: 37, Keyword number: 5
yet_truman: Topic: 37, Keyword number: 6
wife_best: Topic: 37, Keyword number: 7
plethora: Topic: 37, Keyword number: 8
fed: Topic: 37, Keyword number: 9
seahaven: Topic: 37, Keyword number: 10
laura: Topic: 37, Keyword number: 11
creator: Topic: 37, Keyword number: 12
hits: Topic: 37, Keyword number: 13
past: Topic: 37, Keyword number: 14
stage_although: Topic: 37, Keyword number: 15
surprising_aspect: Topic: 37, Keyword number: 16
movie_nears: Topic: 37, Keyword number: 17
adding_setting's: Topic: 37, Keyword number: 18
chemistry_thurman: Topic: 37, Keyword number: 19
high_charisma: Topic: 37, Keyword number: 20
uncannily_niccol: Topic: 37, Keyword number: 21
talents_uncannily: Topic: 37, Keyword number: 22
emanates: Topic: 37, Keyword number: 23
without_ever: Topic: 37, Keyword number: 24
africans: Topic: 40, Keyword number: 0
spielberg's: Topic: 40, Keyword number: 1
quincy: Topic: 40, Keyword number: 2
slave_ship: Topic: 40, Keyword number: 3
naval: Topic: 40, Keyword number: 4
africa: Topic: 40, Keyword number: 5
spain: Topic: 40, Keyword number: 6
kidnapped_africans: Topic: 40, Keyword number: 7
supreme_court: Topic: 40, Keyword number: 8
franzoni: Topic: 40, Keyword number: 9
naval_officers: Topic: 40, Keyword number: 10
queen_isabella: Topic: 40, Keyword number: 11
president_john: Topic: 40, Keyword number: 12
buren: Topic: 40, Keyword number: 13
done: Topic: 40, Keyword number: 14
mcconaughey: Topic: 40, Keyword number: 15
slavery: Topic: 40, Keyword number: 16
culture: Topic: 40, Keyword number: 17
speech: Topic: 40, Keyword number: 18
shelves_remains: Topic: 40, Keyword number: 19
opened_chicago: Topic: 40, Keyword number: 20
upsurge_interest: Topic: 40, Keyword number: 21
plagiarism: Topic: 40, Keyword number: 22
barbara_chase-riboud: Topic: 40, Keyword number: 23
waters_author: Topic: 40, Keyword number: 24
sarah_may: Topic: 44, Keyword number: 0
piece_neil: Topic: 44, Keyword number: 1
rea: Topic: 44, Keyword number: 2
roses: Topic: 44, Keyword number: 3
really_stupid: Topic: 46, Keyword number: 0
story_wouldn't: Topic: 47, Keyword number: 0
film: Topic: 52, Keyword number: 0
john: Topic: 52, Keyword number: 1
one: Topic: 52, Keyword number: 2
vampires: Topic: 52, Keyword number: 3
carry: Topic: 52, Keyword number: 4
instead: Topic: 52, Keyword number: 5
many: Topic: 52, Keyword number: 6
using: Topic: 52, Keyword number: 7
yes: Topic: 52, Keyword number: 8
director: Topic: 52, Keyword number: 9
even: Topic: 52, Keyword number: 10
kid: Topic: 52, Keyword number: 11
script: Topic: 52, Keyword number: 12
different: Topic: 52, Keyword number: 13
yet: Topic: 52, Keyword number: 14
way: Topic: 52, Keyword number: 15
time: Topic: 52, Keyword number: 16
though: Topic: 52, Keyword number: 17
times: Topic: 52, Keyword number: 18
looks: Topic: 52, Keyword number: 19
getting: Topic: 52, Keyword number: 20
rumpo: Topic: 52, Keyword number: 21
queen: Topic: 52, Keyword number: 22
henry: Topic: 52, Keyword number: 23
last: Topic: 52, Keyword number: 24
noble_gesture: Topic: 53, Keyword number: 0
army_cuts: Topic: 53, Keyword number: 1
gained_notoriety: Topic: 53, Keyword number: 2
still_valid: Topic: 53, Keyword number: 3
excessive_who's: Topic: 53, Keyword number: 4
inside_cia: Topic: 53, Keyword number: 5
operations_troops: Topic: 53, Keyword number: 6
american_citizens: Topic: 53, Keyword number: 7
innocents_anywhere: Topic: 53, Keyword number: 8
missteps: Topic: 53, Keyword number: 9
course_perhaps: Topic: 55, Keyword number: 0
mystery_comments: Topic: 55, Keyword number: 1
universal: Topic: 55, Keyword number: 2
inspiring: Topic: 56, Keyword number: 0
outcast: Topic: 56, Keyword number: 1
television: Topic: 58, Keyword number: 0
butt-head: Topic: 58, Keyword number: 1
oblivious: Topic: 58, Keyword number: 2
completely_oblivious: Topic: 58, Keyword number: 3
mike_judge: Topic: 58, Keyword number: 4
fbi_mike: Topic: 58, Keyword number: 5
authority_fbi: Topic: 58, Keyword number: 6
also_regard: Topic: 58, Keyword number: 7
respect_also: Topic: 58, Keyword number: 8
life_television: Topic: 58, Keyword number: 9
potatoes: Topic: 58, Keyword number: 10
stupid_oblivious: Topic: 58, Keyword number: 11
lives_even: Topic: 58, Keyword number: 12
infra-red_operated: Topic: 58, Keyword number: 13
faithful_far: Topic: 58, Keyword number: 14
television_completely: Topic: 58, Keyword number: 15
spectacular_locations: Topic: 58, Keyword number: 16
hoover_dam: Topic: 58, Keyword number: 17
hoover: Topic: 58, Keyword number: 18
criminal_masterminds: Topic: 58, Keyword number: 19
result_fbi: Topic: 58, Keyword number: 20
crime_unbeknown: Topic: 58, Keyword number: 21
unbeknown: Topic: 58, Keyword number: 22
caught_huge: Topic: 58, Keyword number: 23
buy_big: Topic: 58, Keyword number: 24
romantic: Topic: 59, Keyword number: 0
booker: Topic: 59, Keyword number: 1
catholic: Topic: 59, Keyword number: 2
saint: Topic: 59, Keyword number: 3
left: Topic: 59, Keyword number: 4
julia: Topic: 59, Keyword number: 5
york: Topic: 59, Keyword number: 6
away: Topic: 59, Keyword number: 7
comedy: Topic: 59, Keyword number: 8
thoroughly: Topic: 59, Keyword number: 9
horses: Topic: 59, Keyword number: 10
annie's: Topic: 59, Keyword number: 11
proving: Topic: 59, Keyword number: 12
magazine: Topic: 59, Keyword number: 13
robby: Topic: 59, Keyword number: 14
quick: Topic: 59, Keyword number: 15
biggest: Topic: 59, Keyword number: 16
highly: Topic: 59, Keyword number: 17
goal: Topic: 59, Keyword number: 18
brief: Topic: 59, Keyword number: 19
individual: Topic: 59, Keyword number: 20
life: Topic: 59, Keyword number: 21
week: Topic: 59, Keyword number: 22
every: Topic: 59, Keyword number: 23
ending: Topic: 59, Keyword number: 24
john: Topic: 60, Keyword number: 0
see: Topic: 60, Keyword number: 1
john_malkovich: Topic: 60, Keyword number: 2
three: Topic: 60, Keyword number: 3
old: Topic: 60, Keyword number: 4
portal: Topic: 60, Keyword number: 5
john_cusack: Topic: 60, Keyword number: 6
although: Topic: 60, Keyword number: 7
one: Topic: 60, Keyword number: 8
job: Topic: 60, Keyword number: 9
diaz: Topic: 60, Keyword number: 10
sara: Topic: 60, Keyword number: 11
mystery: Topic: 60, Keyword number: 12
together: Topic: 60, Keyword number: 13
head: Topic: 60, Keyword number: 14
eyes: Topic: 60, Keyword number: 15
saw: Topic: 60, Keyword number: 16
anyone: Topic: 60, Keyword number: 17
there's: Topic: 60, Keyword number: 18
films: Topic: 60, Keyword number: 19
dude's: Topic: 60, Keyword number: 20
jonze: Topic: 60, Keyword number: 21
robby: Topic: 60, Keyword number: 22
serendipity: Topic: 60, Keyword number: 23
soul: Topic: 60, Keyword number: 24
change: Topic: 61, Keyword number: 0
exact_spirit: Topic: 61, Keyword number: 1
bond_girls: Topic: 61, Keyword number: 2
believability: Topic: 61, Keyword number: 3
left_learning: Topic: 61, Keyword number: 4
pleasant_provocative: Topic: 61, Keyword number: 5
timing_pace: Topic: 61, Keyword number: 6
today_really: Topic: 61, Keyword number: 7
character_confusing: Topic: 61, Keyword number: 8
tobey_reese: Topic: 61, Keyword number: 9
remake_may: Topic: 61, Keyword number: 10
better_certain: Topic: 61, Keyword number: 11
deliciously_tormented: Topic: 61, Keyword number: 12
new_parent: Topic: 61, Keyword number: 13
cocky_attitude: Topic: 61, Keyword number: 14
disney_they'd: Topic: 61, Keyword number: 15
names_godard: Topic: 61, Keyword number: 16
contemporary_live-action-disney: Topic: 61, Keyword number: 17
never_meet: Topic: 61, Keyword number: 18
goldfinger_russia: Topic: 61, Keyword number: 19
fun_add: Topic: 61, Keyword number: 20
slimy_lovable: Topic: 61, Keyword number: 21
independent_certain: Topic: 61, Keyword number: 22
great_yeoh: Topic: 61, Keyword number: 23
motorcylce: Topic: 61, Keyword number: 24
transcends_time: Topic: 62, Keyword number: 0
moments_peace: Topic: 63, Keyword number: 0
synergism: Topic: 64, Keyword number: 0
camille_outwardly: Topic: 64, Keyword number: 1
new_love: Topic: 64, Keyword number: 2
maker_passionless: Topic: 64, Keyword number: 3
new_audience: Topic: 66, Keyword number: 0
leading_listener: Topic: 66, Keyword number: 1
classic_according: Topic: 66, Keyword number: 2
james_algar: Topic: 66, Keyword number: 3
hendel_butoy: Topic: 66, Keyword number: 4
pixote_hunt: Topic: 66, Keyword number: 5
war_going: Topic: 66, Keyword number: 6
listening_lecture: Topic: 66, Keyword number: 7
conversation_one: Topic: 66, Keyword number: 8
right_beside: Topic: 66, Keyword number: 9
can't_wait: Topic: 66, Keyword number: 10
secrets_greater: Topic: 66, Keyword number: 11
director's: Topic: 66, Keyword number: 12
tan: Topic: 66, Keyword number: 13
michelle_yeoh: Topic: 66, Keyword number: 14
label: Topic: 66, Keyword number: 15
human_level: Topic: 66, Keyword number: 16
tours-de-force: Topic: 66, Keyword number: 17
breast_projected: Topic: 66, Keyword number: 18
conflict_heart: Topic: 66, Keyword number: 19
master_steals: Topic: 66, Keyword number: 20
masters_golden: Topic: 66, Keyword number: 21
life_purer: Topic: 66, Keyword number: 22
dragon_fits: Topic: 66, Keyword number: 23
etymology: Topic: 66, Keyword number: 24
lopez_cheadle: Topic: 67, Keyword number: 0
incarcerated_businessman: Topic: 67, Keyword number: 1
specializes_unarmed: Topic: 67, Keyword number: 2
allen_wears: Topic: 67, Keyword number: 3
part_towards: Topic: 67, Keyword number: 4
movie_early: Topic: 67, Keyword number: 5
reccomend: Topic: 67, Keyword number: 6
rendered_impressionist: Topic: 67, Keyword number: 7
florida's: Topic: 67, Keyword number: 8
win_love: Topic: 67, Keyword number: 9
dennis_farina: Topic: 67, Keyword number: 10
ever_moment: Topic: 69, Keyword number: 0
source_much: Topic: 69, Keyword number: 1
jumble_sexiness: Topic: 69, Keyword number: 2
image_conformity: Topic: 69, Keyword number: 3
script_performances: Topic: 69, Keyword number: 4
ultimately_none: Topic: 69, Keyword number: 5
marital: Topic: 69, Keyword number: 6
lucky_handyman: Topic: 69, Keyword number: 7
introduces_two: Topic: 69, Keyword number: 8
making_afterglow: Topic: 69, Keyword number: 9
agreement: Topic: 69, Keyword number: 10
lara_flynn: Topic: 69, Keyword number: 11
surprised: Topic: 69, Keyword number: 12
overly: Topic: 69, Keyword number: 13
burstyn_director/writer: Topic: 70, Keyword number: 0
plus_minutes: Topic: 73, Keyword number: 0
hook_find: Topic: 73, Keyword number: 1
tran_anh: Topic: 74, Keyword number: 0
ray: Topic: 74, Keyword number: 1
resulted_radical: Topic: 74, Keyword number: 2
tale_three: Topic: 74, Keyword number: 3
heavily_film's: Topic: 74, Keyword number: 4
courtyards: Topic: 74, Keyword number: 5
bowl_man: Topic: 74, Keyword number: 6
linger_repeat: Topic: 74, Keyword number: 7
botanical_photography: Topic: 74, Keyword number: 8
lovingly_prepare: Topic: 74, Keyword number: 9
suong's: Topic: 74, Keyword number: 10
reed_precedes: Topic: 74, Keyword number: 11
relentlessly_flirts: Topic: 74, Keyword number: 12
mysterious_man: Topic: 74, Keyword number: 13
crawling: Topic: 74, Keyword number: 14
hues: Topic: 74, Keyword number: 15
harsh: Topic: 74, Keyword number: 16
opera: Topic: 74, Keyword number: 17
parents: Topic: 74, Keyword number: 18
spring: Topic: 74, Keyword number: 19
crowe: Topic: 76, Keyword number: 0
ryan: Topic: 76, Keyword number: 1
proof_life: Topic: 76, Keyword number: 2
proof: Topic: 76, Keyword number: 3
days: Topic: 76, Keyword number: 4
david_caruso: Topic: 76, Keyword number: 5
bowman: Topic: 76, Keyword number: 6
situations: Topic: 76, Keyword number: 7
choices: Topic: 76, Keyword number: 8
films: Topic: 76, Keyword number: 9
truly_painful: Topic: 76, Keyword number: 10
film_exploring: Topic: 76, Keyword number: 11
agree_beatty's: Topic: 76, Keyword number: 12
trying_sound: Topic: 76, Keyword number: 13
instead_speaking: Topic: 76, Keyword number: 14
nights_also: Topic: 76, Keyword number: 15
tough-talking: Topic: 76, Keyword number: 16
berry_meets: Topic: 76, Keyword number: 17
experience_bulworth: Topic: 76, Keyword number: 18
half-truth-telling_spin-doctoring: Topic: 76, Keyword number: 19
bewilderment_platt: Topic: 76, Keyword number: 20
politically_suicidal: Topic: 76, Keyword number: 21
schedule_throughout: Topic: 76, Keyword number: 22
behind_somebody: Topic: 76, Keyword number: 23
church_tells: Topic: 76, Keyword number: 24
heart_predecessor: Topic: 78, Keyword number: 0
father_least: Topic: 78, Keyword number: 1
strange_mishap: Topic: 78, Keyword number: 2
something_definitely: Topic: 78, Keyword number: 3
tear_either: Topic: 78, Keyword number: 4
shed_single: Topic: 78, Keyword number: 5
felt_seemed: Topic: 78, Keyword number: 6
matthew_mcconaughey's: Topic: 78, Keyword number: 7
dull_performance: Topic: 78, Keyword number: 8
rest_got: Topic: 78, Keyword number: 9
serious_weepy: Topic: 78, Keyword number: 10
mississippi_beckwith: Topic: 78, Keyword number: 11
delaughter: Topic: 78, Keyword number: 12
prosecutor_bobby: Topic: 78, Keyword number: 13
racist_byron: Topic: 78, Keyword number: 14
goldberg_sister: Topic: 78, Keyword number: 15
evars_whoopi: Topic: 78, Keyword number: 16
battle_faced: Topic: 78, Keyword number: 17
mississippi_based: Topic: 78, Keyword number: 18
reiner_basically: Topic: 78, Keyword number: 19
charged_novels: Topic: 78, Keyword number: 20
summer_one: Topic: 78, Keyword number: 21
film_title: Topic: 78, Keyword number: 22
could_felt: Topic: 78, Keyword number: 23
don't_expect: Topic: 78, Keyword number: 24
disturbing_images: Topic: 82, Keyword number: 0
hack_movies: Topic: 84, Keyword number: 0
quite_beating: Topic: 84, Keyword number: 1
ignoramus: Topic: 84, Keyword number: 2
add_much: Topic: 84, Keyword number: 3
renfro: Topic: 84, Keyword number: 4
last: Topic: 84, Keyword number: 5
box: Topic: 84, Keyword number: 6
eternal: Topic: 85, Keyword number: 0
dark: Topic: 85, Keyword number: 1
kira: Topic: 85, Keyword number: 2
thrill: Topic: 85, Keyword number: 3
design: Topic: 85, Keyword number: 4
fortunate_son: Topic: 85, Keyword number: 5
fantastical_courageously: Topic: 85, Keyword number: 6
show_david: Topic: 85, Keyword number: 7
episode_muppet: Topic: 85, Keyword number: 8
acid-trip: Topic: 85, Keyword number: 9
creatures_due: Topic: 85, Keyword number: 10
humans_among: Topic: 85, Keyword number: 11
pressured_planting: Topic: 85, Keyword number: 12
story_henson: Topic: 85, Keyword number: 13
mine_related: Topic: 85, Keyword number: 14
upsetting_friend: Topic: 85, Keyword number: 15
probably_better-known: Topic: 85, Keyword number: 16
better-known: Topic: 85, Keyword number: 17
appreciated_dark: Topic: 85, Keyword number: 18
jen_kira: Topic: 85, Keyword number: 19
nature_couldn't: Topic: 85, Keyword number: 20
suppose_due: Topic: 85, Keyword number: 21
character_suppose: Topic: 85, Keyword number: 22
unseen_character: Topic: 85, Keyword number: 23
contributes_film: Topic: 85, Keyword number: 24
make_next: Topic: 87, Keyword number: 0
order_escape: Topic: 87, Keyword number: 1
satirized_much: Topic: 87, Keyword number: 2
film_fairly: Topic: 87, Keyword number: 3
indeed_finale: Topic: 87, Keyword number: 4
expense_thriller: Topic: 87, Keyword number: 5
sense_straining: Topic: 87, Keyword number: 6
rebecca_gayheart: Topic: 87, Keyword number: 7
nervous_cameraman: Topic: 87, Keyword number: 8
olyphant_gale's: Topic: 87, Keyword number: 9
protectively: Topic: 87, Keyword number: 10
jamie_kennedy: Topic: 87, Keyword number: 11
built_final: Topic: 87, Keyword number: 12
point_williamson: Topic: 87, Keyword number: 13
domestic_becoming: Topic: 87, Keyword number: 14
returns_eventually: Topic: 87, Keyword number: 15
portions: Topic: 87, Keyword number: 16
strike: Topic: 88, Keyword number: 0
simple_reason: Topic: 88, Keyword number: 1
aids: Topic: 88, Keyword number: 2
moving_something: Topic: 88, Keyword number: 3
script_basically: Topic: 88, Keyword number: 4
terminator_well: Topic: 88, Keyword number: 5
draw_parallels: Topic: 88, Keyword number: 6
cameron_also: Topic: 88, Keyword number: 7
read_criticism: Topic: 88, Keyword number: 8
back_cold: Topic: 88, Keyword number: 9
existence_sara: Topic: 88, Keyword number: 10
rise_humans: Topic: 88, Keyword number: 11
set_doubt: Topic: 88, Keyword number: 12
apocalypse_plenty: Topic: 88, Keyword number: 13
use_machines: Topic: 88, Keyword number: 14
prevent_connor: Topic: 88, Keyword number: 15
thus_prevent: Topic: 88, Keyword number: 16
nuclear_expressed: Topic: 88, Keyword number: 17
showcase_obsession: Topic: 88, Keyword number: 18
films_showcase: Topic: 88, Keyword number: 19
indeed_off-the-cuff: Topic: 88, Keyword number: 20
exhibits_throughout: Topic: 88, Keyword number: 21
minor_subplots: Topic: 88, Keyword number: 22
truly_shine: Topic: 88, Keyword number: 23
profit_reporting: Topic: 88, Keyword number: 24
songs: Topic: 91, Keyword number: 0
troma: Topic: 91, Keyword number: 1
park: Topic: 91, Keyword number: 2
cannibal: Topic: 91, Keyword number: 3
south: Topic: 91, Keyword number: 4
packer: Topic: 91, Keyword number: 5
disc: Topic: 91, Keyword number: 6
drunker: Topic: 91, Keyword number: 7
trailers_upcoming: Topic: 91, Keyword number: 8
ute: Topic: 91, Keyword number: 9
film_finally: Topic: 91, Keyword number: 10
trey_parker: Topic: 91, Keyword number: 11
