terrorist: Topic: 0, Keyword number: 0
chief_executive: Topic: 3, Keyword number: 9
belief_nowadays: Topic: 3, Keyword number: 10
future_common: Topic: 3, Keyword number: 11
heartstrings_would: Topic: 3, Keyword number: 12
problems_much: Topic: 3, Keyword number: 13
good_alexander: Topic: 3, Keyword number: 14
turns_good: Topic: 3, Keyword number: 15
picture_executive: Topic: 3, Keyword number: 16
believe_president: Topic: 3, Keyword number: 17
man_afraid: Topic: 3, Keyword number: 18
desperate_action: Topic: 3, Keyword number: 19
mastery_man: Topic: 3, Keyword number: 20
ford_done: Topic: 3, Keyword number: 21
film_deadly: Topic: 3, Keyword number: 22
minute_threatens: Topic: 3, Keyword number: 23
sensitive_conversation: Topic: 3, Keyword number: 24
fingernail: Topic: 4, Keyword number: 0
camembert: Topic: 4, Keyword number: 1
ffing: Topic: 4, Keyword number: 2
jacqueline: Topic: 4, Keyword number: 3
desiree: Topic: 4, Keyword number: 4
bidet: Topic: 4, Keyword number: 5
black_fingernail: Topic: 4, Keyword number: 6
darcy: Topic: 4, Keyword number: 7
citizen: Topic: 4, Keyword number: 8
locket: Topic: 4, Keyword number: 9
calais: Topic: 4, Keyword number: 10
pommfrit: Topic: 4, Keyword number: 11
duc: Topic: 4, Keyword number: 12
sword_fight: Topic: 4, Keyword number: 13
largely_successful: Topic: 4, Keyword number: 14
peter_butterworth: Topic: 4, Keyword number: 15
butterworth: Topic: 4, Keyword number: 16
productions: Topic: 4, Keyword number: 17
bastille: Topic: 4, Keyword number: 18
end_film: Topic: 4, Keyword number: 19
assistant: Topic: 4, Keyword number: 20
sims: Topic: 4, Keyword number: 21
joan: Topic: 4, Keyword number: 22
charles_hawtrey: Topic: 4, Keyword number: 23
hawtrey: Topic: 4, Keyword number: 24
johnson: Topic: 5, Keyword number: 0
sunken: Topic: 5, Keyword number: 1
folk: Topic: 5, Keyword number: 2
nurse: Topic: 5, Keyword number: 3
far: Topic: 5, Keyword number: 4
it's_mission: Topic: 5, Keyword number: 5
painstakingly: Topic: 5, Keyword number: 6
attatched: Topic: 5, Keyword number: 7
hypnotic: Topic: 5, Keyword number: 8
mistress: Topic: 5, Keyword number: 9
sappy: Topic: 5, Keyword number: 10
wants: Topic: 5, Keyword number: 11
films_final: Topic: 5, Keyword number: 12
place_james: Topic: 5, Keyword number: 13
slow_dwelling: Topic: 5, Keyword number: 14
come_forth: Topic: 5, Keyword number: 15
briggs_mother: Topic: 5, Keyword number: 16
mirren_shines: Topic: 5, Keyword number: 17
pinching: Topic: 5, Keyword number: 18
garden_show: Topic: 5, Keyword number: 19
reprimands_he's: Topic: 5, Keyword number: 20
ball_smashes: Topic: 5, Keyword number: 21
colleges: Topic: 5, Keyword number: 22
pie_leaving: Topic: 5, Keyword number: 23
felt_good: Topic: 5, Keyword number: 24
truman: Topic: 6, Keyword number: 0
show: Topic: 6, Keyword number: 1
truman's: Topic: 6, Keyword number: 2
truman_show: Topic: 6, Keyword number: 3
christof: Topic: 6, Keyword number: 4
carrey: Topic: 6, Keyword number: 5
weir: Topic: 6, Keyword number: 6
seahaven: Topic: 6, Keyword number: 7
harris: Topic: 6, Keyword number: 8
cameras: Topic: 6, Keyword number: 9
linney: Topic: 6, Keyword number: 10
truman's_life: Topic: 6, Keyword number: 11
niccol: Topic: 6, Keyword number: 12
sky: Topic: 6, Keyword number: 13
mcelhone: Topic: 6, Keyword number: 14
laura_linney: Topic: 6, Keyword number: 15
extras: Topic: 6, Keyword number: 16
radio: Topic: 6, Keyword number: 17
carrey's: Topic: 6, Keyword number: 18
studio_light: Topic: 6, Keyword number: 19
niccol's: Topic: 6, Keyword number: 20
christof_harris: Topic: 6, Keyword number: 21
curious: Topic: 6, Keyword number: 22
andrew_niccol: Topic: 6, Keyword number: 23
jim_carrey's: Topic: 6, Keyword number: 24
thin_red: Topic: 7, Keyword number: 0
malick: Topic: 7, Keyword number: 1
rubell: Topic: 7, Keyword number: 2
monica: Topic: 7, Keyword number: 3
neil: Topic: 7, Keyword number: 4
swintons: Topic: 7, Keyword number: 5
way_home: Topic: 7, Keyword number: 6
many_stories: Topic: 7, Keyword number: 7
lets_hear: Topic: 7, Keyword number: 8
sharply_portrays: Topic: 7, Keyword number: 9
interesting_thought-provoking: Topic: 7, Keyword number: 10
judge_screen: Topic: 7, Keyword number: 11
fragile_woman: Topic: 7, Keyword number: 12
emotional_fragile: Topic: 7, Keyword number: 13
role_o'connor's: Topic: 7, Keyword number: 14
happy_help: Topic: 7, Keyword number: 15
pleasant_care-free: Topic: 7, Keyword number: 16
law_pleasant: Topic: 7, Keyword number: 17
eyes_law: Topic: 7, Keyword number: 18
deserved_academy: Topic: 7, Keyword number: 19
young_osment: Topic: 7, Keyword number: 20
bigotry_coalesce: Topic: 7, Keyword number: 21
superfluous_different: Topic: 7, Keyword number: 22
amusement_paying: Topic: 7, Keyword number: 23
via_sadistic: Topic: 7, Keyword number: 24
antz: Topic: 8, Keyword number: 0
story: Topic: 8, Keyword number: 1
life: Topic: 8, Keyword number: 2
without: Topic: 8, Keyword number: 3
animated: Topic: 8, Keyword number: 4
ants: Topic: 8, Keyword number: 5
space: Topic: 8, Keyword number: 6
rather: Topic: 8, Keyword number: 7
characters: Topic: 8, Keyword number: 8
two: Topic: 8, Keyword number: 9
example: Topic: 8, Keyword number: 10
action: Topic: 8, Keyword number: 11
exciting: Topic: 8, Keyword number: 12
audience: Topic: 8, Keyword number: 13
clever: Topic: 8, Keyword number: 14
alive: Topic: 8, Keyword number: 15
death: Topic: 8, Keyword number: 16
threat: Topic: 8, Keyword number: 17
duncan: Topic: 8, Keyword number: 18
story_line: Topic: 8, Keyword number: 19
involves: Topic: 8, Keyword number: 20
army: Topic: 8, Keyword number: 21
body: Topic: 8, Keyword number: 22
two_different: Topic: 8, Keyword number: 23
armageddon: Topic: 8, Keyword number: 24
world: Topic: 9, Keyword number: 0
man: Topic: 9, Keyword number: 1
real: Topic: 9, Keyword number: 2
film: Topic: 9, Keyword number: 3
story: Topic: 9, Keyword number: 4
one: Topic: 9, Keyword number: 5
life: Topic: 9, Keyword number: 6
like: Topic: 9, Keyword number: 7
much: Topic: 9, Keyword number: 8
he's: Topic: 9, Keyword number: 9
black: Topic: 9, Keyword number: 10
character: Topic: 9, Keyword number: 11
big: Topic: 9, Keyword number: 12
seem: Topic: 9, Keyword number: 13
enough: Topic: 9, Keyword number: 14
films: Topic: 9, Keyword number: 15
good: Topic: 9, Keyword number: 16
power: Topic: 9, Keyword number: 17
yet: Topic: 9, Keyword number: 18
eyes: Topic: 9, Keyword number: 19
new: Topic: 9, Keyword number: 20
kill: Topic: 9, Keyword number: 21
school: Topic: 9, Keyword number: 22
well: Topic: 9, Keyword number: 23
offers: Topic: 9, Keyword number: 24
patrick: Topic: 10, Keyword number: 0
rameses: Topic: 10, Keyword number: 1
sandra_bullock: Topic: 10, Keyword number: 2
bullock: Topic: 10, Keyword number: 3
sandra: Topic: 10, Keyword number: 4
red: Topic: 10, Keyword number: 5
jason_patrick: Topic: 10, Keyword number: 6
willem: Topic: 10, Keyword number: 7
willem_dafoe: Topic: 10, Keyword number: 8
bullock_jeff: Topic: 10, Keyword number: 9
parting_red: Topic: 10, Keyword number: 10
liner: Topic: 10, Keyword number: 11
martin_martin: Topic: 10, Keyword number: 12
cruise_liner: Topic: 10, Keyword number: 13
entails: Topic: 10, Keyword number: 14
martin_short: Topic: 10, Keyword number: 15
dafoe: Topic: 10, Keyword number: 16
goldblum: Topic: 10, Keyword number: 17
pharaoh_seti: Topic: 10, Keyword number: 18
pharaoh: Topic: 10, Keyword number: 19
liberties: Topic: 10, Keyword number: 20
parting: Topic: 10, Keyword number: 21
christie: Topic: 10, Keyword number: 22
certainly_knows: Topic: 10, Keyword number: 23
kudos: Topic: 10, Keyword number: 24
robocop: Topic: 11, Keyword number: 0
nancy_allen: Topic: 11, Keyword number: 1
nancy: Topic: 11, Keyword number: 2
peter_weller: Topic: 11, Keyword number: 3
decent: Topic: 11, Keyword number: 4
robocop_starring: Topic: 11, Keyword number: 5
detroit: Topic: 11, Keyword number: 6
uncharted: Topic: 11, Keyword number: 7
way_really: Topic: 11, Keyword number: 8
quite_crowded: Topic: 11, Keyword number: 9
means_plot: Topic: 11, Keyword number: 10
follow_last: Topic: 11, Keyword number: 11
robocop_among: Topic: 11, Keyword number: 12
cyborg-ninja: Topic: 11, Keyword number: 13
japanese_send: Topic: 11, Keyword number: 14
ocp_japanese: Topic: 11, Keyword number: 15
counter-attack_evil: Topic: 11, Keyword number: 16
joins_band: Topic: 11, Keyword number: 17
company_robocop: Topic: 11, Keyword number: 18
japanese_company: Topic: 11, Keyword number: 19
large_japanese: Topic: 11, Keyword number: 20
owned_large: Topic: 11, Keyword number: 21
ocp_owned: Topic: 11, Keyword number: 22
john_burke: Topic: 11, Keyword number: 23
robert_john: Topic: 11, Keyword number: 24
movie: Topic: 12, Keyword number: 0
film: Topic: 12, Keyword number: 1
it's: Topic: 12, Keyword number: 2
one: Topic: 12, Keyword number: 3
also: Topic: 12, Keyword number: 4
like: Topic: 12, Keyword number: 5
would: Topic: 12, Keyword number: 6
way: Topic: 12, Keyword number: 7
little: Topic: 12, Keyword number: 8
get: Topic: 12, Keyword number: 9
really: Topic: 12, Keyword number: 10
know: Topic: 12, Keyword number: 11
fact: Topic: 12, Keyword number: 12
doesn't: Topic: 12, Keyword number: 13
see: Topic: 12, Keyword number: 14
make: Topic: 12, Keyword number: 15
character: Topic: 12, Keyword number: 16
much: Topic: 12, Keyword number: 17
time: Topic: 12, Keyword number: 18
great: Topic: 12, Keyword number: 19
even: Topic: 12, Keyword number: 20
still: Topic: 12, Keyword number: 21
well: Topic: 12, Keyword number: 22
could: Topic: 12, Keyword number: 23
every: Topic: 12, Keyword number: 24
joe: Topic: 13, Keyword number: 0
joe_black: Topic: 13, Keyword number: 1
meet_joe: Topic: 13, Keyword number: 2
hopkins: Topic: 13, Keyword number: 3
meet: Topic: 13, Keyword number: 4
death: Topic: 13, Keyword number: 5
pitt: Topic: 13, Keyword number: 6
claire_forlani: Topic: 13, Keyword number: 7
forlani: Topic: 13, Keyword number: 8
brad_pitt: Topic: 13, Keyword number: 9
brad: Topic: 13, Keyword number: 10
able: Topic: 13, Keyword number: 11
anthony_hopkins: Topic: 13, Keyword number: 12
anthony: Topic: 13, Keyword number: 13
three: Topic: 13, Keyword number: 14
weber: Topic: 13, Keyword number: 15
william_parrish: Topic: 13, Keyword number: 16
parrish: Topic: 13, Keyword number: 17
film_death: Topic: 13, Keyword number: 18
length: Topic: 13, Keyword number: 19
major_studio: Topic: 13, Keyword number: 20
butter: Topic: 13, Keyword number: 21
peanut: Topic: 13, Keyword number: 22
three_hours: Topic: 13, Keyword number: 23
forlani's: Topic: 13, Keyword number: 24
husbands_wives: Topic: 14, Keyword number: 0
husbands: Topic: 14, Keyword number: 1
nyc: Topic: 14, Keyword number: 2
wives: Topic: 14, Keyword number: 3
bonnie_hunt: Topic: 14, Keyword number: 4
planet: Topic: 14, Keyword number: 5
wrote_beatrice: Topic: 14, Keyword number: 6
opts_grittier: Topic: 14, Keyword number: 7
like_world: Topic: 14, Keyword number: 8
wife's_trial: Topic: 14, Keyword number: 9
plot_movies: Topic: 14, Keyword number: 10
actually_third: Topic: 14, Keyword number: 11
sally_you've: Topic: 14, Keyword number: 12
wives_mighty: Topic: 14, Keyword number: 13
hall_celebrity: Topic: 14, Keyword number: 14
zippy_dialogue: Topic: 14, Keyword number: 15
old-school_kind: Topic: 14, Keyword number: 16
allen_fans: Topic: 14, Keyword number: 17
towards_allen: Topic: 14, Keyword number: 18
better_geared: Topic: 14, Keyword number: 19
went_it's: Topic: 14, Keyword number: 20
decade_films: Topic: 14, Keyword number: 21
dinky_decade: Topic: 14, Keyword number: 22
believe_step: Topic: 14, Keyword number: 23
close_allen's: Topic: 14, Keyword number: 24
action: Topic: 15, Keyword number: 0
van_damme: Topic: 15, Keyword number: 1
wedding_singer: Topic: 15, Keyword number: 2
maximum_risk: Topic: 15, Keyword number: 3
hong: Topic: 15, Keyword number: 4
ethan: Topic: 15, Keyword number: 5
risk: Topic: 15, Keyword number: 6
woo's: Topic: 15, Keyword number: 7
singer: Topic: 15, Keyword number: 8
ambrose: Topic: 15, Keyword number: 9
mission_impossible: Topic: 15, Keyword number: 10
damme's: Topic: 15, Keyword number: 11
herlihy: Topic: 15, Keyword number: 12
hong_kong: Topic: 15, Keyword number: 13
woo: Topic: 15, Keyword number: 14
nyah: Topic: 15, Keyword number: 15
double: Topic: 15, Keyword number: 16
settle: Topic: 15, Keyword number: 17
russian: Topic: 15, Keyword number: 18
called: Topic: 15, Keyword number: 19
ethan_hunt: Topic: 15, Keyword number: 20
henstridge: Topic: 15, Keyword number: 21
lam's: Topic: 15, Keyword number: 22
sandler's: Topic: 15, Keyword number: 23
twin_brother: Topic: 15, Keyword number: 24
boone: Topic: 16, Keyword number: 0
gingerbread: Topic: 16, Keyword number: 1
fiennes: Topic: 16, Keyword number: 2
david: Topic: 16, Keyword number: 3
first: Topic: 16, Keyword number: 4
gods_monsters: Topic: 16, Keyword number: 5
attorney: Topic: 16, Keyword number: 6
right_stuff: Topic: 16, Keyword number: 7
develops: Topic: 16, Keyword number: 8
hearts: Topic: 16, Keyword number: 9
ralph_fiennes: Topic: 16, Keyword number: 10
courtroom: Topic: 16, Keyword number: 11
grisham: Topic: 16, Keyword number: 12
motion: Topic: 16, Keyword number: 13
david_mamet: Topic: 16, Keyword number: 14
touches: Topic: 16, Keyword number: 15
meanwhile: Topic: 16, Keyword number: 16
breaking: Topic: 16, Keyword number: 17
old_man: Topic: 16, Keyword number: 18
fairly: Topic: 16, Keyword number: 19
slow_motion: Topic: 16, Keyword number: 20
foibles: Topic: 16, Keyword number: 21
drove: Topic: 16, Keyword number: 22
looks_quite: Topic: 16, Keyword number: 23
codgers: Topic: 16, Keyword number: 24
carlito: Topic: 17, Keyword number: 0
carlito's: Topic: 17, Keyword number: 1
pacino: Topic: 17, Keyword number: 2
carlito's_way: Topic: 17, Keyword number: 3
penn: Topic: 17, Keyword number: 4
depalma: Topic: 17, Keyword number: 5
miller: Topic: 17, Keyword number: 6
palma: Topic: 17, Keyword number: 7
ann_miller: Topic: 17, Keyword number: 8
penelope_ann: Topic: 17, Keyword number: 9
penelope: Topic: 17, Keyword number: 10
kleinfeld: Topic: 17, Keyword number: 11
carlito_brigante: Topic: 17, Keyword number: 12
brigante: Topic: 17, Keyword number: 13
scent_woman: Topic: 17, Keyword number: 14
scent: Topic: 17, Keyword number: 15
sean_penn: Topic: 17, Keyword number: 16
sean: Topic: 17, Keyword number: 17
puerto_rican: Topic: 17, Keyword number: 18
rican: Topic: 17, Keyword number: 19
luis_guzman: Topic: 17, Keyword number: 20
luis: Topic: 17, Keyword number: 21
gail: Topic: 17, Keyword number: 22
puerto: Topic: 17, Keyword number: 23
john_leguiziamo: Topic: 17, Keyword number: 24
film: Topic: 18, Keyword number: 0
one: Topic: 18, Keyword number: 1
movie: Topic: 18, Keyword number: 2
like: Topic: 18, Keyword number: 3
story: Topic: 18, Keyword number: 4
good: Topic: 18, Keyword number: 5
also: Topic: 18, Keyword number: 6
even: Topic: 18, Keyword number: 7
way: Topic: 18, Keyword number: 8
it's: Topic: 18, Keyword number: 9
plot: Topic: 18, Keyword number: 10
much: Topic: 18, Keyword number: 11
see: Topic: 18, Keyword number: 12
many: Topic: 18, Keyword number: 13
little: Topic: 18, Keyword number: 14
character: Topic: 18, Keyword number: 15
time: Topic: 18, Keyword number: 16
world: Topic: 18, Keyword number: 17
get: Topic: 18, Keyword number: 18
make: Topic: 18, Keyword number: 19
seems: Topic: 18, Keyword number: 20
something: Topic: 18, Keyword number: 21
though: Topic: 18, Keyword number: 22
another: Topic: 18, Keyword number: 23
without: Topic: 18, Keyword number: 24
jokes: Topic: 19, Keyword number: 0
jay: Topic: 19, Keyword number: 1
daniels: Topic: 19, Keyword number: 2
laughs: Topic: 19, Keyword number: 3
pace: Topic: 19, Keyword number: 4
well: Topic: 19, Keyword number: 5
hamlet: Topic: 19, Keyword number: 6
comic_book: Topic: 19, Keyword number: 7
sherri: Topic: 19, Keyword number: 8
teenagers: Topic: 19, Keyword number: 9
set: Topic: 19, Keyword number: 10
harold: Topic: 19, Keyword number: 11
changed: Topic: 19, Keyword number: 12
picked: Topic: 19, Keyword number: 13
trouble: Topic: 19, Keyword number: 14
joan: Topic: 19, Keyword number: 15
hawtrey: Topic: 19, Keyword number: 16
certain: Topic: 19, Keyword number: 17
sometimes: Topic: 19, Keyword number: 18
name: Topic: 19, Keyword number: 19
pathetic: Topic: 19, Keyword number: 20
humor: Topic: 19, Keyword number: 21
you're: Topic: 19, Keyword number: 22
jim_dale: Topic: 19, Keyword number: 23
kevin_smith's: Topic: 19, Keyword number: 24
tati: Topic: 20, Keyword number: 0
les_vacances: Topic: 20, Keyword number: 1
vacances: Topic: 20, Keyword number: 2
les: Topic: 20, Keyword number: 3
vacances_hulot: Topic: 20, Keyword number: 4
boat: Topic: 20, Keyword number: 5
start: Topic: 20, Keyword number: 6
hulot's: Topic: 20, Keyword number: 7
characters_easily: Topic: 20, Keyword number: 8
aren't_moving: Topic: 20, Keyword number: 9
femme_nikita: Topic: 20, Keyword number: 10
really_make: Topic: 20, Keyword number: 11
room: Topic: 20, Keyword number: 12
witzky: Topic: 20, Keyword number: 13
social_messages: Topic: 20, Keyword number: 14
obvious_subtle: Topic: 20, Keyword number: 15
doesn't_depict: Topic: 20, Keyword number: 16
dissect_three: Topic: 20, Keyword number: 17
would_imagined: Topic: 20, Keyword number: 18
interesting_second: Topic: 20, Keyword number: 19
linear_method: Topic: 20, Keyword number: 20
buying_selling: Topic: 20, Keyword number: 21
teen_vices: Topic: 20, Keyword number: 22
far_masculine: Topic: 20, Keyword number: 23
dog_director: Topic: 20, Keyword number: 24
novel: Topic: 21, Keyword number: 0
lolita: Topic: 21, Keyword number: 1
patlabor: Topic: 21, Keyword number: 2
waiting: Topic: 21, Keyword number: 3
shell: Topic: 21, Keyword number: 4
guffman: Topic: 21, Keyword number: 5
giant: Topic: 21, Keyword number: 6
huey_lewis: Topic: 21, Keyword number: 7
obsessions: Topic: 21, Keyword number: 8
lyne: Topic: 21, Keyword number: 9
hos: Topic: 21, Keyword number: 10
shinohara: Topic: 21, Keyword number: 11
special_vehicle: Topic: 21, Keyword number: 12
patlabor_story: Topic: 21, Keyword number: 13
oshii: Topic: 21, Keyword number: 14
intros: Topic: 21, Keyword number: 15
book_film: Topic: 21, Keyword number: 16
levy: Topic: 21, Keyword number: 17
langella_takes: Topic: 21, Keyword number: 18
film_adaptation: Topic: 21, Keyword number: 19
sick_obsessions: Topic: 21, Keyword number: 20
operating_system: Topic: 21, Keyword number: 21
heavy_industries: Topic: 21, Keyword number: 22
industries: Topic: 21, Keyword number: 23
shinohara_heavy: Topic: 21, Keyword number: 24
country: Topic: 22, Keyword number: 0
marriage: Topic: 22, Keyword number: 1
shanta: Topic: 22, Keyword number: 2
virgil: Topic: 22, Keyword number: 3
life: Topic: 22, Keyword number: 4
first_sight: Topic: 22, Keyword number: 5
dil: Topic: 22, Keyword number: 6
prayer: Topic: 22, Keyword number: 7
india: Topic: 22, Keyword number: 8
israel: Topic: 22, Keyword number: 9
hasidic: Topic: 22, Keyword number: 10
sisters: Topic: 22, Keyword number: 11
dil_navaz: Topic: 22, Keyword number: 12
navaz: Topic: 22, Keyword number: 13
hindu: Topic: 22, Keyword number: 14
awakenings: Topic: 22, Keyword number: 15
blind: Topic: 22, Keyword number: 16
surgery: Topic: 22, Keyword number: 17
political: Topic: 22, Keyword number: 18
virgil's: Topic: 22, Keyword number: 19
irwin_winkler: Topic: 22, Keyword number: 20
irwin: Topic: 22, Keyword number: 21
amy's: Topic: 22, Keyword number: 22
ritual: Topic: 22, Keyword number: 23
lenny: Topic: 22, Keyword number: 24
tarzan: Topic: 23, Keyword number: 0
voiced: Topic: 23, Keyword number: 1
animation: Topic: 23, Keyword number: 2
tarzan's: Topic: 23, Keyword number: 3
clayton: Topic: 23, Keyword number: 4
rosie_o'donnell: Topic: 23, Keyword number: 5
goldwyn: Topic: 23, Keyword number: 6
rosie: Topic: 23, Keyword number: 7
o'donnell: Topic: 23, Keyword number: 8
animated: Topic: 23, Keyword number: 9
gorillas: Topic: 23, Keyword number: 10
brian_blessed: Topic: 23, Keyword number: 11
blessed: Topic: 23, Keyword number: 12
gorilla: Topic: 23, Keyword number: 13
rice: Topic: 23, Keyword number: 14
adults: Topic: 23, Keyword number: 15
driver: Topic: 23, Keyword number: 16
raised: Topic: 23, Keyword number: 17
edgar_rice: Topic: 23, Keyword number: 18
nigel_hawthorne: Topic: 23, Keyword number: 19
hawthorne: Topic: 23, Keyword number: 20
nigel: Topic: 23, Keyword number: 21
terk: Topic: 23, Keyword number: 22
tony_goldwyn: Topic: 23, Keyword number: 23
tarzan_voiced: Topic: 23, Keyword number: 24
blair: Topic: 24, Keyword number: 0
blair_witch: Topic: 24, Keyword number: 1
bill: Topic: 24, Keyword number: 2
kubrick: Topic: 24, Keyword number: 3
witch_project: Topic: 24, Keyword number: 4
project: Topic: 24, Keyword number: 5
kidman: Topic: 24, Keyword number: 6
shall: Topic: 24, Keyword number: 7
opportunity: Topic: 24, Keyword number: 8
strange: Topic: 24, Keyword number: 9
thing: Topic: 24, Keyword number: 10
less: Topic: 24, Keyword number: 11
book: Topic: 24, Keyword number: 12
wide: Topic: 24, Keyword number: 13
woods: Topic: 24, Keyword number: 14
sequel: Topic: 24, Keyword number: 15
ordinary: Topic: 24, Keyword number: 16
completely: Topic: 24, Keyword number: 17
hooker: Topic: 24, Keyword number: 18
nicole: Topic: 24, Keyword number: 19
transformation: Topic: 24, Keyword number: 20
hysteria: Topic: 24, Keyword number: 21
huge: Topic: 24, Keyword number: 22
husband: Topic: 24, Keyword number: 23
modern: Topic: 24, Keyword number: 24
disaster: Topic: 25, Keyword number: 0
bob: Topic: 25, Keyword number: 1
tunnel: Topic: 25, Keyword number: 2
stallone: Topic: 25, Keyword number: 3
cartoon: Topic: 25, Keyword number: 4
new: Topic: 25, Keyword number: 5
high_fidelity: Topic: 25, Keyword number: 6
roger_rabbit: Topic: 25, Keyword number: 7
glance: Topic: 25, Keyword number: 8
kahuna: Topic: 25, Keyword number: 9
poseidon_adventure: Topic: 25, Keyword number: 10
poseidon: Topic: 25, Keyword number: 11
fuller: Topic: 25, Keyword number: 12
industrial: Topic: 25, Keyword number: 13
rabbit: Topic: 25, Keyword number: 14
sylvester_stallone: Topic: 25, Keyword number: 15
sylvester: Topic: 25, Keyword number: 16
names: Topic: 25, Keyword number: 17
judge: Topic: 25, Keyword number: 18
cartoon_characters: Topic: 25, Keyword number: 19
framed_roger: Topic: 25, Keyword number: 20
along_way: Topic: 25, Keyword number: 21
convention: Topic: 25, Keyword number: 22
fun: Topic: 25, Keyword number: 23
dredd: Topic: 25, Keyword number: 24
hauer: Topic: 26, Keyword number: 0
two_men: Topic: 26, Keyword number: 1
benjamin: Topic: 26, Keyword number: 2
mike_myers: Topic: 26, Keyword number: 3
carvey: Topic: 26, Keyword number: 4
onto: Topic: 26, Keyword number: 5
gangstar: Topic: 26, Keyword number: 6
fly_going: Topic: 26, Keyword number: 7
tia: Topic: 26, Keyword number: 8
metal_years: Topic: 26, Keyword number: 9
decline_western: Topic: 26, Keyword number: 10
decline: Topic: 26, Keyword number: 11
elgar: Topic: 26, Keyword number: 12
going_film: Topic: 26, Keyword number: 13
apart_isn't: Topic: 26, Keyword number: 14
boothe: Topic: 26, Keyword number: 15
wanting: Topic: 26, Keyword number: 16
early_film: Topic: 26, Keyword number: 17
dana: Topic: 26, Keyword number: 18
k-filled_minute: Topic: 26, Keyword number: 19
k-filled: Topic: 26, Keyword number: 20
scenes_expected: Topic: 26, Keyword number: 21
right_unfortunately: Topic: 26, Keyword number: 22
score_it's: Topic: 26, Keyword number: 23
synthesier_score: Topic: 26, Keyword number: 24
audience: Topic: 27, Keyword number: 0
can't: Topic: 27, Keyword number: 1
hollywood: Topic: 27, Keyword number: 2
rocky: Topic: 27, Keyword number: 3
day: Topic: 27, Keyword number: 4
every: Topic: 27, Keyword number: 5
